x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.825	1	-99999	0.174552	0.218765	2.56101e-011	0.0148234	0	4.54412e-012	5.6192e-012	0.0675592	3.63127e-015	0.0582231	4.36964e-007	0.0041027	0.813653	2.20764e-007	0.0931732	0.174552	0.0717621	0.174671	0.241984	0	1	0	0	0	0	0.25	0.25	15	19.299	0.658736	1.99937	0.844559	-0.207913	0.522881	0.138955	0.13905	0.320355	
0.269386	0.35	-99999	0.214113	0.120516	1.31776e-010	0.00144906	0	8.24869e-012	1.59282e-011	0.0119883	1.89514e-016	0.0714123	1.53241e-007	0.00462199	0.874216	2.04047e-007	0.0628918	0.214113	0.168527	0.214238	0.156986	0	1	0	0	0	0	0.25	0.25	16	19.035	0.917671	1	0.523309	-0.207913	0.169137	0.18949	0.189593	0.201221	
1.1	0.4	1	0.299113	0.000645198	0.181044	3.00946e-022	0	1.54076e-009	0.000117156	4.65061e-019	0	0.031595	0.0076863	2.95415e-022	9.99951	0.000492025	1.11369e-011	0.299113	0.205481	0.299497	0.031595	0	10	0	0	0	0	3.75	0.375	17	16.8272	3.18902	0.989846	-0.0854995	-0.207915	-0.598226	0.299113	0.299007	0.03154	
1	0.45	1	0.299113	0.000676661	0.189358	1.53898e-022	0	1.46912e-009	0.000128511	2.26765e-019	0	0.022365	0.0141577	5.27832e-023	9.99942	0.000593629	4.93704e-012	0.299113	0.233623	0.299648	0.022365	0	10	0	0	0	0	4	0.4	18	16.8631	3.16834	0.998791	-0.094708	-0.207984	-0.598225	0.299113	0.299054	0.0223258	
1.0375	1	-99999	0.265131	0.000820097	0.0943495	1.15948e-021	0	1.21217e-009	7.76052e-005	1.40966e-018	0	0.0449725	0.0119758	6.43582e-022	0.999947	5.26571e-005	2.0894e-013	0.265131	0.300704	0.265325	0.0449725	0	1	0	0	0	0	0.25	0.25	19	16.8748	3.08485	2.02163	0.178027	-0.207913	-0.188125	0.240527	0.240682	0.0599333	
0.35	0.730614	-99999	0.299579	0.000670144	0.188772	1.74433e-022	0	1.4834e-009	0.000126879	2.59522e-019	0	0.024161	0.0127329	7.32673e-023	0.999924	5.74848e-005	5.76055e-014	0.299579	0.224942	0.299638	0.024161	0	0.999981	0	0	0	0	0.25	0.250005	20	16.8178	3.17255	1.8789	-0.0927363	-0.206493	-0.603549	0.299879	0.299883	0.0241525	
1	0.225	1	0.299113	4.3586e-005	0.122631	8.65707e-017	0	2.28077e-008	5.36083e-006	1.98033e-012	2.19805e-033	0.0588244	4.72824e-015	0.0563589	9.97921	1.02537e-007	0.0103496	0.299113	-0.246573	0.299109	0.181892	0	9.99991	0	0	0	0	3.75	0.375003	21	15.6709	4.35937	0.999644	0.0558057	-0.207428	-0.598231	0.299116	0.299112	0.17156	
1.1	0.2	1	0.299113	0.0373456	1.7584e-009	9.23328e-005	0	2.66188e-011	6.58635e-011	0.00246507	7.09481e-017	0.0996951	2.97295e-009	0.220694	4.09377	3.79407e-007	2.95312	0.299113	-10.1912	0.299086	3.49676	0	10	0	0	0	0	3.75	0.375	22	18.5995	1.42647	0.997662	0.425405	-0.207909	-0.598226	0.299113	0.299085	0.542197	
1.1	0.65	1	0.299113	0.000705807	0.207838	8.0539e-024	0	1.40845e-009	0.000147129	1.13772e-020	0	0.00183201	0.0285409	1.03163e-025	9.99926	0.000739427	2.27658e-013	0.299113	0.295808	0.299843	0.00183201	0	10	0	0	0	0	3.92857	0.392857	23	16.8321	3.15003	0.976179	-0.114912	-0.207913	-0.598225	0.299113	0.299104	0.00182926	
1	0.675	1	0.299113	0.000704077	0.20602	1.75584e-023	0	1.41191e-009	0.000145484	2.48645e-020	0	0.00385207	0.0271242	5.00046e-025	9.99927	0.00072758	4.99989e-013	0.299113	0.289683	0.299822	0.00385207	0	10	0	0	0	0	3.75	0.375	24	16.8449	3.15109	0.998045	-0.112924	-0.207911	-0.598226	0.299113	0.299094	0.00384377	
1.6	0	-99999	0.299113	8.83573e-005	0.017954	2.60203e-015	0	1.12508e-008	1.59107e-006	2.93619e-011	5.1742e-031	0.0937064	1.73917e-014	0.178518	0.999251	1.2523e-008	0.000374397	0.299113	-1.05435	0.299075	0.451117	0	1	0	0	0	0	0.25	0.25	25	15.9604	4.05247	0.992847	0.334328	-0.207859	-0.598226	0.299113	0.299075	0.451051	
1.43	0.3	-99999	0.299113	0.000706151	0.208217	6.15969e-024	0	1.40776e-009	0.000147469	8.69712e-021	0	0.00141157	0.0288376	6.01083e-026	0.999926	7.41859e-005	1.7386e-015	0.299113	0.295098	0.299186	0.00141157	0	1	0	0	0	0	0.25	0.25	26	16.826	3.14982	1.09281	-0.115313	-0.207916	-0.598226	0.299113	0.299112	0.00141123	
1.77246	0.3	-99999	0.299113	0.000705791	0.207815	8.17386e-024	0	1.40848e-009	0.000147109	1.15469e-020	0	0.00185851	0.028525	1.06278e-025	0.999926	7.39295e-005	2.31064e-015	0.299113	0.293758	0.299187	0.00185851	0	1	0	0	0	0	0.25	0.25	27	16.8282	3.15004	1.26039	-0.114882	-0.207926	-0.598225	0.299113	0.299113	0.00185891	
0.643247	0.3375	-99999	0.299113	0.000707242	0.209484	1.19095e-026	0	1.40559e-009	0.000148595	1.67896e-023	0	2.79653e-006	0.0298239	2.21943e-031	0.999925	7.49836e-005	3.34597e-018	0.299113	0.299331	0.299188	2.79653e-006	0	1	0	0	0	0	0.25	0.25	28	16.8222	3.14915	1	-0.116708	-0.207913	-0.598222	0.299112	0.299112	3.75252e-006	
1.1	0.1	1	0.299113	0.0918782	1.52017e-010	0.00390104	0	1.08197e-011	1.40085e-011	0.0423332	1.26269e-014	0.0997043	1.56042e-008	0.293532	2.70164	3.22332e-007	3.64918	0.299113	-12.8474	0.299113	4.38218	0	10	2.95154	0	0	0	3.75	0.375	29	18.9538	1.0355	1.00005	0.611346	-0.207912	-0.598226	0.299113	0.299113	0.728059	
0.130053	0.35	-99999	0.0222342	0.229072	5.75287e-012	0.138533	0	4.33965e-012	1.32173e-012	0.602966	5.53813e-013	0.00741481	7.84902e-009	0.247924	0.477529	3.34155e-008	0.261235	0.0222342	-3.11133	0.0222445	1.506	0	1	0.0559577	0	0	0	0.25	0.25	30	19.3724	0.638741	1	2.31615	-0.207912	1.38268	0.0161263	0.0161337	1.30089	
1.0625	0.9	1	0.299097	0.000706924	0.209012	2.0972e-024	0	1.40622e-009	0.000148194	2.95788e-021	0	0.000488253	0.02949	6.90704e-027	9.99925	0.000747139	5.90002e-014	0.299097	0.299949	0.299842	0.000488253	0	10	0	0	0	0	3.75	0.375	31	16.8257	3.14934	0.966801	-0.11657	-0.207905	-0.598608	0.299168	0.299165	0.000354985	
1.15083	0.931206	-99999	0.297507	0.000707318	0.200372	3.02069e-023	0	1.40544e-009	0.000142147	4.25799e-020	0	0.00620979	0.026127	1.42657e-024	0.999928	7.17454e-005	8.48394e-015	0.297507	0.287174	0.297596	0.00620979	0	1	0	0	0	0	0.25	0.25	32	16.8264	3.1491	1.64236	-0.0893862	-0.207913	-0.567207	0.294682	0.29471	0.00952076	
1.1	0.775	1	0.299109	0.000706683	0.208804	3.23236e-024	0	1.40671e-009	0.000147996	4.56046e-021	0	0.000749272	0.0293021	1.64528e-026	9.99925	0.000745634	9.10288e-014	0.299109	0.29911	0.299852	0.000749272	0	10	0	0	0	0	3.92857	0.392857	33	16.8272	3.14949	0.969401	-0.115954	-0.207913	-0.598185	0.299107	0.299104	0.000745487	
