Time	ObsPoint	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
2.46555e-007	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	4.29952e-042	0.35106	-0.207912	-2.83984e-006	6.49109e-043	6.49109e-043	0.76689	
4.9311e-007	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-1.37013e-037	0.35106	-0.207912	-2.83984e-006	-2.0537e-038	-2.0537e-038	0.76689	
5.5991e-006	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-3.82732e-036	0.35106	-0.207912	-2.83984e-006	-5.7449e-037	-5.7449e-037	0.76689	
1.15741e-005	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-1.08047e-035	0.35106	-0.207912	-2.83984e-006	-1.62376e-036	-1.62376e-036	0.76689	
2.31481e-005	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-2.67392e-035	0.35106	-0.207912	-2.83984e-006	-4.02463e-036	-4.02463e-036	0.76689	
5.78704e-005	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-6.23671e-035	0.351061	-0.207912	-2.83984e-006	-9.41472e-036	-9.41472e-036	0.766891	
0.000115741	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-9.0643e-035	0.351061	-0.207912	-2.83984e-006	-1.3757e-035	-1.3757e-035	0.766891	
0.000201792	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-8.12684e-035	0.351062	-0.207912	-2.83984e-006	-1.25367e-035	-1.25367e-035	0.766892	
0.000231481	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-1.466e-034	0.351062	-0.207912	-2.83984e-006	-2.25098e-035	-2.25098e-035	0.766892	
0.000300595	1	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1967	-1.95625e-034	0.351063	-0.207912	-2.83983e-006	-3.03445e-035	-3.03445e-035	0.766892	
