              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          18000	          12000	            200	          12000	 1	      5.7767	  3.7056e+03	  1.2586e+03	  3.2896e+04	  5.9304e+04	  1.5328e+03	  1.3113e+02	  4.3827e-01	
          24000	          12000	            200	          12000	 1	      6.1991	  1.0031e+03	  3.9359e+02	  1.1651e+04	  1.9511e+04	  1.3792e+03	  5.8275e+01	  1.2911e-01	
          30000	          12000	            200	          12000	 1	     6.84224	  1.3674e+02	  5.8487e+01	  2.6992e+03	  3.7980e+03	  8.9538e+02	  2.9510e+01	  1.2428e-01	
          36000	          12000	            200	          12000	 1	     7.58201	  1.4633e+01	  6.4012e+00	  8.1930e+02	  6.0916e+02	  8.3487e+02	  2.3673e+01	  8.8638e-01	
          42000	          12000	            200	          12000	 1	     7.93709	  6.4862e+00	  2.8298e+00	  5.2781e+02	  2.6247e+02	  7.2584e+02	  2.3039e+01	  3.3152e+00	
          48000	          12000	            200	          12000	 1	     8.25858	  3.3236e+00	  1.4353e+00	  3.5154e+02	  9.6435e+01	  6.2691e+02	  2.2735e+01	  1.1872e+01	
          54000	          12000	            200	          12000	 1	     8.48251	  2.1583e+00	  9.1935e-01	  2.6556e+02	  3.1131e+01	  5.6611e+02	  2.2615e+01	  2.9698e+01	
          60000	          12000	            200	          12000	 1	     8.57036	  1.8238e+00	  7.7082e-01	  2.4404e+02	  1.3900e+01	  5.5154e+02	  2.2584e+01	  4.2791e+01	
          66000	          12000	            200	          12000	 1	     8.58265	  1.7848e+00	  7.5349e-01	  2.4050e+02	  1.2074e+01	  5.4832e+02	  2.2580e+01	  4.5033e+01	
          72000	          12000	            200	          12000	 1	     8.59218	  1.7580e+00	  7.4165e-01	  2.3675e+02	  1.0809e+01	  5.4437e+02	  2.2578e+01	  4.6840e+01	
          78000	          12000	            200	          12000	 1	     8.60129	  1.7349e+00	  7.3143e-01	  2.3240e+02	  9.6249e+00	  5.3957e+02	  2.2576e+01	  4.8628e+01	
          84000	          12000	            200	          12000	 1	     8.60685	  1.7252e+00	  7.2718e-01	  2.2777e+02	  8.6007e+00	  5.3429e+02	  2.2574e+01	  4.9727e+01	
          90000	          12000	            200	          12000	 1	     8.62361	  1.6781e+00	  7.0628e-01	  2.2323e+02	  7.3675e+00	  5.2920e+02	  2.2572e+01	  5.3319e+01	
              0	          18000	            200	          12000	 1	     5.67877	  1.7321e+04	  3.7632e+03	  1.1731e+05	  2.2194e+05	  2.7730e+02	  4.2889e+02	  8.4436e-01	
           6000	          18000	            200	          12000	 1	     5.56514	  1.4037e+04	  3.3350e+03	  9.9297e+04	  1.8698e+05	  4.5582e+02	  3.6487e+02	  1.1933e+00	
          12000	          18000	            200	          12000	 1	     5.50237	  8.8833e+03	  2.4721e+03	  6.8252e+04	  1.2691e+05	  1.0628e+03	  2.5490e+02	  1.3357e+00	
          18000	          18000	            200	          12000	 1	     5.69426	  4.4103e+03	  1.4506e+03	  3.8300e+04	  6.9320e+04	  1.6185e+03	  1.4946e+02	  5.8044e-01	
          24000	          18000	            200	          12000	 1	     6.03129	  1.5572e+03	  5.8846e+02	  1.6723e+04	  2.8559e+04	  1.6387e+03	  7.4838e+01	  1.7727e-01	
          30000	          18000	            200	          12000	 1	     6.98617	  7.1294e+01	  3.0743e+01	  2.1167e+03	  2.5204e+03	  1.0551e+03	  2.7171e+01	  1.5955e-01	
          36000	          18000	            200	          12000	 1	     7.51108	  1.7498e+01	  7.6508e+00	  9.0979e+02	  7.3380e+02	  8.5492e+02	  2.3901e+01	  6.9605e-01	
          42000	          18000	            200	          12000	 1	     8.00188	  5.5243e+00	  2.4058e+00	  4.8939e+02	  2.0497e+02	  7.2193e+02	  2.2933e+01	  4.2647e+00	
          48000	          18000	            200	          12000	 1	     8.27101	  3.2047e+00	  1.3825e+00	  3.4979e+02	  8.6661e+01	  6.3269e+02	  2.2717e+01	  1.2495e+01	
          54000	          18000	            200	          12000	 1	     8.48652	  2.1309e+00	  9.0710e-01	  2.6822e+02	  3.0441e+01	  5.7017e+02	  2.2614e+01	  3.0225e+01	
          60000	          18000	            200	          12000	 1	     8.55574	  1.8725e+00	  7.9242e-01	  2.4858e+02	  1.6767e+01	  5.5523e+02	  2.2589e+01	  4.0276e+01	
          66000	          18000	            200	          12000	 1	     8.56818	  1.8373e+00	  7.7688e-01	  2.4167e+02	  1.3718e+01	  5.4860e+02	  2.2583e+01	  4.2373e+01	
          72000	          18000	            200	          12000	 1	      8.5876	  1.7783e+00	  7.5072e-01	  2.3514e+02	  1.0980e+01	  5.4214e+02	  2.2578e+01	  4.5924e+01	
          78000	          18000	            200	          12000	 1	     8.59762	  1.7530e+00	  7.3954e-01	  2.2989e+02	  9.3492e+00	  5.3652e+02	  2.2575e+01	  4.7847e+01	
          84000	          18000	            200	          12000	 1	     8.59948	  1.7522e+00	  7.3923e-01	  2.2698e+02	  8.6341e+00	  5.3328e+02	  2.2574e+01	  4.8190e+01	
          90000	          18000	            200	          12000	 1	     8.61778	  1.6993e+00	  7.1579e-01	  2.2223e+02	  7.2842e+00	  5.2800e+02	  2.2571e+01	  5.2008e+01	
              0	          24000	            200	          12000	 1	     5.64824	  1.6479e+04	  3.6617e+03	  1.1277e+05	  2.1314e+05	  3.1195e+02	  4.1276e+02	  9.3061e-01	
           6000	          24000	            200	          12000	 1	     5.50194	  1.1689e+04	  2.9752e+03	  8.5482e+04	  1.6026e+05	  6.9364e+02	  3.1596e+02	  1.4055e+00	
          12000	          24000	            200	          12000	 1	     5.62724	  5.4524e+03	  1.7190e+03	  4.5549e+04	  8.3219e+04	  1.5095e+03	  1.7491e+02	  7.7480e-01	
