              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
          78000	           6000	            200	          12000	 1	   8.6313631763e+00	   1.6325898105e+00	   6.8718553118e-01	   2.3056880234e+02	   8.7453564329e+00	   5.3967044175e+02	   2.2574304725e+01	   1.0475849261e+02	
          84000	           6000	            200	          12000	 1	   8.6413870255e+00	   1.6078368243e+00	   6.7620464361e-01	   2.2681453349e+02	   7.7986939882e+00	   5.3544282292e+02	   2.2572572065e+01	   1.0917943998e+02	
          90000	           6000	            200	          12000	 1	   8.6529435628e+00	   1.5776285234e+00	   6.6277134777e-01	   2.2375045704e+02	   6.9463222146e+00	   5.3203471865e+02	   2.2571012069e+01	   1.1453868451e+02	
              0	          12000	            200	          12000	 1	   5.8555415044e+00	   1.7258337862e+04	   3.7866676432e+03	   1.1726464162e+05	   2.2183707640e+05	   2.6899970768e+02	   4.2869245486e+02	   8.3835705609e-01	
           6000	          12000	            200	          12000	 1	   5.7360610551e+00	   1.3524027817e+04	   3.3021072929e+03	   9.6961115202e+04	   1.8243847968e+05	   4.0979899633e+02	   3.5656226240e+02	   1.2178190561e+00	
          12000	          12000	            200	          12000	 1	   5.6271874274e+00	   7.7257720614e+03	   2.2777156744e+03	   6.1656611521e+04	   1.1424406247e+05	   9.8625097830e+02	   2.3171196954e+02	   1.4651072461e+00	
          18000	          12000	            200	          12000	 1	   5.8446498660e+00	   3.2226431296e+03	   1.1302570548e+03	   3.0080139555e+04	   5.3824508236e+04	   1.4662717629e+03	   1.2109502617e+02	   5.8334167339e-01	
          24000	          12000	            200	          12000	 1	   6.2623787624e+00	   8.3719166501e+02	   3.3368571451e+02	   1.0497951858e+04	   1.7346822770e+04	   1.3156662476e+03	   5.4313334862e+01	   2.0486251410e-01	
          30000	          12000	            200	          12000	 1	   6.9215103952e+00	   1.0987970676e+02	   4.7257330563e+01	   2.4330077440e+03	   3.3502049505e+03	   8.6131433855e+02	   2.8690897049e+01	   2.6537641777e-01	
          36000	          12000	            200	          12000	 1	   7.6868091442e+00	   1.1623020819e+01	   5.0913278070e+00	   7.4857036323e+02	   5.3707782556e+02	   7.9738027531e+02	   2.3541394230e+01	   2.4716947514e+00	
