 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.1000000E+03	  1	  3.9369857E-03	  3.0807330E-02	  1.0638972E-08	  4.2225967E-03	  4.4698487E-01	  6.4259115E+00	  1.5770087E-01	  5.2298511E+00	  4.5791900E-03	  1.8629046E-04	  5.6974961E+00	  3.9664015E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  6.1000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.2000000E+03	  1	  3.9447150E-03	  3.0815166E-02	  1.0664267E-08	  4.2335746E-03	  4.4626447E-01	  6.4175105E+00	  1.5756701E-01	  5.2231642E+00	  4.5735106E-03	  1.9459429E-04	  5.6968703E+00	  3.9749691E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  6.2000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  7.0000000E+03	  1	  4.0525260E-03	  3.0961827E-02	  1.0890558E-08	  4.3578142E-03	  4.4003860E-01	  6.3417807E+00	  1.5634007E-01	  5.1624402E+00	  4.5223137E-03	  3.0722055E-04	  5.6751604E+00	  4.0649898E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  7.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+03	  1	  4.1718896E-03	  3.1111453E-02	  1.1190802E-08	  4.5050888E-03	  4.3183234E-01	  6.2437323E+00	  1.5476815E-01	  5.0840509E+00	  4.4560285E-03	  4.3185316E-04	  5.6645206E+00	  4.1755673E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.1000000E+03	  1	  4.1414807E-03	  3.1044249E-02	  1.1235953E-08	  4.4922920E-03	  4.3070470E-01	  6.2339099E+00	  1.5463680E-01	  5.0767016E+00	  4.4493881E-03	  4.0105496E-04	  5.6835531E+00	  4.1748286E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  8.1000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.2000000E+03	  1	  4.1531126E-03	  3.1059070E-02	  1.1267042E-08	  4.5070327E-03	  4.2987486E-01	  6.2240666E+00	  1.5447741E-01	  5.0688469E+00	  4.4427335E-03	  4.1335086E-04	  5.6828505E+00	  4.1860572E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  8.2000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.0000000E+03	  1	  4.2803046E-03	  3.1244272E-02	  1.1503284E-08	  4.6454594E-03	  4.2365154E-01	  6.1469266E+00	  1.5322425E-01	  5.0067857E+00	  4.3905833E-03	  5.4506736E-04	  5.6646340E+00	  4.2845082E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  9.0000000E+03	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+04	  1	  4.4057872E-03	  3.1412970E-02	  1.1781377E-08	  4.7903191E-03	  4.1630471E-01	  6.0574475E+00	  1.5179035E-01	  4.9349827E+00	  4.3300914E-03	  6.7380098E-04	  5.6579893E+00	  4.3913408E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+04	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1000000E+04	  1	  4.5177978E-03	  3.1563612E-02	  1.2034498E-08	  4.9190786E-03	  4.0980356E-01	  5.9779229E+00	  1.5052870E-01	  4.8710856E+00	  4.2763291E-03	  7.8736924E-04	  5.6560362E+00	  4.4871626E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1000000E+04	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+04	  1	  4.6202190E-03	  3.1703199E-02	  1.2249361E-08	  5.0321111E-03	  4.0436581E-01	  5.9102853E+00	  1.4947014E-01	  4.8165343E+00	  4.2306029E-03	  8.8930909E-04	  5.6545294E+00	  4.5703529E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+04	  2	  3.7602741E-03	  3.0661349E-02	  1.0000000E-08	  3.9600208E-03	  4.6539075E-01	  6.6415920E+00	  1.6100927E-01	  5.4020000E+00	  4.7250000E-03	 -1.0954012E-11	  5.7131113E+00	  3.7580569E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+04	  1	  4.7668693E-03	  3.1883869E-02	  1.2475679E-08	  5.1738865E-03	  3.9794026E-01	  5.8254033E+00	  1.4821484E-01	  4.7471314E+00	  4.1732187E-03	  1.0239112E-03	  5.6480797E+00	  4.6679289E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.4000000E+04	  2	  6.0331865E-03	  2.1661184E-02	  0.0000000E+00	  7.1191704E-03	  1.8845206E-03	  1.3371123E-04	  1.3845769E-03	  1.2267464E-04	  2.3506632E-04	  2.1051030E-15	  7.0468777E+00	  6.0570259E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+04	  1	  4.8156169E-03	  3.1957382E-02	  1.2606224E-08	  5.2273924E-03	  3.9559450E-01	  5.7952898E+00	  1.4780365E-01	  4.7225799E+00	  4.1528606E-03	  1.0688036E-03	  5.6524811E+00	  4.7118233E-03	
   2.4000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+04	  2	  6.0331865E-03	  2.1661184E-02	  0.0000000E+00	  7.1191704E-03	  1.8845206E-03	  1.3371123E-04	  1.3845769E-03	  1.2267464E-04	  2.3506632E-04	  2.1051030E-15	  7.0468777E+00	  6.0570259E-03	
