x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0.825	1	-99999	0.299113	0.158799	3.08475e-009	0	0.189815	6.26007e-012	4.91309e-010	0	0	0	0.0310155	0	0.999987	1.24998e-005	0	0.299113	0.623538	0.093059	0	0.189815	1	0	86.82	0.0516681	0	0.25	0.25	15	19.1542	0.797865	1.74478	-0.0790163	-0.207898	1.37206e-009	0.299113	0.0269756	-7.59267e-021	0.255856	
0.269386	0.35	-99999	0.299113	0.163183	2.84276e-009	0	0.195055	6.0919e-012	4.65266e-010	0	0	0	0.0318717	0	0.999987	1.24998e-005	0	0.299113	1.29736	0.0956276	0	0.195055	1	0	81.9092	0.272614	0	0.25	0.25	16	19.1662	0.786039	1.15763	-0.0990622	-0.207894	1.30724e-009	0.299113	0.0119864	-3.04877e-021	0.280769	
1.1	0.4	1	0.299113	0.137372	4.76504e-009	0	0.164203	7.23649e-012	6.56526e-010	0	0	0	0.0268306	0	9.99987	0.000124998	0	0.299113	5.02127	0.0806167	0	0.164203	10	0	90.6776	1.54297	0	3.75	0.375	17	19.0904	0.860814	1.56069	-0.0410882	-0.207906	1.48969e-009	0.299113	0.0545439	-1.55153e-020	0.211093	
1	0.45	1	0.299113	0.142302	4.2868e-009	0	0.170095	6.98582e-012	6.11829e-010	0	0	0	0.0277933	0	9.99987	0.000124998	0	0.299113	3.85085	0.083505	0	0.170095	10	0	90.1879	1.1468	0	4	0.4	18	19.1059	0.845503	1.54307	-0.0462292	-0.207904	1.47042e-009	0.299113	0.0503071	-1.40517e-020	0.21866	
1.0375	1	-99999	0.299113	0.155312	3.29721e-009	0	0.185647	6.40061e-012	5.13617e-010	0	0	0	0.0303345	0	0.999987	1.24998e-005	0	0.299113	0.580663	0.0910159	0	0.185647	1	0	88.8143	0.0407767	0	0.25	0.25	19	19.1444	0.807508	1.66773	-0.0651784	-0.207901	1.41441e-009	0.299113	0.0369908	-1.04665e-020	0.239653	
0.35	0.730614	-99999	0.299113	0.163019	2.85134e-009	0	0.194859	6.09802e-012	4.66202e-010	0	0	0	0.0318397	0	0.999987	1.24998e-005	0	0.299113	1.05069	0.0955316	0	0.194859	1	0	82.7221	0.19031	0	0.25	0.25	20	19.1657	0.786475	1.68398	-0.0957739	-0.207895	1.31471e-009	0.299113	0.0143346	-3.66345e-021	0.277014	
1	0.225	1	0.299113	0.130854	5.51325e-009	0	0.156411	7.59699e-012	7.23569e-010	0	0	0	0.0255574	0	9.99987	0.000124998	0	0.299113	6.49295	0.0767971	0	0.156411	10	0	91.2219	2.04142	0	3.75	0.375	21	19.069	0.881928	1.51149	-0.0332713	-0.207907	1.5159e-009	0.299113	0.0604849	-1.73068e-020	0.20109	
1.1	0.2	1	0.299113	0.12826	5.85455e-009	0	0.153311	7.75063e-012	7.53131e-010	0	0	0	0.0250508	0	9.99987	0.000124998	0	0.299113	7.01121	0.0752773	0	0.153311	10	0	91.3977	2.21724	0	3.75	0.375	22	19.0602	0.890623	1.52793	-0.0311483	-0.207908	1.52557e-009	0.299113	0.0625206	-1.8132e-020	0.197107	
1.1	0.65	1	0.299113	0.14599	3.97003e-009	0	0.174504	6.80932e-012	5.81305e-010	0	0	0	0.0285137	0	9.99987	0.000124998	0	0.299113	2.84274	0.0856662	0	0.174504	10	0	89.7907	0.806128	0	3.92857	0.392857	23	19.1171	0.83439	1.59977	-0.0519533	-0.207903	1.45479e-009	0.299113	0.0465128	-1.31579e-020	0.224317	
1	0.675	1	0.299113	0.149801	3.67468e-009	0	0.179059	6.63609e-012	5.52104e-010	0	0	0	0.029258	0	9.99987	0.000124998	0	0.299113	1.86805	0.0878991	0	0.179059	10	0	89.3639	0.476506	0	3.75	0.375	24	19.1285	0.823199	1.58069	-0.0561512	-0.207903	1.43977e-009	0.299113	0.043163	-1.20426e-020	0.230167	
1.6	0	-99999	0.299113	0.123449	6.56599e-009	0	0.14756	8.05266e-012	8.1297e-010	0	0	0	0.0241112	0	0.999987	1.24998e-005	0	0.299113	11.039	0.0723461	0	0.14756	1	0	91.7232	3.56869	0	0.25	0.25	25	19.0434	0.907225	1.59877	-0.0278307	-0.207909	1.54214e-009	0.299113	0.0660908	-1.97997e-020	0.189717	
1.43	0.3	-99999	0.299113	0.131926	5.37995e-009	0	0.157692	7.53527e-012	7.11858e-010	0	0	0	0.0257667	0	0.999987	1.24998e-005	0	0.299113	8.23273	0.0773127	0	0.157692	1	0	91.137	2.62212	0	0.25	0.25	26	19.0726	0.878385	1.61557	-0.0365548	-0.207907	1.50956e-009	0.299113	0.0588443	-1.72904e-020	0.202728	
1.77246	0.3	-99999	0.299113	0.130525	5.55496e-009	0	0.156019	7.6161e-012	7.27213e-010	0	0	0	0.0254932	0	0.999987	1.24998e-005	0	0.299113	9.06859	0.0764922	0	0.156019	1	0	91.2335	2.90295	0	0.25	0.25	27	19.0679	0.883019	1.62522	-0.0348679	-0.207907	1.51519e-009	0.299113	0.0601232	-1.77036e-020	0.200579	
0.643247	0.3375	-99999	0.299113	0.159189	3.06215e-009	0	0.190281	6.24474e-012	4.88906e-010	0	0	0	0.0310916	0	0.999987	1.24998e-005	0	0.299113	0.639004	0.0932873	0	0.190281	1	0	87.0193	0.0564539	0	0.25	0.25	28	19.1552	0.796801	1.34153	-0.0745728	-0.207899	1.3762e-009	0.299113	0.0288488	-7.44637e-021	0.25468	
1.1	0.1	1	0.299113	0.121931	6.81426e-009	0	0.145746	8.1529e-012	8.33337e-010	0	0	0	0.0238147	0	9.99987	0.000124998	0	0.299113	8.18914	0.0715692	0	0.145746	10	0	91.8312	2.6173	0	3.75	0.375	29	19.038	0.912598	1.50902	-0.02589	-0.207909	1.54869e-009	0.299113	0.0675133	-2.00801e-020	0.18739	
0.130053	0.35	-99999	0.299113	0.163543	2.82403e-009	0	0.195485	6.07849e-012	4.6322e-010	0	0	0	0.031942	0	0.999987	1.24998e-005	0	0.299113	2.45125	0.0958385	0	0.195485	1	0	77.7406	0.658029	0	0.25	0.25	30	19.1671	0.785082	1.07614	-0.108329	-0.207893	1.28183e-009	0.299113	0.00567078	-1.43757e-021	0.290446	
1.0625	0.9	1	0.299113	0.152142	3.50767e-009	0	0.181857	6.53399e-012	5.35246e-010	0	0	0	0.0297152	0	9.99987	0.000124998	0	0.299113	1.22831	0.0892707	0	0.181857	10	0	89.0762	0.260316	0	3.75	0.375	31	19.1353	0.816465	1.62378	-0.0599193	-0.207902	1.42992e-009	0.299113	0.0407101	-1.14846e-020	0.233756	
1.15083	0.931206	-99999	0.299113	0.151495	3.55277e-009	0	0.181084	6.56188e-012	5.39825e-010	0	0	0	0.0295889	0	0.999987	1.24998e-005	0	0.299113	1.37621	0.0887793	0	0.181084	1	0	89.4548	0.310515	0	0.25	0.25	32	19.1334	0.818315	1.64484	-0.0594171	-0.207902	1.43241e-009	0.299113	0.0412087	-1.17013e-020	0.232763	
1.1	0.775	1	0.299113	0.149351	3.70802e-009	0	0.178521	6.6561e-012	5.55439e-010	0	0	0	0.0291701	0	9.99987	0.000124998	0	0.299113	1.93814	0.0876353	0	0.178521	10	0	89.4147	0.500384	0	3.92857	0.392857	33	19.1272	0.824506	1.61506	-0.056338	-0.207903	1.44117e-009	0.299113	0.0433319	-1.22484e-020	0.229473	
1.09219	0.942092	-99999	0.299113	0.153043	3.44606e-009	0	0.182935	6.49551e-012	5.2896e-010	0	0	0	0.0298913	0	0.999987	1.24998e-005	0	0.299113	1.00053	0.0896863	0	0.182935	1	0	89.2548	0.183386	0	0.25	0.25	34	19.1379	0.8139	1.64406	-0.0613036	-0.207902	1.42622e-009	0.299113	0.0397878	-1.12637e-020	0.235138	
1.08438	0.9	1	0.299113	0.151921	3.52297e-009	0	0.181594	6.54348e-012	5.36801e-010	0	0	0	0.0296722	0	9.99987	0.000124998	0	0.299113	1.28051	0.0891415	0	0.181594	10	0	89.1043	0.277987	0	3.75	0.375	35	19.1347	0.817095	1.62499	-0.0596681	-0.207902	1.43079e-009	0.299113	0.0409067	-1.15486e-020	0.233418	
1.1	0.8375	1	0.299113	0.151008	3.58727e-009	0	0.180502	6.58305e-012	5.43314e-010	0	0	0	0.0294938	0	9.99987	0.000124998	0	0.299113	1.51013	0.0886064	0	0.180502	10	0	89.2141	0.355655	0	3.75	0.375	36	19.132	0.819713	1.62084	-0.0584745	-0.207902	1.43448e-009	0.299113	0.0417718	-1.17962e-020	0.232016	
1.1	0.86875	1	0.299113	0.151549	3.54903e-009	0	0.181148	6.55957e-012	5.39445e-010	0	0	0	0.0295994	0	9.99987	0.000124998	0	0.299113	1.37446	0.0889231	0	0.181148	10	0	89.149	0.309764	0	3.75	0.375	37	19.1336	0.818162	1.62244	-0.0591667	-0.207902	1.4323e-009	0.299113	0.0412645	-1.16481e-020	0.232846	
1.07344	0.875	1	0.299113	0.151675	3.54017e-009	0	0.181299	6.55411e-012	5.38548e-010	0	0	0	0.029624	0	9.99987	0.000124998	0	0.299113	1.34511	0.088997	0	0.181299	10	0	89.135	0.299828	0	5	0.5	38	19.134	0.8178	1.62117	-0.0592963	-0.207902	1.43181e-009	0.299113	0.0411568	-1.161e-020	0.233039	
1.08231	0.853125	1	0.299113	0.151258	3.56953e-009	0	0.180801	6.57218e-012	5.41521e-010	0	0	0	0.0295426	0	9.99987	0.000124998	0	0.299113	1.44887	0.0887527	0	0.180801	10	0	89.1847	0.334927	0	5	0.5	39	19.1327	0.818996	1.62052	-0.0587691	-0.207902	1.43349e-009	0.299113	0.0415459	-1.1725e-020	0.2324	
1	0.7875	1	0.299113	0.151988	3.51835e-009	0	0.181673	6.54062e-012	5.36333e-010	0	0	0	0.0296851	0	9.99987	0.000124998	0	0.299113	1.29259	0.0891804	0	0.181673	10	0	89.0981	0.28196	0	3.75	0.375	40	19.1349	0.816905	1.60247	-0.0593231	-0.207902	1.43073e-009	0.299113	0.0409873	-1.14837e-020	0.233521	
1.05666	0.80625	1	0.299113	0.150629	3.61445e-009	0	0.180048	6.59963e-012	5.46054e-010	0	0	0	0.0294197	0	9.99987	0.000124998	0	0.299113	1.62103	0.088384	0	0.180048	10	0	89.2607	0.393107	0	5	0.5	41	19.1309	0.820806	1.61194	-0.0577752	-0.207902	1.43612e-009	0.299113	0.0421989	-1.18777e-020	0.231435	
1.07479	0.826783	1	0.299113	0.150667	3.61168e-009	0	0.180094	6.59795e-012	5.45775e-010	0	0	0	0.0294272	0	9.99987	0.000124998	0	0.299113	1.6	0.0884066	0	0.180094	10	0	89.2548	0.386037	0	5	0.5	42	19.131	0.820695	1.61802	-0.0579863	-0.207902	1.43588e-009	0.299113	0.042109	-1.18841e-020	0.231493	
1	0.84375	1	0.299113	0.152564	3.47867e-009	0	0.182361	6.51594e-012	5.32292e-010	0	0	0	0.0297976	0	9.99987	0.000124998	0	0.299113	1.13949	0.0895177	0	0.182361	10	0	89.0219	0.230205	0	3.75	0.375	43	19.1365	0.815263	1.61332	-0.0602537	-0.207902	1.42832e-009	0.299113	0.0403827	-1.13466e-020	0.234404	
1.06229	0.857745	1	0.299113	0.151433	3.55715e-009	0	0.18101	6.56458e-012	5.40268e-010	0	0	0	0.0295768	0	9.99987	0.000124998	0	0.299113	1.41156	0.0888554	0	0.18101	10	0	89.164	0.322282	0	5	0.5	44	19.1333	0.818493	1.61868	-0.0589038	-0.207902	1.43282e-009	0.299113	0.0414112	-1.16678e-020	0.232669	
1.03125	0.9	1	0.299113	0.152635	3.47379e-009	0	0.182446	6.51289e-012	5.31794e-010	0	0	0	0.0298115	0	9.99987	0.000124998	0	0.299113	1.1116	0.0895595	0	0.182446	10	0	89.0113	0.22081	0	3.92857	0.392857	45	19.1367	0.81506	1.62234	-0.0605038	-0.207902	1.42795e-009	0.299113	0.040263	-1.13441e-020	0.234513	
1.05904	0.838429	1	0.299113	0.151092	3.58131e-009	0	0.180602	6.57941e-012	5.42712e-010	0	0	0	0.0295101	0	9.99987	0.000124998	0	0.299113	1.49937	0.0886554	0	0.180602	10	0	89.2055	0.351976	0	5	0.5	46	19.1323	0.819473	1.61626	-0.058435	-0.207902	1.43422e-009	0.299113	0.0417421	-1.1758e-020	0.232145	
1.03183	0.85294	1	0.299113	0.151848	3.52807e-009	0	0.181506	6.54664e-012	5.3732e-010	0	0	0	0.0296578	0	9.99987	0.000124998	0	0.299113	1.31457	0.0890985	0	0.181506	10	0	89.1144	0.289445	0	5	0.5	47	19.1345	0.817304	1.61496	-0.059342	-0.207902	1.4312e-009	0.299113	0.0410527	-1.1544e-020	0.233306	
1.04841	0.878942	1	0.299113	0.152059	3.51339e-009	0	0.181758	6.53755e-012	5.35829e-010	0	0	0	0.0296991	0	9.99987	0.000124998	0	0.299113	1.2519	0.0892222	0	0.181758	10	0	89.0873	0.268286	0	5	0.5	48	19.1351	0.816701	1.62081	-0.0597625	-0.207902	1.43028e-009	0.299113	0.0408047	-1.15018e-020	0.233629	
1.1	0.80625	1	0.299113	0.150362	3.63372e-009	0	0.17973	6.61134e-012	5.47994e-010	0	0	0	0.0293676	0	9.99987	0.000124998	0	0.299113	1.67451	0.0882277	0	0.17973	10	0	89.2915	0.411248	0	3.75	0.375	49	19.1301	0.821576	1.61871	-0.057643	-0.207902	1.43709e-009	0.299113	0.0423796	-1.19727e-020	0.231025	
1.0628	0.769093	1	0.299113	0.149289	3.71265e-009	0	0.178447	6.65887e-012	5.55901e-010	0	0	0	0.029158	0	9.99987	0.000124998	0	0.299113	1.97064	0.0875989	0	0.178447	10	0	89.4232	0.511312	0	5	0.5	50	19.127	0.824687	1.6063	-0.0560181	-0.207903	1.44155e-009	0.299113	0.0434701	-1.224e-020	0.229379	
1	0.871875	1	0.299113	0.152779	3.46398e-009	0	0.182619	6.50675e-012	5.30793e-010	0	0	0	0.0298396	0	9.99987	0.000124998	0	0.299113	1.08297	0.0896439	0	0.182619	10	0	88.9931	0.211098	0	3.92857	0.392857	51	19.1371	0.81465	1.6175	-0.0606016	-0.207902	1.42741e-009	0.299113	0.0401567	-1.12952e-020	0.234734	
1.03393	0.82411	1	0.299113	0.151465	3.55491e-009	0	0.181048	6.5632e-012	5.40042e-010	0	0	0	0.029583	0	9.99987	0.000124998	0	0.299113	1.41502	0.088874	0	0.181048	10	0	89.159	0.323406	0	5	0.5	52	19.1333	0.818402	1.60973	-0.0587699	-0.207902	1.43278e-009	0.299113	0.0414394	-1.16402e-020	0.232718	
1.07833	0.805385	1	0.299113	0.150314	3.63718e-009	0	0.179673	6.61344e-012	5.48342e-010	0	0	0	0.0293583	0	9.99987	0.000124998	0	0.299113	1.69022	0.0881998	0	0.179673	10	0	89.2978	0.416549	0	5	0.5	53	19.13	0.821714	1.61674	-0.0575281	-0.207902	1.43731e-009	0.299113	0.0424423	-1.19801e-020	0.230952	
1.06681	0.788844	1	0.299113	0.149991	3.66072e-009	0	0.179287	6.62768e-012	5.50705e-010	0	0	0	0.0292952	0	9.99987	0.000124998	0	0.299113	1.78386	0.0880106	0	0.179287	10	0	89.3392	0.448174	0	5	0.5	54	19.129	0.822648	1.6106	-0.0569671	-0.207902	1.43869e-009	0.299113	0.0427944	-1.20531e-020	0.230457	
1.08977	0.790625	1	0.299113	0.149843	3.67162e-009	0	0.179109	6.63425e-012	5.51797e-010	0	0	0	0.0292662	0	9.99987	0.000124998	0	0.299113	1.81093	0.0879235	0	0.179109	10	0	89.354	0.45737	0	5	0.5	55	19.1286	0.823078	1.61583	-0.0569424	-0.207902	1.4392e-009	0.299113	0.0428788	-1.21111e-020	0.230228	
1.03891	0.784227	1	0.299113	0.15057	3.61867e-009	0	0.179978	6.6022e-012	5.4648e-010	0	0	0	0.0294082	0	9.99987	0.000124998	0	0.299113	1.64613	0.0883497	0	0.179978	10	0	89.2685	0.401556	0	5	0.5	56	19.1307	0.820975	1.60418	-0.0575403	-0.207902	1.43644e-009	0.299113	0.042307	-1.18765e-020	0.231345	
1.08112	0.773803	1	0.299113	0.148927	3.73975e-009	0	0.178015	6.67504e-012	5.58603e-010	0	0	0	0.0290874	0	9.99987	0.000124998	0	0.299113	2.05623	0.0873871	0	0.178015	10	0	89.4584	0.540283	0	5	0.5	57	19.1259	0.82574	1.61049	-0.0557028	-0.207903	1.44293e-009	0.299113	0.0437604	-1.23545e-020	0.228824	
1.1	0.7125	1	0.299113	0.147686	3.83486e-009	0	0.176531	6.73115e-012	5.68034e-010	0	0	0	0.0288449	0	9.99987	0.000124998	0	0.299113	2.38231	0.0866597	0	0.176531	10	0	89.6037	0.650524	0	3.75	0.375	58	19.1222	0.829375	1.60786	-0.0541675	-0.207903	1.44791e-009	0.299113	0.0449073	-1.26996e-020	0.226919	
1.1	0.74375	1	0.299113	0.148528	3.77001e-009	0	0.177537	6.69299e-012	5.61612e-010	0	0	0	0.0290093	0	9.99987	0.000124998	0	0.299113	2.15775	0.087153	0	0.177537	10	0	89.5068	0.574619	0	3.57143	0.357143	59	19.1247	0.826906	1.61152	-0.0552638	-0.207903	1.4445e-009	0.299113	0.0441111	-1.24714e-020	0.228211	
1.07735	0.750481	1	0.299113	0.148317	3.78609e-009	0	0.177285	6.70249e-012	5.63208e-010	0	0	0	0.0289682	0	9.99987	0.000124998	0	0.299113	2.22095	0.0870296	0	0.177285	10	0	89.53	0.595955	0	5	0.5	60	19.1241	0.827522	1.60718	-0.0548869	-0.207903	1.44541e-009	0.299113	0.0443444	-1.25176e-020	0.227888	
1.1	0.68125	1	0.299113	0.146882	3.89819e-009	0	0.175569	6.768e-012	5.74271e-010	0	0	0	0.0286878	0	9.99987	0.000124998	0	0.299113	2.60144	0.0861885	0	0.175569	10	0	89.6957	0.724576	0	3.75	0.375	61	19.1198	0.831746	1.60396	-0.0531137	-0.207903	1.45118e-009	0.299113	0.04567	-1.29167e-020	0.225685	
