x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.25	1	-99999	0.000988572	2.14203	1.25687e-012	0.228263	0.0188276	4.64091e-013	2.70024e-012	0.106249	7.07961e-017	0.974114	0.418365	1.15151e-008	0.995413	1.24427e-005	0.00228751	0.000988572	62.9339	4.17745	1.31091	0.0188276	1	0	83.2561	17.6605	0	0.25	0.25	14	1.99767	14.9168	-0.207899	1.49072	0.000967936	4.17208	1.30564	0.0200344	
0.825	1	-99999	0	0.240877	6.61843e-012	0.164418	0.0996541	4.12699e-012	1.59895e-012	0.680565	8.71245e-013	0.0163831	1.97535e-008	0.233636	0.474164	4.43825e-008	0.262918	0	-3.032	0.0491494	1.59156	0.0996541	1	0.132786	71.332	0	0	0.25	0.25	15	2	2.64698	-0.207912	1.49557	-7.81744e-007	0.0397468	1.34315	0.104855	
0.269386	0.35	-99999	2.10737e-008	0.881308	3.00197e-012	0.346281	0.054859	1.12798e-012	2.65351e-012	0.391755	2.06014e-014	0.576984	0.000792378	3.22725e-005	0.915673	1.90404e-006	0.0421623	2.10737e-008	2.67867	1.73333	1.35725	0.054859	1	0	75.3614	0	0	0.25	0.25	16	1	7.18035	-0.207911	1.49556	1.79006e-008	1.56775	1.33163	0.0657151	
1.1	0.4	1	0.289165	0.145809	4.25544e-011	0.0161689	3.33698e-005	6.81777e-012	6.22323e-012	0.110563	3.96786e-014	0.0574986	3.46832e-008	0.125336	2.66047	3.55143e-007	3.66977	0.289165	-11.7467	0.172496	4.10467	3.33698e-005	10	20.3922	99.9948	0	0	3.75	0.375	17	1.00714	0.614866	-0.207911	0.0520807	0.288697	0.179822	0.439111	3.45628e-005	
1	0.45	1	0.298986	0.127812	1.60578e-011	0.0109156	9.05429e-006	7.7778e-012	2.05846e-012	0.0851509	7.80289e-015	0.00123138	4.99118e-010	0.163878	2.65785	9.01727e-008	3.67107	0.298986	-12.2767	0.00369423	4.09613	9.05429e-006	10	16.5506	99.9995	0	0	4	0.4	18	1.00092	0.0231117	-0.207913	0.000822371	0.298948	0.00432737	0.425125	9.75188e-006	
1.0375	1	-99999	0	2.1426	1.25587e-012	0.226821	0.0228882	4.63967e-013	2.6988e-012	0.105549	6.93334e-017	0.96667	0.418476	1.13458e-008	0.995445	1.24431e-005	0.00227139	0	97.4915	4.15545	1.30131	0.0228882	1	0	78.348	29.223	0	0.25	0.25	19	2.0023	12.9458	-0.207908	1.49639	-0.000164971	3.51021	1.30005	0.0345659	
0.35	0.730614	-99999	0.0692164	1.94031	1.5401e-012	0.163953	0.00409593	5.12337e-013	2.99715e-012	0.0842483	4.77456e-017	0.866685	0.286289	1.31057e-008	0.995566	1.13339e-005	0.00221127	0.0692164	8.1791	3.45893	1.1171	0.00409593	1	0	97.3275	0	0	0.25	0.25	20	1.95163	12.2723	-0.207483	1.15477	0.0681609	3.4699	1.11935	0.00434773	
1	0.225	1	0.299112	0.126065	1.47065e-011	0.0101274	2.12277e-006	7.88558e-012	1.85947e-012	0.0800976	6.03039e-015	0.000830624	3.34118e-010	0.157487	2.69594	8.03794e-008	3.65203	0.299112	-12.1667	0.00249195	4.05806	2.12277e-006	10	17.2761	99.9999	0	0	3.75	0.375	21	1.00028	-0.00222544	-0.207913	1.45635e-005	0.29911	0.00252141	0.406021	2.31637e-006	
1.1	0.2	1	0.298987	0.126122	1.84274e-011	0.0101021	1.18639e-006	7.88198e-012	2.331e-012	0.0798604	7.48578e-015	0.00163294	6.60307e-010	0.156127	2.70035	1.01019e-007	3.64982	0.298987	-12.1457	0.00489893	4.05367	1.18639e-006	10	21.7941	99.9999	0	0	3.75	0.375	22	1.00164	0.00428487	-0.207913	0.00070498	0.298972	0.00517936	0.403868	1.24158e-006	
1.1	0.65	1	0.213215	0.355388	1.34255e-011	0.116343	0.000296405	2.79721e-012	4.78543e-012	0.326402	1.32148e-013	0.458513	8.05856e-006	0.00521024	3.54053	2.159e-006	3.22974	0.213215	-7.86776	1.37557	4.14141	0.000296405	10	0	99.914	0	0	3.92857	0.392857	23	1.01383	5.12902	-0.207904	0.43879	0.211355	1.4018	0.900333	0.000310154	
1	0.675	1	0.293111	0.138223	4.32778e-011	0.0132826	4.88e-005	7.19196e-012	5.99972e-012	0.0958111	2.77015e-014	0.0401237	2.13812e-008	0.129694	2.70164	3.12448e-007	3.64918	0.293111	-11.7822	0.120371	4.05778	4.88e-005	10	8.58615	99.9969	0	0	3.75	0.375	24	1.00108	0.408054	-0.207913	0.0332679	0.292459	0.133184	0.391011	5.09978e-005	
