x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.299124	0.147019	3.94041e-011	0.0201013	0	6.76166e-012	5.81034e-012	0.136322	6.83018e-014	0.0586609	2.99089e-008	0.181322	0.578765	7.33349e-008	0.210621	0.299124	-1.8371	0.175983	0.788349	0	1.00001	11.0812	100.001	0	0	0.25	0.249999	0	1	0.691638	-0.206202	1.05454e-009	0.299122	0.175806	0.58066	-0.00403243	
2.1	0	-99999	0.292503	0.136889	4.74807e-011	0.0129033	0	7.26207e-012	6.51884e-012	0.0939823	2.89641e-014	0.0495135	2.56247e-008	0.132269	0.618024	7.61674e-008	0.190988	0.292503	-1.39015	0.148541	0.611925	0	1	14.5125	100	0	0	0.25	0.25	1	0.986796	0.450026	-0.207912	-1.44868e-006	0.292537	0.148317	0.420903	-3.3854e-007	
2.1	1	-99999	0.299106	0.132965	4.42081e-011	0.0118304	1.95118e-005	7.47635e-012	5.89558e-012	0.0887106	2.33487e-014	0.0326184	1.5464e-008	0.140311	0.61795	6.49853e-008	0.191025	0.299106	-1.52083	0.0978552	0.604806	1.95118e-005	1	11.4997	99.9989	0	0	0.25	0.25	2	1.9927	0.2911	-0.207912	-6.37869e-010	0.299106	0.0977109	0.413774	2.05227e-005	
0	1	-99999	0.285483	0.144066	4.92988e-011	0.0150427	0	6.90025e-012	7.12338e-012	0.104106	3.884e-014	0.0792669	4.7816e-008	0.119439	0.618008	9.21858e-008	0.190996	0.285483	-1.17147	0.237801	0.62829	0	1	12.2876	100	0	0	0.25	0.25	3	1.90924	0.734514	-0.207219	-4.52932e-006	0.285542	0.237689	0.437275	-0.00138267	
1	0	1	0.293377	0.136594	4.72157e-011	0.0128394	6.52629e-007	7.27776e-012	6.46848e-012	0.0937195	2.86231e-014	0.0480317	2.466e-008	0.133244	2.69977	3.28736e-007	3.65012	0.293377	-11.7813	0.144095	4.07119	6.52629e-007	10	18.0162	100	0	0	3.75	0.375	4	0.980907	0.436728	-0.207912	-1.19344e-006	0.293402	0.143832	0.421061	6.86272e-007	
1.1	0	1	0.287011	0.138998	4.83954e-011	0.0135109	9.37293e-009	7.15185e-012	6.74683e-012	0.0969143	3.18809e-014	0.058363	3.16185e-008	0.128318	2.70135	3.55269e-007	3.64933	0.287011	-11.699	0.175089	4.07475	9.37293e-009	10	21.9948	100	0	0	3.75	0.375	5	0.959717	0.534219	-0.207913	-2.52041e-006	0.287064	0.174886	0.425391	9.85352e-009	
1	0.9	1	0.299096	0.130181	3.76303e-011	0.0112131	0.00194341	7.63622e-012	4.91329e-012	0.0858796	1.84175e-014	0.0175201	7.71858e-009	0.149298	2.68976	2.25966e-007	3.65512	0.299096	-12.0454	0.0525606	4.06833	0.00194341	10	10.4125	99.896	0	0	3.21429	0.321429	6	0.994086	0.156505	-0.207912	-2.77505e-010	0.299096	0.0523024	0.413381	0.00204401	
1.1	0.9	1	0.299092	0.130115	3.74946e-011	0.0111742	0.00268015	7.64011e-012	4.89309e-012	0.0856251	1.81977e-014	0.0172361	7.59667e-009	0.148868	2.69197	2.24993e-007	3.65401	0.299092	-12.0395	0.0517084	4.06578	0.00268015	10	10.3608	99.8575	0	0	2.91667	0.291667	7	1.02607	0.153076	-0.207912	-1.6759e-009	0.299093	0.0514149	0.411839	0.00281909	
0	0.298	-99999	0.299113	0.206086	1.17541e-009	1.3467e-014	0.229339	4.82369e-012	2.42954e-010	6.51534e-014	0	4.02753e-009	0.0232535	5.4595e-027	0.999989	1.04106e-005	1.52938e-013	0.299113	0.438652	0.0697708	4.02776e-009	0.229339	1	0	21.1027	0	0	0.25	0.25	8	1	-0.112967	-0.207892	1.26028e-009	0.299113	0.00185941	4.01603e-009	0.29724	
0	0.402	-99999	0.299113	0.206091	1.17531e-009	6.5059e-015	0.229343	4.82358e-012	2.42938e-010	3.14748e-014	0	1.94535e-009	0.0232524	1.27393e-027	0.999989	1.04104e-005	7.38791e-014	0.299113	0.438646	0.0697678	1.94546e-009	0.229343	1	0	20.879	0	0	0.25	0.25	9	1	-0.113217	-0.207892	1.261e-009	0.299113	0.0017342	1.9358e-009	0.297366	
