x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0.269386	0.35	-99999	0.299113	0.205785	1.12443e-009	0	0.225846	4.83075e-012	2.32077e-010	0	0	0	0.0200614	0	0.99999	9.91544e-006	0	0.299113	0.406429	0.0601942	0	0.225846	1	0	31.2286	0	0	0.25	0.25	16	19.2679	0.685301	1.15812	-0.0744303	-0.207901	1.35979e-009	0.299113	0.0276524	-4.67661e-069	0.258416	
1.1	0.4	1	0.299113	0.123767	6.51562e-009	0	0.14794	8.03202e-012	8.08808e-010	0	0	0	0.0241731	0	9.99988	0.000124998	0	0.299113	22.5779	0.0726445	0	0.14794	10	0	84.0462	7.42598	0	3.75	0.375	17	19.0446	0.906111	1.55512	-0.0491706	-0.207913	1.54741e-009	0.299113	0.0704456	-2.43707e-068	0.15532	
1	0.45	1	0.299113	0.130594	5.54625e-009	0	0.1561	7.61212e-012	7.26453e-010	0	0	0	0.0255066	0	9.99988	0.000124998	0	0.299113	7.45593	0.0766447	0	0.1561	10	0	83.2534	2.36362	0	4	0.4	18	19.0681	0.882792	1.53779	-0.0394031	-0.207913	1.54569e-009	0.299113	0.0708546	-2.20193e-068	0.163861	
1.0375	1	-99999	0.299113	0.167042	2.30179e-009	0	0.188415	5.95118e-012	3.85634e-010	0	0	0	0.0213734	0	0.999989	1.08562e-005	0	0.299113	0.380808	0.0641311	0	0.188415	1	0	80.0685	0	0	0.25	0.25	19	19.1761	0.775889	1.66805	-0.0542223	-0.207908	1.46504e-009	0.299113	0.0545499	-1.60769e-068	0.197947	
0.35	0.730614	-99999	0.299113	0.205148	1.12161e-009	0	0.224451	4.84575e-012	2.30778e-010	0	0	0	0.019303	0	0.99999	9.799e-006	0	0.299113	0.398207	0.0579189	0	0.224451	1	0	50.7069	0	0	0.25	0.25	20	19.2665	0.686647	1.68661	-0.0638714	-0.207903	1.36471e-009	0.299113	0.0347758	-5.61403e-069	0.24761	
1	0.225	1	0.299113	0.114162	8.30226e-009	0	0.13646	8.70772e-012	9.50617e-010	0	0	0	0.0222973	0	9.99988	0.000124998	0	0.299113	41.3506	0.067017	0	0.13646	10	0	85.1688	13.7116	0	3.75	0.375	21	19.0091	0.941191	1.50574	-0.0644798	-0.207913	1.55998e-009	0.299113	0.0693486	-2.73857e-068	0.143302	
1.1	0.2	1	0.299113	0.110872	9.06366e-009	0	0.132526	8.96617e-012	1.00788e-009	0	0	0	0.0216546	0	9.99988	0.000124998	0	0.299113	43.4023	0.0650889	0	0.132526	10	0	85.5492	14.4007	0	3.75	0.375	22	18.9963	0.953893	1.52109	-0.0728465	-0.207913	1.55755e-009	0.299113	0.0679254	-2.87015e-068	0.139205	
1.1	0.65	1	0.299113	0.140298	4.32821e-009	0	0.165121	7.08562e-012	6.09039e-010	0	0	0	0.0248233	0	9.99988	0.000120948	0	0.299113	0.388894	0.0745909	0	0.165121	10	0	82.3679	0	0	3.92857	0.392857	23	19.0996	0.851664	1.59954	-0.0439873	-0.207912	1.5177e-009	0.299113	0.0661469	-2.0461e-068	0.173397	
1	0.675	1	0.299113	0.14802	3.60881e-009	0	0.172608	6.71595e-012	5.35759e-010	0	0	0	0.0245881	0	9.99988	0.00011843	0	0.299113	0.394256	0.0738827	0	0.172608	10	0	81.6388	0	0	3.75	0.375	24	19.1231	0.828394	1.57774	-0.0392848	-0.207911	1.51289e-009	0.299113	0.0650935	-1.84476e-068	0.181259	
1.6	0	-99999	0.299113	0.106673	1.01766e-008	0	0.127507	9.31909e-012	1.08879e-009	0	0	0	0.0208346	0	0.999988	1.24998e-005	0	0.299113	46.6484	0.0625162	0	0.127507	1	0	86.0296	15.4902	0	0.25	0.25	25	18.9793	0.97066	1.59836	-0.0840115	-0.207913	1.54182e-009	0.299113	0.0659475	-3.06588e-068	0.133974	
