x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.299113	0.204137	1.18015e-009	0	0.22554	4.86974e-012	2.41628e-010	0	0	0	0.0214027	0	0.99999	1.01589e-005	0	0.299113	0.418195	0.0642184	0	0.22554	1	0	75.105	0	0	0.25	0.25	0	19.2644	0.688792	1.08987	-0.044848	-0.207905	1.38824e-009	0.299113	0.04061	-7.88788e-025	0.249133	
2.1	0	-99999	0.299113	0.116005	7.91284e-009	0	0.138663	8.56939e-012	9.20653e-010	0	0	0	0.0226573	0	0.999988	1.24998e-005	0	0.299113	17.5591	0.0679844	0	0.138663	1	0	92.886	5.75584	0	0.25	0.25	1	19.0161	0.934236	1.61491	-0.0555609	-0.207913	1.51757e-009	0.299113	0.0715252	-4.86954e-024	0.145691	
2.1	1	-99999	0.299113	0.119676	7.2068e-009	0	0.14305	8.30654e-012	8.6504e-010	0	0	0	0.0233743	0	0.999988	1.24998e-005	0	0.299113	19.0087	0.0701353	0	0.14305	1	0	92.6593	6.23686	0	0.25	0.25	2	19.0298	0.920706	1.64172	-0.0440909	-0.207913	1.50868e-009	0.299113	0.0738116	-4.60587e-024	0.150302	
0	1	-99999	0.299113	0.175841	2.16382e-009	0	0.205509	5.65337e-012	3.81616e-010	0	0	0	0.0296685	0	0.999988	1.19047e-005	0	0.299113	0.472561	0.0890173	0	0.205509	1	0	89.6072	0	0	0.25	0.25	3	19.1989	0.753594	1.77874	0.0357356	-0.207913	1.56301e-009	0.299113	0.078527	-5.017e-025	0.215982	
1	0	1	0.299113	0.109471	9.41607e-009	0	0.130852	9.08091e-012	1.03384e-009	0	0	0	0.021381	0	9.99988	0.000124998	0	0.299113	13.3294	0.0642681	0	0.130852	10	0	93.2923	4.34811	0	3.75	0.375	4	18.9907	0.959415	1.48456	-0.0771809	-0.207913	1.54471e-009	0.299113	0.0670537	-5.28009e-024	0.137485	
1.1	0	1	0.299113	0.108588	9.64754e-009	0	0.129797	9.15471e-012	1.05072e-009	0	0	0	0.0212087	0	9.99988	0.000124998	0	0.299113	13.6096	0.063751	0	0.129797	10	0	93.3459	4.44266	0	3.75	0.375	5	18.9871	0.962931	1.4938	-0.0790906	-0.207913	1.54283e-009	0.299113	0.0667868	-5.34174e-024	0.136376	
1	0.9	1	0.299113	0.165426	2.4581e-009	0	0.189047	6.00929e-012	4.07841e-010	0	0	0	0.0236201	0	9.99989	0.000112604	0	0.299113	0.401965	0.0709729	0	0.189047	10	0	90.2717	0	0	3.21429	0.321429	6	19.1719	0.780109	1.62486	-0.0336913	-0.207909	1.47173e-009	0.299113	0.0611442	-2.71177e-024	0.198697	
1.1	0.9	1	0.299113	0.162016	2.6465e-009	0	0.185952	6.13577e-012	4.30048e-010	0	0	0	0.0239352	0	9.99989	0.000113891	0	0.299113	0.40171	0.0719194	0	0.185952	10	0	90.4559	0	0	2.91667	0.291667	7	19.1627	0.789155	1.63029	-0.0336437	-0.20791	1.47539e-009	0.299113	0.0622458	-2.83856e-024	0.19544	
0	0.298	-99999	0.299113	0.20615	1.17311e-009	0	0.22934	4.82218e-012	2.42554e-010	0	0	0	0.0231894	0	0.999989	1.03999e-005	0	0.299113	0.438076	0.0695787	0	0.22934	1	0	17.6468	0	0	0.25	0.25	8	19.2688	0.68453	1.00212	-0.115427	-0.207892	1.26154e-009	0.299113	0.000725021	-1.67361e-026	0.298183	
0	0.402	-99999	0.299113	0.206146	1.17351e-009	0	0.229354	4.82229e-012	2.42631e-010	0	0	0	0.023208	0	0.999989	1.04028e-005	0	0.299113	0.438257	0.0696344	0	0.229354	1	0	18.0652	0	0	0.25	0.25	9	19.2688	0.684539	1.00508	-0.115504	-0.207892	1.26065e-009	0.299113	0.000651409	-1.09613e-026	0.298327	
