         X	         Y	         Z	         A	         B	         C	         D	
   0.00000	   0.00000	   0.00000	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	
   4.00000	   0.00000	   0.00000	    0.1083624503E-11	    0.1807476506E-09	    0.1342194051E-08	    0.2303966730E-08	
   8.00000	   0.00000	   0.00000	    0.6085975406E-11	    0.1077800925E-08	    0.8237376991E-08	    0.1443680075E-07	
  12.00000	   0.00000	   0.00000	    0.2116099558E-10	    0.4133445939E-08	    0.3310536345E-07	    0.6000608766E-07	
  16.00000	   0.00000	   0.00000	    0.5463457224E-10	    0.1219797776E-07	    0.1040749412E-06	    0.1973686650E-06	
  20.00000	   0.00000	   0.00000	    0.1121136969E-09	    0.2955798441E-07	    0.2725828973E-06	    0.5462331224E-06	
  24.00000	   0.00000	   0.00000	    0.1903068682E-09	    0.6100561080E-07	    0.6156548673E-06	    0.1314305731E-05	
  28.00000	   0.00000	   0.00000	    0.2751161403E-09	    0.1100436222E-06	    0.1227806063E-05	    0.2809944224E-05	
  32.00000	   0.00000	   0.00000	    0.3467599776E-09	    0.1770220620E-06	    0.2201632682E-05	    0.5425718091E-05	
  36.00000	   0.00000	   0.00000	    0.3886050099E-09	    0.2581922816E-06	    0.3601701846E-05	    0.9583725830E-05	
  40.00000	   0.00000	   0.00000	    0.3936998121E-09	    0.3461714788E-06	    0.5439605648E-05	    0.1564410481E-04	
  44.00000	   0.00000	   0.00000	    0.3656976712E-09	    0.4315628023E-06	    0.7657413585E-05	    0.2378948665E-04	
  48.00000	   0.00000	   0.00000	    0.3151915801E-09	    0.5050034980E-06	    0.1012355185E-04	    0.3390786801E-04	
  52.00000	   0.00000	   0.00000	    0.2546386493E-09	    0.5589126850E-06	    0.1264183547E-04	    0.4550390948E-04	
  56.00000	   0.00000	   0.00000	    0.1944892745E-09	    0.5885286659E-06	    0.1497248018E-04	    0.5767273732E-04	
  60.00000	   0.00000	   0.00000	    0.1414601030E-09	    0.5921961486E-06	    0.1686314967E-04	    0.6916677118E-04	
  64.00000	   0.00000	   0.00000	    0.9857939849E-10	    0.5711013132E-06	    0.1808709841E-04	    0.7856935191E-04	
  68.00000	   0.00000	   0.00000	    0.6615484644E-10	    0.5287106790E-06	    0.1848325210E-04	    0.8455719000E-04	
  72.00000	   0.00000	   0.00000	    0.4293115814E-10	    0.4701017928E-06	    0.1799011246E-04	    0.8619453093E-04	
  76.00000	   0.00000	   0.00000	    0.2703042756E-10	    0.4012698661E-06	    0.1666371175E-04	    0.8317304380E-04	
  80.00000	   0.00000	   0.00000	    0.1655230772E-10	    0.3284285543E-06	    0.1467178322E-04	    0.7591240720E-04	
  84.00000	   0.00000	   0.00000	    0.9873131852E-11	    0.2573231476E-06	    0.1226257679E-04	    0.6547575782E-04	
  88.00000	   0.00000	   0.00000	    0.5739872478E-11	    0.1926190131E-06	    0.9715339368E-05	    0.5331936136E-04	
  92.00000	   0.00000	   0.00000	    0.3251261246E-11	    0.1374676208E-06	    0.7286393499E-05	    0.4095763522E-04	
  96.00000	   0.00000	   0.00000	    0.1792116280E-11	    0.9334428524E-07	    0.5166312584E-05	    0.2965254227E-04	
 100.00000	   0.00000	   0.00000	    0.9593290829E-12	    0.6018817356E-07	    0.3458944821E-05	    0.2021749008E-04	
   0.00000	   0.50000	   0.00000	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	
   4.00000	   0.50000	   0.00000	    0.1524170400E-11	    0.2386554402E-09	    0.1718579524E-08	    0.2884916159E-08	
   8.00000	   0.50000	   0.00000	    0.8523729570E-11	    0.1418278229E-08	    0.1051755979E-07	    0.1803448039E-07	
  12.00000	   0.50000	   0.00000	    0.2943763544E-10	    0.5410035275E-08	    0.4208018417E-07	    0.7467971962E-07	
  16.00000	   0.50000	   0.00000	    0.7534063657E-10	    0.1585411807E-07	    0.1315196131E-06	    0.2444367655E-06	
  20.00000	   0.50000	   0.00000	    0.1530293137E-09	    0.3810478550E-07	    0.3421129613E-06	    0.6726329443E-06	
  24.00000	   0.50000	   0.00000	    0.2568681688E-09	    0.7794503435E-07	    0.7669123093E-06	    0.1608293737E-05	
  28.00000	   0.50000	   0.00000	    0.3670254940E-09	    0.1392900614E-06	    0.1517476112E-05	    0.3415931584E-05	
  32.00000	   0.50000	   0.00000	    0.4571707070E-09	    0.2219586439E-06	    0.2699485978E-05	    0.6552169762E-05	
  36.00000	   0.50000	   0.00000	    0.5063984749E-09	    0.3207230565E-06	    0.4381672427E-05	    0.1149832089E-04	
  40.00000	   0.50000	   0.00000	    0.5072629911E-09	    0.4261341152E-06	    0.6567764941E-05	    0.1865270778E-04	
  44.00000	   0.50000	   0.00000	    0.4660986418E-09	    0.5266768448E-06	    0.9179620019E-05	    0.2819893804E-04	
  48.00000	   0.50000	   0.00000	    0.3976060462E-09	    0.6112967537E-06	    0.1205534557E-04	    0.3997618669E-04	
  52.00000	   0.50000	   0.00000	    0.3181084600E-09	    0.6714216740E-06	    0.1496227486E-04	    0.5338479123E-04	
  56.00000	   0.50000	   0.00000	    0.2407532928E-09	    0.7020451643E-06	    0.1762270473E-04	    0.6736415061E-04	
  60.00000	   0.50000	   0.00000	    0.1736143243E-09	    0.7018943449E-06	    0.1974984551E-04	    0.8047556089E-04	
  64.00000	   0.50000	   0.00000	    0.1200201904E-09	    0.6729703328E-06	    0.2109068376E-04	    0.9110385020E-04	
  68.00000	   0.50000	   0.00000	    0.7994269485E-10	    0.6197907763E-06	    0.2147019091E-04	    0.9775631305E-04	
  72.00000	   0.50000	   0.00000	    0.5151841983E-10	    0.5485610004E-06	    0.2082807224E-04	    0.9939397715E-04	
  76.00000	   0.50000	   0.00000	    0.3222796737E-10	    0.4663645975E-06	    0.1923737442E-04	    0.9569842143E-04	
  80.00000	   0.50000	   0.00000	    0.1961742648E-10	    0.3803812489E-06	    0.1689641112E-04	    0.8717920193E-04	
  84.00000	   0.50000	   0.00000	    0.1163735080E-10	    0.2971382985E-06	    0.1409245894E-04	    0.7507168074E-04	
  88.00000	   0.50000	   0.00000	    0.6731779453E-11	    0.2218553676E-06	    0.1114527454E-04	    0.6104872163E-04	
  92.00000	   0.50000	   0.00000	    0.3795956376E-11	    0.1579894186E-06	    0.8346177019E-05	    0.4683904213E-04	
  96.00000	   0.50000	   0.00000	    0.2083958519E-11	    0.1070816332E-06	    0.5910096655E-05	    0.3387574894E-04	
 100.00000	   0.50000	   0.00000	    0.1111605842E-11	    0.6893816465E-07	    0.3952554747E-05	    0.2307645821E-04	
   0.00000	   1.50000	   0.00000	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	    0.0000000000E+00	
   4.00000	   1.50000	   0.00000	    0.2965716519E-11	    0.4106679632E-09	    0.2784390504E-08	    0.4472997241E-08	
   8.00000	   1.50000	   0.00000	    0.1644260735E-10	    0.2423786530E-08	    0.1694311508E-07	    0.2782918491E-07	
  12.00000	   1.50000	   0.00000	    0.5601714143E-10	    0.9145705495E-08	    0.6717826928E-07	    0.1143727190E-06	
  16.00000	   1.50000	   0.00000	    0.1408591186E-09	    0.2642711104E-07	    0.2075108669E-06	    0.3707001505E-06	
  20.00000	   1.50000	   0.00000	    0.2802909556E-09	    0.6248300594E-07	    0.5324194266E-06	    0.1008417349E-05	
  24.00000	   1.50000	   0.00000	    0.4600752368E-09	    0.1255444858E-06	    0.1175720202E-05	    0.2381003070E-05	
  28.00000	   1.50000	   0.00000	    0.6422541666E-09	    0.2202064564E-06	    0.2290165586E-05	    0.4991112155E-05	
  32.00000	   1.50000	   0.00000	    0.7814651487E-09	    0.3443629270E-06	    0.4010079073E-05	    0.9447738728E-05	
  36.00000	   1.50000	   0.00000	    0.8458802250E-09	    0.4884710038E-06	    0.6408523402E-05	    0.1636642072E-04	
  40.00000	   1.50000	   0.00000	    0.8286316924E-09	    0.6375135979E-06	    0.9463180806E-05	    0.2622305150E-04	
  44.00000	   1.50000	   0.00000	    0.7453261105E-09	    0.7746196125E-06	    0.1304069276E-04	    0.3918603679E-04	
  48.00000	   1.50000	   0.00000	    0.6230831743E-09	    0.8847657339E-06	    0.1690197254E-04	    0.5496071794E-04	
  52.00000	   1.50000	   0.00000	    0.4891036730E-09	    0.9573631761E-06	    0.2072568103E-04	    0.7268594763E-04	
  56.00000	   1.50000	   0.00000	    0.3636140265E-09	    0.9873078700E-06	    0.2414540994E-04	    0.9092540296E-04	
  60.00000	   1.50000	   0.00000	    0.2578665923E-09	    0.9747289071E-06	    0.2679669611E-04	    0.1077902350E-03	
