 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+03	  1	  3.7988279E-03	  3.0508684E-02	  9.8303771E-09	  4.0136073E-03	  4.5752859E-01	  6.5289372e+00	  1.5830166E-01	  5.3103714e+00	  4.6488401E-03	 -2.6858400E-09	  5.7193416e+00	  3.7970527E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  4.0000000E+03	  1	  4.0606358E-03	  3.0678043E-02	  1.0328881E-08	  4.3144603E-03	  4.3759852E-01	  6.2820273e+00	  1.5453055E-01	  5.1107301e+00	  4.4789853E-03	 -2.5659593E-09	  5.6573524e+00	  4.0029613E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  6.0000000E+03	  1	  4.6958553E-03	  3.1415172E-02	  1.1030242E-08	  4.9280507E-03	  4.0796121E-01	  5.9132751e+00	  1.4834177E-01	  4.8135089e+00	  4.2233966E-03	 -2.3762317E-09	  5.5703947e+00	  4.3928614E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  8.0000000E+03	  1	  5.8467425E-03	  3.3001377E-02	  1.1984233E-08	  5.9064880E-03	  3.7131227E-01	  5.4547996e+00	  1.4012039E-01	  4.4447459e+00	  3.9045263E-03	 -2.1382748E-09	  5.5308045e+00	  5.0024644E-03	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+04	  1	  7.6577517E-03	  3.5721119E-02	  1.3013818E-08	  7.3036968E-03	  3.3093040E-01	  4.9439861e+00	  1.3032581E-01	  4.0344026e+00	  3.5491057E-03	 -1.8778454E-09	  5.5290873e+00	  5.8306562E-03	
