              x	              y	              z	           time	in	           A	
             76	            3.5	              0             40	 1	  0 
             80	            3.5	              0             40	 1	  0 
             84	            3.5	              0             40	 1	  0 
             88	            3.5	              0             40	 1	  0 
             92	            3.5	              0             40	 1	  0 
             96	            3.5	              0             40	 1	  0 
            100	            3.5	              0             40	 1	  0 
              0            4.5	              0             40	 1	  0 
              4	            4.5	              0             40	 1	  0 
              8	            4.5	              0             40	 1	  0 
             12	            4.5	              0             40	 1	  1.6876e-11	
             16	            4.5	              0             40	 1	  1.9226e-11	
             20	            4.5	              0             40	 1	  1.6506e-11	
             24	            4.5	              0             40	 1	  1.1230e-11	
             28	            4.5	              0             40	 1	  0 
             32	            4.5	              0             40	 1	  0 
             36	            4.5	              0             40	 1	  0 
             40	            4.5	              0             40	 1	  0 
             44	            4.5	              0             40	 1	  0 
             48	            4.5	              0             40	 1	  0 
             52	            4.5	              0             40	 1	  0 
             56	            4.5	              0             40	 1	  0 
             60	            4.5	              0             40	 1	  0 
             64	            4.5	              0             40	 1	  0 
             68	            4.5	              0             40	 1	  0 
             72	            4.5	              0             40	 1	  0 
             76	            4.5	              0             40	 1	  0 
             80	            4.5	              0             40	 1	  0 
             84	            4.5	              0             40	 1	  0 
             88	            4.5	              0             40	 1	  0 
             92	            4.5	              0             40	 1	  0 
             96	            4.5	              0             40	 1	  0 
            100	            4.5	              0             40	 1	  0 
              0            5.5	              0             40	 1	  0 
              4	            5.5	              0             40	 1	  0 
              8	            5.5	              0             40	 1	  2.5478e-11	
             12	            5.5	              0             40	 1	  4.3409e-11	
             16	            5.5	              0             40	 1	  4.7689e-11	
             20	            5.5	              0             40	 1	  3.9141e-11	
             24	            5.5	              0             40	 1	  2.5919e-11	
             28	            5.5	              0             40	 1	  1.4506e-11	
             32	            5.5	              0             40	 1	  0 
             36	            5.5	              0             40	 1	  0 
             40	            5.5	              0             40	 1	  0 
             44	            5.5	              0             40	 1	  0 
             48	            5.5	              0             40	 1	  0 
             52	            5.5	              0             40	 1	  0 
             56	            5.5	              0             40	 1	  0 
             60	            5.5	              0             40	 1	  0 
             64	            5.5	              0             40	 1	  0 
             68	            5.5	              0             40	 1	  0 
             72	            5.5	              0             40	 1	  0 
             76	            5.5	              0             40	 1	  0 
             80	            5.5	              0             40	 1	  0 
             84	            5.5	              0             40	 1	  0 
             88	            5.5	              0             40	 1	  0 
             92	            5.5	              0             40	 1	  0 
             96	            5.5	              0             40	 1	  0 
            100	            5.5	              0             40	 1	  0 
              0            6.5	              0             40	 1	  0 
              4	            6.5	              0             40	 1	  1.7761e-11	
              8	            6.5	              0             40	 1	  6.6086e-11	
             12	            6.5	              0             40	 1	  1.0099e-10	
             16	            6.5	              0             40	 1	  1.0788e-10	
             20	            6.5	              0             40	 1	  9.1149e-11	
             24	            6.5	              0             40	 1	  5.8046e-11	
             28	            6.5	              0             40	 1	  3.1409e-11	
             32	            6.5	              0             40	 1	  1.5101e-11	
             36	            6.5	              0             40	 1	  0 
             40	            6.5	              0             40	 1	  0 
             44	            6.5	              0             40	 1	  0 
             48	            6.5	              0             40	 1	  0 
             52	            6.5	              0             40	 1	  0 
             56	            6.5	              0             40	 1	  0 
             60	            6.5	              0             40	 1	  0 
             64	            6.5	              0             40	 1	  0 
             68	            6.5	              0             40	 1	  0 
             72	            6.5	              0             40	 1	  0 
             76	            6.5	              0             40	 1	  0 
             80	            6.5	              0             40	 1	  0 
             84	            6.5	              0             40	 1	  0 
             88	            6.5	              0             40	 1	  0 
             92	            6.5	              0             40	 1	  0 
             96	            6.5	              0             40	 1	  0 
            100	            6.5	              0             40	 1	  0 
              0            7.5	              0             40	 1	  0 
              4	            7.5	              0             40	 1	  4.6501e-11	
              8	            7.5	              0             40	 1	  1.4371e-10	
             12	            7.5	              0             40	 1	  2.2123e-10	
             16	            7.5	              0             40	 1	  2.2840e-10	
             20	            7.5	              0             40	 1	  1.8090e-10	
             24	            7.5	              0             40	 1	  1.1816e-10	
             28	            7.5	              0             40	 1	  6.5802e-11	
             32	            7.5	              0             40	 1	  3.0520e-11	
             36	            7.5	              0             40	 1	  1.2984e-11	
             40	            7.5	              0             40	 1	  0 
             44	            7.5	              0             40	 1	  0 
             48	            7.5	              0             40	 1	  0 
             52	            7.5	              0             40	 1	  0 
             56	            7.5	              0             40	 1	  0 
             60	            7.5	              0             40	 1	  0 
             64	            7.5	              0             40	 1	  0 
             68	            7.5	              0             40	 1	  0 
             72	            7.5	              0             40	 1	  0 
             76	            7.5	              0             40	 1	  0 
             80	            7.5	              0             40	 1	  0 
             84	            7.5	              0             40	 1	  0 
             88	            7.5	              0             40	 1	  0 
             92	            7.5	              0             40	 1	  0 
             96	            7.5	              0             40	 1	  0 
            100	            7.5	              0             40	 1	  0 
              0            8.5	              0             40	 1	  0 
              4	            8.5	              0             40	 1	  9.9718e-11	
              8	            8.5	              0             40	 1	  3.0666e-10	
             12	            8.5	              0             40	 1	  4.5214e-10	
             16	            8.5	              0             40	 1	  4.5360e-10	
             20	            8.5	              0             40	 1	  3.5176e-10	
             24	            8.5	              0             40	 1	  2.2594e-10	
             28	            8.5	              0             40	 1	  1.2414e-10	
             32	            8.5	              0             40	 1	  5.9012e-11	
             36	            8.5	              0             40	 1	  2.4363e-11	
             40	            8.5	              0             40	 1	  0 
             44	            8.5	              0             40	 1	  0 
             48	            8.5	              0             40	 1	  0 
             52	            8.5	              0             40	 1	  0 
             56	            8.5	              0             40	 1	  0 
             60	            8.5	              0             40	 1	  0 
             64	            8.5	              0             40	 1	  0 
             68	            8.5	              0             40	 1	  0 
             72	            8.5	              0             40	 1	  0 
             76	            8.5	              0             40	 1	  0 
             80	            8.5	              0             40	 1	  0 
             84	            8.5	              0             40	 1	  0 
             88	            8.5	              0             40	 1	  0 
             92	            8.5	              0             40	 1	  0 
             96	            8.5	              0             40	 1	  0 
            100	            8.5	              0             40	 1	  0 
              0            9.5	              0             40	 1	  0 
              4	            9.5	              0             40	 1	  2.0966e-10	
              8	            9.5	              0             40	 1	  6.0973e-10	
             12	            9.5	              0             40	 1	  8.7241e-10	
             16	            9.5	              0             40	 1	  8.4847e-10	
             20	            9.5	              0             40	 1	  6.4436e-10	
             24	            9.5	              0             40	 1	  4.0589e-10	
             28	            9.5	              0             40	 1	  2.2112e-10	
             32	            9.5	              0             40	 1	  1.0897e-10	
             36	            9.5	              0             40	 1	  4.3319e-11	
             40	            9.5	              0             40	 1	  1.6152e-11	
             44	            9.5	              0             40	 1	  0 
             48	            9.5	              0             40	 1	  0 
             52	            9.5	              0             40	 1	  0 
             56	            9.5	              0             40	 1	  0 
             60	            9.5	              0             40	 1	  0 
             64	            9.5	              0             40	 1	  0 
             68	            9.5	              0             40	 1	  0 
             72	            9.5	              0             40	 1	  0 
             76	            9.5	              0             40	 1	  0 
             80	            9.5	              0             40	 1	  0 
             84	            9.5	              0             40	 1	  0 
             88	            9.5	              0             40	 1	  0 
             92	            9.5	              0             40	 1	  0 
             96	            9.5	              0             40	 1	  0 
            100	            9.5	              0             40	 1	  0 
              0           10.5	              0             40	 1	  0 
              4	           10.5	              0             40	 1	  4.0760e-10	
              8	           10.5	              0             40	 1	  1.1482e-09	
             12	           10.5	              0             40	 1	  1.5880e-09	
             16	           10.5	              0             40	 1	  1.5072e-09	
             20	           10.5	              0             40	 1	  1.1153e-09	
             24	           10.5	              0             40	 1	  6.8926e-10	
             28	           10.5	              0             40	 1	  3.6949e-10	
             32	           10.5	              0             40	 1	  1.7515e-10	
             36	           10.5	              0             40	 1	  7.3988e-11	
             40	           10.5	              0             40	 1	  2.6985e-11	
             44	           10.5	              0             40	 1	  0 
             48	           10.5	              0             40	 1	  0 
             52	           10.5	              0             40	 1	  0 
             56	           10.5	              0             40	 1	  0 
             60	           10.5	              0             40	 1	  0 
             64	           10.5	              0             40	 1	  0 
             68	           10.5	              0             40	 1	  0 
             72	           10.5	              0             40	 1	  0 
             76	           10.5	              0             40	 1	  0 
             80	           10.5	              0             40	 1	  0 
             84	           10.5	              0             40	 1	  0 
             88	           10.5	              0             40	 1	  0 
             92	           10.5	              0             40	 1	  0 
             96	           10.5	              0             40	 1	  0 
            100	           10.5	              0             40	 1	  0 
              0           11.5	              0             40	 1	  0 
              4	           11.5	              0             40	 1	  7.4607e-10	
              8	           11.5	              0             40	 1	  2.0198e-09	
             12	           11.5	              0             40	 1	  2.7167e-09	
             16	           11.5	              0             40	 1	  2.5156e-09	
             20	           11.5	              0             40	 1	  1.8222e-09	
             24	           11.5	              0             40	 1	  1.1026e-09	
             28	           11.5	              0             40	 1	  5.8345e-10	
             32	           11.5	              0             40	 1	  2.7439e-10	
             36	           11.5	              0             40	 1	  1.1557e-10	
             40	           11.5	              0             40	 1	  4.2936e-11	
             44	           11.5	              0             40	 1	  1.4414e-11	
             48	           11.5	              0             40	 1	  0 
             52	           11.5	              0             40	 1	  0 
             56	           11.5	              0             40	 1	  0 
             60	           11.5	              0             40	 1	  0 
             64	           11.5	              0             40	 1	  0 
             68	           11.5	              0             40	 1	  0 
             72	           11.5	              0             40	 1	  0 
             76	           11.5	              0             40	 1	  0 
             80	           11.5	              0             40	 1	  0 
             84	           11.5	              0             40	 1	  0 
             88	           11.5	              0             40	 1	  0 
             92	           11.5	              0             40	 1	  0 
             96	           11.5	              0             40	 1	  0 
            100	           11.5	              0             40	 1	  0 
              0           12.5	              0             40	 1	  0 
              4	           12.5	              0             40	 1	  1.2634e-09	
              8	           12.5	              0             40	 1	  3.3149e-09	
             12	           12.5	              0             40	 1	  4.3489e-09	
             16	           12.5	              0             40	 1	  3.9417e-09	
             20	           12.5	              0             40	 1	  2.8021e-09	
             24	           12.5	              0             40	 1	  1.6702e-09	
