              x	              y	              z	           time	in	          Cl	
        0.00032	          4e-05	              0              4	 1	  1.4206e-04	
        0.00034	          4e-05	              0              4	 1	  6.6202e-05	
        0.00036	          4e-05	              0              4	 1	  2.9713e-05	
        0.00038	          4e-05	              0              4	 1	  1.2858e-05	
         0.0004	          4e-05	              0              4	 1	  5.3709e-06	
        0.00042	          4e-05	              0              4	 1	  2.1679e-06	
        0.00044	          4e-05	              0              4	 1	  8.4650e-07	
        0.00046	          4e-05	              0              4	 1	  3.2008e-07	
        0.00048	          4e-05	              0              4	 1	  1.1732e-07	
         0.0005	          4e-05	              0              4	 1	  4.1729e-08	
        0.00052	          4e-05	              0              4	 1	  1.4416e-08	
        0.00054	          4e-05	              0              4	 1	  4.8421e-09	
        0.00056	          4e-05	              0              4	 1	  1.5827e-09	
        0.00058	          4e-05	              0              4	 1	  5.0387e-10	
         0.0006	          4e-05	              0              4	 1	  1.5637e-10	
        0.00062	          4e-05	              0              4	 1	  4.7346e-11	
        0.00064	          4e-05	              0              4	 1	  1.3993e-11	
        0.00066	          4e-05	              0              4	 1	  4.0365e-12	
        0.00068	          4e-05	              0              4	 1	  1.1333e-12	
         0.0007	          4e-05	              0              4	 1	  3.0561e-13	
        0.00072	          4e-05	              0              4	 1	  7.4624e-14	
        0.00074	          4e-05	              0              4	 1	  1.1660e-14	
        0.00076	          4e-05	              0              4	 1	  0 
        0.00078	          4e-05	              0              4	 1	  0 
         0.0008	          4e-05	              0              4	 1	  0 
        0.00082	          4e-05	              0              4	 1	  0 
        0.00084	          4e-05	              0              4	 1	  0 
        0.00086	          4e-05	              0              4	 1	  0 
        0.00088	          4e-05	              0              4	 1	  0 
         0.0009	          4e-05	              0              4	 1	  0 
        0.00092	          4e-05	              0              4	 1	  0 
        0.00094	          4e-05	              0              4	 1	  0 
        0.00096	          4e-05	              0              4	 1	  0 
        0.00098	          4e-05	              0              4	 1	  0 
          0.001	          4e-05	              0              4	 1	  0 
              0          6e-05	              0              4	 1	  6.4006e-02	
          2e-05	          6e-05	              0              4	 1	  6.2386e-02	
          4e-05	          6e-05	              0              4	 1	  5.7772e-02	
          6e-05	          6e-05	              0              4	 1	  5.0839e-02	
          8e-05	          6e-05	              0              4	 1	  4.2528e-02	
         0.0001	          6e-05	              0              4	 1	  3.3834e-02	
        0.00012	          6e-05	              0              4	 1	  2.5615e-02	
        0.00014	          6e-05	              0              4	 1	  1.8466e-02	
        0.00016	          6e-05	              0              4	 1	  1.2687e-02	
        0.00018	          6e-05	              0              4	 1	  8.3141e-03	
         0.0002	          6e-05	              0              4	 1	  5.2017e-03	
        0.00022	          6e-05	              0              4	 1	  3.1102e-03	
        0.00024	          6e-05	              0              4	 1	  1.7791e-03	
        0.00026	          6e-05	              0              4	 1	  9.7460e-04	
        0.00028	          6e-05	              0              4	 1	  5.1189e-04	
         0.0003	          6e-05	              0              4	 1	  2.5807e-04	
        0.00032	          6e-05	              0              4	 1	  1.2502e-04	
        0.00034	          6e-05	              0              4	 1	  5.8266e-05	
        0.00036	          6e-05	              0              4	 1	  2.6154e-05	
        0.00038	          6e-05	              0              4	 1	  1.1320e-05	
         0.0004	          6e-05	              0              4	 1	  4.7290e-06	
        0.00042	          6e-05	              0              4	 1	  1.9092e-06	
        0.00044	          6e-05	              0              4	 1	  7.4562e-07	
        0.00046	          6e-05	              0              4	 1	  2.8200e-07	
        0.00048	          6e-05	              0              4	 1	  1.0339e-07	
         0.0005	          6e-05	              0              4	 1	  3.6784e-08	
        0.00052	          6e-05	              0              4	 1	  1.2712e-08	
        0.00054	          6e-05	              0              4	 1	  4.2710e-09	
        0.00056	          6e-05	              0              4	 1	  1.3965e-09	
        0.00058	          6e-05	              0              4	 1	  4.4476e-10	
         0.0006	          6e-05	              0              4	 1	  1.3808e-10	
        0.00062	          6e-05	              0              4	 1	  4.1825e-11	
        0.00064	          6e-05	              0              4	 1	  1.2366e-11	
        0.00066	          6e-05	              0              4	 1	  3.5679e-12	
        0.00068	          6e-05	              0              4	 1	  1.0013e-12	
         0.0007	          6e-05	              0              4	 1	  2.6912e-13	
        0.00072	          6e-05	              0              4	 1	  6.4880e-14	
        0.00074	          6e-05	              0              4	 1	  1.0066e-14	
        0.00076	          6e-05	              0              4	 1	  0 
        0.00078	          6e-05	              0              4	 1	  0 
         0.0008	          6e-05	              0              4	 1	  0 
        0.00082	          6e-05	              0              4	 1	  0 
        0.00084	          6e-05	              0              4	 1	  0 
        0.00086	          6e-05	              0              4	 1	  0 
        0.00088	          6e-05	              0              4	 1	  0 
         0.0009	          6e-05	              0              4	 1	  0 
        0.00092	          6e-05	              0              4	 1	  0 
        0.00094	          6e-05	              0              4	 1	  0 
        0.00096	          6e-05	              0              4	 1	  0 
        0.00098	          6e-05	              0              4	 1	  0 
