x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.269386	0.35	-99999	7.94185e-007	0.000431858	4.67859e-009	0.000863053	0	2.3019e-009	2.02648e-012	1.99256	8.62139e-006	3.13869e-007	0	0	0.000684904	2.61163e-016	0.499658	7.94185e-007	-3.49113	9.56767e-006	2.4931	0	1	0	0	0	0	0.25	0.25	16	16.4051	3.36337	1	5.56588	-0.207909	3.98815	7.36037e-007	9.01819e-006	1.99352	
1.1	0.4	1	0.294665	1.82956e-005	0.138627	1.87302e-015	0	5.43353e-008	2.54379e-006	1.02073e-010	8.10606e-028	0.0570789	0	0	7.01112	6.02306e-009	1.49444	0.294665	-4.25499	0.309867	1.55152	0	10	0	0	0	0	3.75	0.375	17	15.3249	4.73637	0.989847	0.0708595	-0.207911	-0.523698	0.294253	0.316107	0.062066	
1	0.45	1	0.299132	1.89762e-005	0.172005	6.12368e-016	0	5.23863e-008	3.27369e-006	3.21749e-011	3.03707e-029	0.0412554	0	0	8.66296	1.03034e-008	0.668519	0.299132	-1.84051	0.295775	0.709774	0	10	0	0	0	0	4	0.4	18	15.2036	4.7205	0.998792	-0.0815608	-0.207913	-0.597081	0.299038	0.29737	0.0392384	
1.0375	1	-99999	0	5.47546e-011	0	1.10658e-010	0	0.0181555	0	2.01501	0	0	0	0	8.64089e-011	0	0.500153	0	-3.53362	0	2.51516	0	1.00031	0	0	0	0	0.25	0.249923	19	10.8418	10.2603	2.02163	5.61119	-0.191442	4.01007	-0.00135019	-0.0100083	2.01406	
0.35	0.730614	-99999	0.0854997	0.536838	3.85423e-012	0.372687	0	1.85176e-012	2.07524e-012	0.692174	2.39504e-013	0.18094	0	0	0.738497	4.45617e-007	0.130623	0.0854997	0.176556	0.542821	1.37642	0	0.999744	0	0	0	0	0.25	0.250064	20	20.2886	0.26887	1.8789	5.15352	-0.193893	2.69672	0.0843028	0.528641	1.25889	
1	0.225	1	0.299211	1.69723e-005	0.171889	9.77029e-016	0	5.85717e-008	2.926e-006	5.7396e-011	1.9263e-028	0.0420354	0	0	7.66549	6.51857e-009	1.16725	0.299211	-3.3336	0.297998	1.20929	0	10	0	0	0	0	3.75	0.375	21	15.1711	4.76897	0.999644	-0.0807034	-0.207913	-0.599665	0.299207	0.298204	0.0401781	
1.1	0.2	1	0.299573	1.60184e-005	0.177332	9.77677e-016	0	6.20596e-008	2.849e-006	6.08542e-011	2.50965e-028	0.0366467	0	0	7.40612	5.46234e-009	1.29694	0.299573	-3.74421	0.287275	1.33359	0	10	0	0	0	0	3.75	0.375	22	15.1496	4.7941	0.997662	-0.124228	-0.207913	-0.605643	0.299597	0.286954	0.0363814	
1.1	0.65	1	0.215255	1.53784	3.09109e-012	0.0288878	0	6.46425e-013	4.76769e-012	0.0187292	1.3284e-018	0.487184	0	0	9.84677	0.000112016	0.0765545	0.215255	3.23852	1.46166	0.611356	0	9.99999	0	0	0	0	3.92857	0.392858	23	20.3779	-0.188196	0.97618	5.35582	-0.207847	0.718923	0.213212	1.50171	0.547478	
1	0.675	1	0.289952	0.0163146	0.118654	4.72709e-027	0	6.0933e-011	0.00194153	2.8889e-025	0	0.0571147	0	0	6.57258	3.42681	4.67481e-021	0.289952	10.5271	3.71875	0.0571147	0	9.9994	0	0	0	0	3.75	0.375023	24	18.2468	1.78614	0.998046	0.252353	-0.204199	-0.441861	0.288933	0.346917	0.0618663	
1.6	0	-99999	0.299371	1.30983e-005	0.185024	1.23748e-015	0	7.58952e-008	2.43067e-006	9.41972e-011	1.18768e-027	0.0235545	0	0	0.909451	3.8264e-010	0.0452745	0.299371	-0.0415899	0.25569	0.0688291	0	1	0	0	0	0	0.25	0.25	25	15.0412	4.8815	0.992848	-0.233243	-0.207913	-0.603331	0.299446	0.254279	0.0230799	
1.43	0.3	-99999	0.1689	2.96518	0.0252604	5.26975e-033	0	3.35256e-013	0.0751239	1.77196e-033	0	0.670376	0	0	1.50059e-006	0.999999	4.52438e-047	0.1689	8.7218	3.11151	0.670376	0	1	0	0	0	0	0.25	0.25	26	20.8645	-0.473337	1.09281	8.23643	-0.207884	1.45708	0.165072	2.16901	0.688144	
1.77246	0.3	-99999	0.150716	3.2913	2.27674e-007	5.70779e-018	0	3.02037e-013	7.51567e-007	1.72908e-018	0	0.807018	0	0	0.108529	0.891471	1.87437e-022	0.150716	9.19379	3.31253	0.807018	0	1	0	0	0	0	0.25	0.25	27	21.0214	-0.518654	1.26039	9.33871	-0.207838	1.73799	0.146755	2.39693	0.825737	
0.643247	0.3375	-99999	0.00409828	0.247842	5.15166e-012	0.336136	0	4.01101e-012	1.28058e-012	1.35224	5.17018e-012	0.0177034	0	0	0.376796	2.99034e-008	0.311602	0.00409828	-1.96839	0.0531102	2.01768	0	1	0	0	0	0	0.25	0.25	28	19.3422	0.604539	1	5.3847	-0.207907	3.9299	0.00379958	0.0492143	1.72297	
1.1	0.1	1	0.299109	1.65168e-005	0.171442	1.09492e-015	0	6.01869e-008	2.84006e-006	6.60955e-011	3.01493e-028	0.0419215	0	0	7.37348	5.76382e-009	1.31326	0.299109	-3.77207	0.297209	1.35518	0	10	0	0	0	0	3.75	0.375	29	15.1268	4.78079	1.00005	-0.0803802	-0.207913	-0.598168	0.29911	0.297229	0.0419285	
