x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.294754	2.37168	0.373798	9.96976e-039	0	4.19153e-013	0.889157	4.19125e-039	0	0.00168197	0	0	1.98153e-007	0.999882	2.91723e-054	0.294754	6.26721	2.26788	0.00168197	0	0.999882	0	0	0	0	0.25	0.25003	0	0.999998	3.18582	-0.208183	-0.47153	0.290848	1.35106	0.0207099	
2.1	0	-99999	0.299113	1.29406e-005	0.184784	1.21449e-015	0	7.68196e-008	2.39831e-006	9.35729e-011	1.17688e-027	0.0219387	0	0	0.908117	3.67975e-010	0.0459416	0.299113	-0.0500547	0.250602	0.0678802	0	1	0	0	0	0	0.25	0.25	1	1.00882	-0.240385	-0.207913	-0.59822	0.299113	0.250578	0.0219283	
2.1	1	-99999	0.298929	0.243952	0.240025	1.83605e-034	0	4.07496e-012	0.0587282	7.50404e-034	0	0.000918066	0	0	0.000283506	0.999716	1.01041e-040	0.298929	3.3055	1.30122	0.000918066	0	1	0	0	0	0	0.25	0.25	2	1.99274	-0.104417	-0.207843	-0.595088	0.298908	0.301782	0.00101452	
0	1	-99999	0.29869	3.51007e-007	0.192882	1.98291e-009	0	2.83212e-006	6.79037e-008	0.00563251	0.00987768	0.0220518	0	0	1.04738e-005	8.84073e-020	0.499995	0.29869	-1.45692	0.268915	0.557312	0	1	0	0	0	0	0.25	0.25	3	2	-0.142967	-0.207929	-0.591382	0.298667	0.268956	0.0574058	
1	0	1	0.299113	1.62688e-005	0.171973	1.13141e-015	0	6.11044e-008	2.8061e-006	6.93392e-011	3.54499e-028	0.0411555	0	0	7.25243	5.43444e-009	1.37379	0.299113	-3.95672	0.295443	1.41494	0	10	0	0	0	0	3.75	0.375	4	1	-0.0883624	-0.207913	-0.598221	0.299113	0.295459	0.0393076	
1.1	0	1	0.299113	1.61259e-005	0.17311	1.10154e-015	0	6.16459e-008	2.79982e-006	6.81068e-011	3.41147e-028	0.0394511	0	0	7.25288	5.32777e-009	1.37356	0.299113	-3.96286	0.291466	1.41301	0	10	0	0	0	0	3.75	0.375	5	1	-0.10008	-0.207913	-0.59822	0.299113	0.291501	0.0394661	
1	0.9	1	0.283602	0.531105	0.17905	1.75418e-033	0	1.87175e-012	0.0953763	3.29313e-033	0	0.081794	0	0	0.000368405	9.99963	1.57973e-040	0.283602	30.9526	10.5194	0.081794	0	10	0	0	0	0	3.21429	0.321429	6	0.994143	1.0276	-0.207912	-0.319833	0.280957	0.555981	0.0953177	
1.1	0.9	1	0.274714	0.599233	0.134933	3.96335e-033	0	1.65895e-012	0.0810964	6.59448e-033	0	0.128176	0	0	0.000340356	9.99966	2.121e-040	0.274714	31.192	10.6002	0.128176	0	10	0	0	0	0	2.91667	0.291667	7	1.02615	1.49026	-0.207899	-0.173176	0.271392	0.644632	0.145341	
0	0.298	-99999	2.66462e-008	1.35282e-007	3.79971e-014	2.70565e-007	0	7.34829e-006	5.15559e-021	1.99408	2.24033e-007	5.07565e-040	0	0	2.14542e-007	2.04236e-035	0.5	2.66462e-008	-3.49409	2.24033e-007	2.49408	0	1	0	0	0	0	0.25	0.25	8	1	5.56645	-0.207901	3.98816	2.41507e-008	2.03161e-007	1.99409	
0	0.402	-99999	1.77125e-008	1.24876e-007	2.37321e-014	2.49751e-007	0	7.96068e-006	2.97235e-021	1.99408	1.51587e-007	0	0	0	1.98038e-007	9.26111e-036	0.5	1.77125e-008	-3.49409	1.51587e-007	2.49409	0	1	0	0	0	0	0.25	0.25	9	1	5.56645	-0.207901	3.98816	1.59645e-008	1.36685e-007	1.99409	
