x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1	0.45	1	0	1.25535	0	0.595582	0	7.91889e-013	0	0.473034	0	0	0	0	7.03655	0	1.48173	0	-3.66287	0	2.55034	0	10	0	0	0	0	4	0.4	18	2.01857e-019	4.64387	-0.207911	3.98816	-5.31725e-021	-4.22763e-021	1.07153	
1.0375	1	-99999	0.0429901	0.240027	5.31529e-012	0.275653	0	4.1416e-012	1.2796e-012	1.14503	3.34416e-012	0.0140276	0	0	0.391769	2.91394e-008	0.304116	0.0429901	-1.76124	0.0420829	1.73882	0	1	0	0	0	0	0.25	0.25	19	0.305158	4.42534	-0.207912	3.28838	0.0456384	0.0446268	1.41891	
0.35	0.730614	-99999	0	0.25955	6.68045e-016	0.349139	0	3.83007e-012	1.73906e-016	1.34119	6.24639e-016	4.82286e-014	0	0	0.391512	4.62765e-012	0.304244	0	-1.99437	4.7738e-012	1.99458	0	1	0	0	0	0	0.25	0.25	20	-0.000567649	5.26397	-0.207813	3.98947	-8.48637e-005	-8.45231e-005	1.69038	
1	0.225	1	0	1.30138	0	0.592808	0	7.63879e-013	0	0.454176	0	0	0	0	7.2158	0	1.3921	0	-3.3291	0	2.43908	0	10	0	0	0	0	3.75	0.375	21	-6.63466e-021	4.62209	-0.207911	3.98815	-2.19972e-021	-2.43198e-021	1.04976	
1.1	0.2	1	0	1.42877	0	0.582253	0	6.95768e-013	0	0.406314	0	0	0	0	7.66705	0	1.16648	0	-2.47697	0	2.15504	0	10	0	0	0	0	3.75	0.375	22	-5.55323e-027	4.5611	-0.207911	3.98816	-9.57605e-028	-1.12186e-027	0.988766	
1.1	0.65	1	5.8385e-010	1.37648	9.27733e-019	0.587068	0	7.222e-013	1.2808e-018	0.425238	5.2134e-021	1.71808e-019	0	0	7.48967	1.83376e-011	1.25516	5.8385e-010	-2.81425	1.83376e-011	2.26747	0	10	0	0	0	0	3.92857	0.392857	23	4.60079e-009	4.58422	-0.207911	3.98816	6.88031e-010	5.31539e-012	1.01188	
1	0.675	1	0	1.16658	0	0.599145	0	8.52142e-013	0	0.512071	0	0	0	0	6.66609	0	1.66696	0	-4.34636	0	2.77817	0	10	0	0	0	0	3.75	0.375	24	-6.30827e-016	4.68731	-0.207912	3.98816	-1.06165e-014	-6.60337e-014	1.11497	
1.6	0	-99999	0	0.259504	0	0.348987	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.99409	0	1.99408	0	1	0	0	0	0	0.25	0.25	25	-2.33375e-024	5.26217	-0.207912	3.98816	-3.65074e-025	-3.77489e-025	1.68983	
1.43	0.3	-99999	0	0.259505	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	26	2.02562e-017	5.26218	-0.207912	3.98816	4.38702e-019	4.24211e-019	1.68984	
1.77246	0.3	-99999	0	0.259505	0	0.348988	0	3.83074e-012	0	1.34085	0	0	0	0	0.391498	0	0.304251	0	-1.9941	0	1.99409	0	1	0	0	0	0	0.25	0.25	27	8.95399e-020	5.26217	-0.207912	3.98816	1.52324e-021	1.44508e-021	1.68983	
0.643247	0.3375	-99999	0	0.259505	1.89252e-016	0.348988	0	3.83074e-012	4.92575e-017	1.34085	1.7685e-016	1.09526e-015	0	0	0.391498	1.31024e-012	0.304251	0	-1.9941	1.31394e-012	1.99409	0	1	0	0	0	0	0.25	0.25	28	-2.10271e-008	5.26217	-0.207912	3.98816	-6.30557e-009	-6.28637e-009	1.68983	
1.1	0.1	1	0	1.42928	0	0.582204	0	6.95522e-013	0	0.406136	0	0	0	0	7.66871	0	1.16565	0	-2.47379	0	2.15399	0	10	0	0	0	0	3.75	0.375	29	-1.75597e-027	4.56058	-0.207911	3.98816	-1.10222e-027	-1.00483e-027	0.988238	
0.130053	0.35	-99999	0.289937	7.92488e-006	0.12353	5.72645e-014	0	1.2544e-007	9.81867e-007	7.20455e-009	5.86374e-022	0.043469	0	0	0.18837	1.17194e-011	0.405815	0.289937	-1.04356	0.253938	0.449284	0	1	0	0	0	0	0.25	0.25	30	0.970549	-0.0745074	-0.207913	-0.463149	0.290304	0.253927	0.0426879	
1.0625	0.9	1	0	0.69222	1.62012e-015	0.560473	0	1.4361e-012	1.1248e-015	0.80728	1.23864e-016	5.58693e-011	0	0	4.16698	2.26593e-009	2.91651	0	-8.86458	2.43354e-009	4.28426	0	10	0	0	0	0	3.75	0.375	31	-1.80289e-005	4.95118	-0.207905	3.98821	-2.69633e-006	-2.70957e-006	1.37879	
1.15083	0.931206	-99999	0.00207203	0.257246	1.64418e-012	0.34418	0	3.86437e-012	4.24213e-013	1.33398	1.52625e-012	0.000683963	0	0	0.389672	1.10367e-008	0.305164	0.00207203	-1.9895	0.0020519	1.98401	0	1	0	0	0	0	0.25	0.25	32	0.0153283	5.22152	-0.207912	3.95301	0.00229245	0.0022687	1.67753	
1.1	0.775	1	0	1.31813	1.73309e-016	0.591657	0	7.54173e-013	2.2912e-016	0.447535	1.18554e-018	9.4921e-013	0	0	7.27885	2.92347e-009	1.36057	0	-3.21113	2.92632e-009	2.39977	0	10	0	0	0	0	3.92857	0.392857	33	-8.48124e-007	4.61476	-0.207911	3.98817	-1.26845e-007	-1.38813e-007	1.04242	
1.09219	0.942092	-99999	0.00077285	0.256788	1.18564e-012	0.345552	0	3.87126e-012	3.05362e-013	1.34169	1.12178e-012	0.000255669	0	0	0.388296	7.88836e-009	0.305852	0.00077285	-2.00143	0.000767016	1.99335	0	1	0	0	0	0	0.25	0.25	34	0.00578354	5.24857	-0.207913	3.9749	0.000864964	0.000857866	1.68692	
1.08438	0.9	1	0	0.689157	1.21665e-015	0.559787	0	1.44248e-012	8.40952e-016	0.809876	9.43356e-017	2.32167e-011	0	0	4.14846	1.67168e-009	2.92577	0	-8.89802	1.74134e-009	4.29543	0	10	0	0	0	0	3.75	0.375	35	-5.35592e-005	4.95293	-0.207899	3.98829	-8.01014e-006	-7.98077e-006	1.38046	
1.1	0.8375	1	0	1.10745	1.05907e-015	0.600077	0	8.97647e-013	1.17634e-015	0.540255	1.51694e-017	1.09463e-010	0	0	6.40107	9.31725e-009	1.79946	0	-4.8312	9.64564e-009	2.9398	0	10	0	0	0	0	3.75	0.375	36	-1.22995e-005	4.72216	-0.207909	3.98819	-1.83947e-006	-1.84841e-006	1.14979	
1.1	0.86875	1	0	0.887003	1.17892e-015	0.590921	0	1.12073e-012	1.04881e-015	0.66423	3.91821e-017	6.11906e-011	0	0	5.28972	4.40388e-009	2.35514	0	-6.84266	4.58746e-009	3.61029	0	10	0	0	0	0	3.75	0.375	37	-3.2153e-005	4.84011	-0.207905	3.98824	-4.80869e-006	-4.79865e-006	1.26769	
1.07344	0.875	1	3.9937e-007	1.7831	4.57385e-015	0.535426	0	5.5751e-013	8.17981e-015	0.299391	6.92458e-018	5.28747e-008	0	0	8.60856	2.25882e-007	0.695718	3.9937e-007	-0.603446	3.84507e-007	1.53053	0	10	0	0	0	0	5	0.5	38	3.32729e-006	4.40453	-0.207911	3.98816	4.97619e-007	2.60967e-007	0.832196	
1.08231	0.853125	1	1.67778e-007	1.53851	3.99432e-015	0.570201	0	6.46141e-013	6.16353e-015	0.369523	1.31777e-017	2.07856e-008	0	0	8.0052	1.17832e-007	0.997399	1.67778e-007	-1.82321	1.80188e-007	1.93712	0	10	0	0	0	0	5	0.5	39	1.31837e-006	4.51236	-0.207911	3.98816	1.97173e-007	9.47891e-008	0.940021	
1	0.7875	1	7.79233e-010	1.06688	0	0.599966	0	9.31777e-013	0	0.560692	0	0	0	0	6.21098	0	1.89451	7.79233e-010	-5.17734	0	3.05517	0	10	0	0	0	0	3.75	0.375	40	6.15797e-009	4.7382	-0.207912	3.98816	9.20443e-010	-4.47733e-011	1.16586	
1.05666	0.80625	1	1.65799e-010	1.50856	5.83539e-019	0.573737	0	6.58968e-013	8.82916e-019	0.379196	2.12163e-021	6.02807e-020	0	0	7.91737	1.60504e-011	1.04132	1.65799e-010	-1.99458	1.60504e-011	1.99425	0	10	0	0	0	0	5	0.5	41	1.62193e-009	4.52528	-0.207911	3.98816	2.42859e-010	-4.52067e-010	0.952937	
1.07479	0.826783	1	0	1.52502	4.18053e-017	0.571816	0	6.51857e-013	6.3943e-017	0.373848	1.44083e-019	2.30704e-014	0	0	7.96604	1.19521e-009	1.01698	0	-1.89976	1.19528e-009	1.96264	0	10	0	0	0	0	5	0.5	42	-6.5955e-008	4.5177	-0.207911	3.98816	-9.86308e-009	-2.70358e-008	0.945358	
1	0.84375	1	3.92748e-008	0.905632	6.09616e-015	0.592581	0	1.09768e-012	5.53726e-015	0.652394	1.88021e-016	9.21995e-009	0	0	5.3908	2.47007e-008	2.3046	3.92748e-008	-6.66057	5.23606e-008	3.54958	0	10	0	0	0	0	3.75	0.375	43	2.91692e-007	4.82457	-0.207912	3.98816	4.36168e-008	3.27689e-008	1.25223	
1.06229	0.857745	1	1.63173e-008	1.51942	5.65905e-016	0.572475	0	6.54259e-013	8.62398e-016	0.375658	1.98616e-018	5.64551e-011	0	0	7.94959	1.59686e-008	1.0252	1.63173e-008	-1.93185	1.6138e-008	1.97334	0	10	0	0	0	0	5	0.5	44	1.37008e-007	4.52055	-0.207911	3.98816	2.04915e-008	4.95102e-009	0.948215	
1.03125	0.9	1	2.01465e-006	0.621319	4.31095e-014	0.542209	0	1.59998e-012	2.68642e-014	0.870094	4.59758e-015	6.60917e-007	0	0	3.73397	3.9069e-008	3.13302	2.01465e-006	-9.64782	2.02182e-006	4.54532	0	10	0	0	0	0	3.92857	0.392857	45	1.42715e-005	4.99324	-0.207912	3.98813	2.13441e-006	2.09911e-006	1.42093	
1.05904	0.838429	1	2.79561e-009	1.50858	1.20242e-016	0.573735	0	6.58963e-013	1.81932e-016	0.379191	4.37156e-019	5.27412e-013	0	0	7.91741	3.30738e-009	1.0413	2.79561e-009	-1.9945	3.30896e-009	1.99422	0	10	0	0	0	0	5	0.5	46	2.14591e-008	4.5253	-0.207911	3.98816	3.21033e-009	6.99533e-010	0.952957	
1.03183	0.85294	1	0	1.51768	2.36011e-018	0.572679	0	6.55008e-013	3.59253e-018	0.376221	8.33018e-021	4.07791e-018	0	0	7.94447	6.63264e-011	1.02777	0	-1.94184	6.63264e-011	1.97667	0	10	0	0	0	0	5	0.5	47	-2.82571e-008	4.52115	-0.207911	3.98816	-4.22094e-009	-5.23115e-009	0.948808	
1.04841	0.878942	1	0	1.78178	1.98626e-017	0.53564	0	5.57922e-013	3.54957e-017	0.299732	3.01962e-020	4.31915e-015	0	0	8.60581	9.78439e-010	0.697095	0	-0.609238	9.78452e-010	1.53247	0	10	0	0	0	0	5	0.5	48	-1.87982e-007	4.40462	-0.207911	3.98816	-2.81123e-008	-3.66014e-008	0.832276	
1.1	0.80625	1	0	1.2311	8.23714e-016	0.5968	0	8.07485e-013	1.01708e-015	0.483337	7.59984e-018	7.82228e-011	0	0	6.9386	1.07913e-008	1.5307	0	-3.84434	1.10259e-008	2.61084	0	10	0	0	0	0	3.75	0.375	49	-4.58106e-006	4.65889	-0.20791	3.98817	-6.85133e-007	-7.04064e-007	1.08654	
1.0628	0.769093	1	1.7135e-011	1.50828	8.23695e-020	0.573769	0	6.5909e-013	1.24605e-019	0.379287	2.9975e-022	1.69423e-022	0	0	7.91654	2.2641e-012	1.04173	1.7135e-011	-1.9962	2.2641e-012	1.99479	0	10	0	0	0	0	5	0.5	50	1.37869e-010	4.52539	-0.207911	3.98816	2.05884e-011	-8.82351e-011	0.953047	
1	0.871875	1	2.18861e-007	0.708194	1.67936e-014	0.563982	0	1.4037e-012	1.19284e-014	0.794011	1.19411e-015	6.85975e-008	0	0	4.26306	2.57316e-008	2.86847	2.18861e-007	-8.69122	2.31524e-007	4.22646	0	10	0	0	0	0	3.92857	0.392857	51	1.58212e-006	4.93749	-0.207912	3.98816	2.3661e-007	2.2363e-007	1.36515	
1.03393	0.82411	1	0	1.50865	1.23034e-019	0.573727	0	6.58929e-013	1.86166e-019	0.379166	4.47196e-022	5.65119e-022	0	0	7.91764	3.3848e-012	1.04118	0	-1.99406	3.3848e-012	1.99408	0	10	0	0	0	0	5	0.5	52	-8.87172e-010	4.52517	-0.207911	3.98816	-1.32247e-010	-1.32174e-010	0.952831	
1.07833	0.805385	1	9.40404e-010	1.50649	4.16798e-018	0.573975	0	6.59877e-013	6.29762e-018	0.379876	1.52566e-020	2.1854e-017	0	0	7.91116	1.14079e-010	1.04442	9.40404e-010	-2.00666	1.14079e-010	1.99827	0	10	0	0	0	0	5	0.5	53	1.09961e-008	4.52644	-0.207911	3.98816	1.64466e-009	-4.26745e-009	0.9541	
1.06681	0.788844	1	2.18759e-010	1.50857	1.27472e-017	0.573736	0	6.58966e-013	1.92871e-017	0.379194	4.63452e-020	6.28375e-016	0	0	7.91739	3.5062e-010	1.04131	2.18759e-010	-1.99454	3.50622e-010	1.99424	0	10	0	0	0	0	5	0.5	54	1.57385e-009	4.52525	-0.207911	3.98816	2.35356e-010	4.41928e-011	0.952905	
1.08977	0.790625	1	1.79962e-008	1.47021	7.57213e-016	0.577999	0	6.76158e-013	1.11656e-015	0.391978	3.12029e-018	1.19702e-010	0	0	7.80006	1.89932e-008	1.09997	1.79962e-008	-2.22168	1.93523e-008	2.06995	0	10	0	0	0	0	5	0.5	55	1.33618e-007	4.54337	-0.207911	3.98816	1.99832e-008	3.09015e-009	0.971024	
