              x	              y	              z	           time	in	          Na	          Cl	
              0              9	              0              0 1	  1.0000e-03	  1.0000e-03	
              1	              9	              0              0 1	  1.1000e-03	  1.1000e-03	
              2	              9	              0              0 1	  1.2000e-03	  1.2000e-03	
              3	              9	              0              0 1	  1.3000e-03	  1.3000e-03	
              4	              9	              0              0 1	  1.4000e-03	  1.4000e-03	
              5	              9	              0              0 1	  1.5000e-03	  1.5000e-03	
              6	              9	              0              0 1	  1.6000e-03	  1.6000e-03	
              7	              9	              0              0 1	  1.7000e-03	  1.7000e-03	
              8	              9	              0              0 1	  1.8000e-03	  1.8000e-03	
              9	              9	              0              0 1	  1.9000e-03	  1.9000e-03	
             10	              9	              0              0 1	  2.0000e-03	  2.0000e-03	
              0             10	              0              0 1	  1.0000e-03	  1.0000e-03	
              1	             10	              0              0 1	  1.1000e-03	  1.1000e-03	
              2	             10	              0              0 1	  1.2000e-03	  1.2000e-03	
              3	             10	              0              0 1	  1.3000e-03	  1.3000e-03	
              4	             10	              0              0 1	  1.4000e-03	  1.4000e-03	
              5	             10	              0              0 1	  1.5000e-03	  1.5000e-03	
              6	             10	              0              0 1	  1.6000e-03	  1.6000e-03	
              7	             10	              0              0 1	  1.7000e-03	  1.7000e-03	
              8	             10	              0              0 1	  1.8000e-03	  1.8000e-03	
              9	             10	              0              0 1	  1.9000e-03	  1.9000e-03	
             10	             10	              0              0 1	  2.0000e-03	  2.0000e-03	
              0              0              0            0.5	 1	  9.9621e-04	  9.9621e-04	
              1	              0              0            0.5	 1	  1.0950e-03	  1.0950e-03	
              2	              0              0            0.5	 1	  1.1950e-03	  1.1950e-03	
              3	              0              0            0.5	 1	  1.2950e-03	  1.2950e-03	
              4	              0              0            0.5	 1	  1.3950e-03	  1.3950e-03	
              5	              0              0            0.5	 1	  1.4950e-03	  1.4950e-03	
              6	              0              0            0.5	 1	  1.5950e-03	  1.5950e-03	
              7	              0              0            0.5	 1	  1.6950e-03	  1.6950e-03	
              8	              0              0            0.5	 1	  1.7950e-03	  1.7950e-03	
              9	              0              0            0.5	 1	  1.8950e-03	  1.8950e-03	
             10	              0              0            0.5	 1	  1.9940e-03	  1.9940e-03	
              0              1	              0            0.5	 1	  9.9621e-04	  9.9621e-04	
              1	              1	              0            0.5	 1	  1.0950e-03	  1.0950e-03	
              2	              1	              0            0.5	 1	  1.1950e-03	  1.1950e-03	
              3	              1	              0            0.5	 1	  1.2950e-03	  1.2950e-03	
              4	              1	              0            0.5	 1	  1.3950e-03	  1.3950e-03	
              5	              1	              0            0.5	 1	  1.4950e-03	  1.4950e-03	
              6	              1	              0            0.5	 1	  1.5950e-03	  1.5950e-03	
              7	              1	              0            0.5	 1	  1.6950e-03	  1.6950e-03	
              8	              1	              0            0.5	 1	  1.7950e-03	  1.7950e-03	
              9	              1	              0            0.5	 1	  1.8950e-03	  1.8950e-03	
             10	              1	              0            0.5	 1	  1.9940e-03	  1.9940e-03	
              0              2	              0            0.5	 1	  9.9621e-04	  9.9621e-04	
              1	              2	              0            0.5	 1	  1.0950e-03	  1.0950e-03	
              2	              2	              0            0.5	 1	  1.1950e-03	  1.1950e-03	
              3	              2	              0            0.5	 1	  1.2950e-03	  1.2950e-03	
              4	              2	              0            0.5	 1	  1.3950e-03	  1.3950e-03	
              5	              2	              0            0.5	 1	  1.4950e-03	  1.4950e-03	
              6	              2	              0            0.5	 1	  1.5950e-03	  1.5950e-03	
              7	              2	              0            0.5	 1	  1.6950e-03	  1.6950e-03	
              8	              2	              0            0.5	 1	  1.7950e-03	  1.7950e-03	
              9	              2	              0            0.5	 1	  1.8950e-03	  1.8950e-03	
             10	              2	              0            0.5	 1	  1.9940e-03	  1.9940e-03	
              0              3	              0            0.5	 1	  9.9621e-04	  9.9621e-04	
              1	              3	              0            0.5	 1	  1.0950e-03	  1.0950e-03	
              2	              3	              0            0.5	 1	  1.1950e-03	  1.1950e-03	
              3	              3	              0            0.5	 1	  1.2950e-03	  1.2950e-03	
              4	              3	              0            0.5	 1	  1.3950e-03	  1.3950e-03	
              5	              3	              0            0.5	 1	  1.4950e-03	  1.4950e-03	
              6	              3	              0            0.5	 1	  1.5950e-03	  1.5950e-03	
              7	              3	              0            0.5	 1	  1.6950e-03	  1.6950e-03	
              8	              3	              0            0.5	 1	  1.7950e-03	  1.7950e-03	
              9	              3	              0            0.5	 1	  1.8950e-03	  1.8950e-03	
             10	              3	              0            0.5	 1	  1.9940e-03	  1.9940e-03	
              0              4	              0            0.5	 1	  9.9633e-04	  9.9633e-04	
