x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.0375	1	-99999	0.299113	0.218443	0.237528	0	0	4.55083e-012	0.0520401	0	0	0	0	0	0.000398985	0.999601	0	0.299113	3.26929	1.28917	0	0	1	0	0	0	0	0.25	0.25	19	19.3205	0.659377	1.66773	-0.145268	-0.207911	-0.598221	0.299113	0.289592	-1.69016e-022	
0.35	0.730614	-99999	0.299113	0.232899	0.239711	0	0	4.26836e-012	0.0559938	0	0	0	0	0	0.000326232	0.999674	0	0.299113	3.28791	1.29538	0	0	1	0	0	0	0	0.25	0.25	20	19.3491	0.631547	1.68398	-0.126903	-0.207911	-0.598221	0.299113	0.295714	-5.91585e-023	
1	0.225	1	0.299113	0.0188283	0.203126	0	0	5.2798e-011	0.00383585	0	0	0	0	0	4.21593	5.78407	0	0.299113	17.3749	5.99103	0	0	10	0	0	0	0	3.75	0.375	21	18.2461	1.7239	1.51149	-0.179238	-0.207912	-0.598221	0.299113	0.27827	-2.79476e-022	
1.1	0.2	1	0.299113	0.0181684	0.202997	0	0	5.47157e-011	0.00369906	0	0	0	0	0	4.48045	5.51955	0	0.299113	16.5805	5.72625	0	0	10	0	0	0	0	3.75	0.375	22	18.2306	1.7394	1.52793	-0.181828	-0.207912	-0.598221	0.299113	0.277406	-2.92801e-022	
1.1	0.65	1	0.299113	0.0223091	0.203803	0	0	4.45601e-011	0.00456014	0	0	0	0	0	3.03969	6.96031	0	0.299113	20.9078	7.16867	0	0	10	0	0	0	0	3.92857	0.392857	23	18.32	1.65023	1.59977	-0.155105	-0.207912	-0.598221	0.299113	0.286314	-2.12478e-022	
1	0.675	1	0.299113	0.0242605	0.204182	0	0	4.09758e-011	0.00496825	0	0	0	0	0	2.53147	7.46853	0	0.299113	22.4348	7.67768	0	0	10	0	0	0	0	3.75	0.375	24	18.3565	1.61381	1.58069	-0.152075	-0.207911	-0.598221	0.299113	0.287323	-1.94468e-022	
1.6	0	-99999	0.299113	0.194995	0.233908	0	0	5.09806e-012	0.045746	0	0	0	0	0	0.000569503	0.999431	0	0.299113	3.23903	1.27908	0	0	1	0	0	0	0	0.25	0.25	25	19.2701	0.708691	1.59877	-0.174913	-0.207912	-0.598221	0.299113	0.279711	-3.19731e-022	
1.43	0.3	-99999	0.299113	0.203155	0.235179	0	0	4.89329e-012	0.0479194	0	0	0	0	0	0.000500909	0.999499	0	0.299113	3.24957	1.2826	0	0	1	0	0	0	0	0.25	0.25	26	19.2883	0.690887	1.61557	-0.164625	-0.207912	-0.598221	0.299113	0.283141	-2.7921e-022	
1.77246	0.3	-99999	0.299113	0.203944	0.235301	0	0	4.87436e-012	0.0481306	0	0	0	0	0	0.000494863	0.999505	0	0.299113	3.25059	1.28294	0	0	1	0	0	0	0	0.25	0.25	27	19.29	0.689203	1.62522	-0.163639	-0.207912	-0.598221	0.299113	0.283469	-2.85884e-022	
0.643247	0.3375	-99999	0.299113	0.222687	0.238172	0	0	4.4641e-012	0.0531951	0	0	0	0	0	0.000375594	0.999624	0	0.299113	3.27475	1.29099	0	0	1	0	0	0	0	0.25	0.25	28	19.3291	0.65102	1.34153	-0.139867	-0.207911	-0.598221	0.299113	0.291393	-1.20246e-022	
1.1	0.1	1	0.299113	0.0172035	0.202809	0	0	5.77844e-011	0.00349937	0	0	0	0	0	4.89017	5.10983	0	0.299113	15.3502	5.31614	0	0	10	0	0	0	0	3.75	0.375	29	18.2069	1.7631	1.50902	-0.195471	-0.207912	-0.598221	0.299113	0.272859	-3.24259e-022	
0.130053	0.35	-99999	0.299113	0.237469	0.240393	0	0	4.1862e-012	0.0572554	0	0	0	0	0	0.000306886	0.999693	0	0.299113	3.2938	1.29734	0	0	1	0	0	0	0	0.25	0.25	30	19.3577	0.623106	1.07614	-0.121084	-0.20791	-0.598221	0.299113	0.297653	-2.32143e-023	
1.0625	0.9	1	0.299113	0.0258677	0.204493	0	0	3.843e-011	0.00530544	0	0	0	0	0	2.18258	7.81742	0	0.299113	23.4834	8.02722	0	0	10	0	0	0	0	3.75	0.375	31	18.3844	1.58596	1.62378	-0.148821	-0.207911	-0.598221	0.299113	0.288408	-1.85457e-022	
1.15083	0.931206	-99999	0.299113	0.215828	0.237129	0	0	4.60595e-012	0.051331	0	0	0	0	0	0.000414348	0.999586	0	0.299113	3.26592	1.28805	0	0	1	0	0	0	0	0.25	0.25	32	19.3152	0.664605	1.64484	-0.148584	-0.207911	-0.598221	0.299113	0.288487	-1.88956e-022	
1.1	0.775	1	0.299113	0.0239709	0.204126	0	0	4.14709e-011	0.00490759	0	0	0	0	0	2.60072	7.39928	0	0.299113	22.2267	7.60831	0	0	10	0	0	0	0	3.92857	0.392857	33	18.3513	1.61903	1.61506	-0.151468	-0.207911	-0.598221	0.299113	0.287526	-1.97791e-022	
1.09219	0.942092	-99999	0.299113	0.216569	0.237242	0	0	4.59019e-012	0.0515318	0	0	0	0	0	0.000409916	0.99959	0	0.299113	3.26687	1.28836	0	0	1	0	0	0	0	0.25	0.25	34	19.3167	0.663117	1.64406	-0.147643	-0.207911	-0.598221	0.299113	0.288801	-1.8189e-022	
1.08438	0.9	1	0.299113	0.0256932	0.204459	0	0	3.8691e-011	0.00526877	0	0	0	0	0	2.21771	7.78229	0	0.299113	23.3778	7.99202	0	0	10	0	0	0	0	3.75	0.375	35	18.3815	1.5889	1.62499	-0.148968	-0.207911	-0.598221	0.299113	0.288359	-1.86491e-022	
1.1	0.8375	1	0.299113	0.0250277	0.20433	0	0	3.97197e-011	0.00512908	0	0	0	0	0	2.35768	7.64232	0	0.299113	22.9571	7.85178	0	0	10	0	0	0	0	3.75	0.375	36	18.3701	1.60029	1.62084	-0.149852	-0.207911	-0.598221	0.299113	0.288065	-1.90488e-022	
1.1	0.86875	1	0.299113	0.0254128	0.204405	0	0	3.91179e-011	0.0052099	0	0	0	0	0	2.2755	7.7245	0	0.299113	23.2041	7.93411	0	0	10	0	0	0	0	3.75	0.375	37	18.3767	1.59366	1.62244	-0.14935	-0.207911	-0.598221	0.299113	0.288232	-1.88097e-022	
