x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.1	0.4	1	0.299109	1.4122e-005	0.185122	8.30878e-016	0	7.03933e-008	2.62205e-006	5.86617e-011	2.66194e-028	0.0214044	0	0	7.06909	3.72956e-009	1.46545	0.299109	-4.31073	0.249338	1.48686	0	10	0	0	0	0	3.75	0.375	17	1.00713	-0.2447	-0.207913	-0.598167	0.299109	0.249302	0.0213887	
1	0.45	1	0.299111	1.12933e-005	0.186183	1.84956e-015	0	8.80249e-008	2.10886e-006	1.6329e-010	7.22053e-027	0.0198235	0	0	4.59944	1.24812e-009	2.70028	0.299111	-8.02153	0.245656	2.7201	0	10	0	0	0	0	4	0.4	18	1.00091	-0.257081	-0.207913	-0.59819	0.299111	0.245698	0.0198418	
1.0375	1	-99999	0.299113	0.240945	0.24091	0	0	4.12582e-012	0.0582181	0	0	0	0	0	0.000293172	0.999707	0	0.299113	3.29828	1.29883	0	0	1	0	0	0	0	0.25	0.25	19	2.0023	-0.11667	-0.20791	-0.598221	0.299113	0.299128	-1.03001e-005	
0.35	0.730614	-99999	0.299112	0.181915	0.22767	5.31482e-033	0	5.46461e-012	0.0415394	2.91296e-032	0	0.00701267	0	0	0.000720495	0.99928	4.55558e-038	0.299112	3.24934	1.28953	0.00701267	0	1	0	0	0	0	0.25	0.25	20	1.95163	-0.136385	-0.207911	-0.5982	0.299112	0.290214	0.00699486	
1	0.225	1	0.299101	1.14809e-005	0.1873	1.55097e-015	0	8.65868e-008	2.15675e-006	1.34692e-010	4.01013e-027	0.0180769	0	0	4.96905	1.42522e-009	2.51548	0.299101	-7.47411	0.241532	2.53355	0	10	0	0	0	0	3.75	0.375	21	1.00025	-0.270788	-0.207913	-0.598047	0.299101	0.241653	0.0181284	
1.1	0.2	1	0.299088	1.42609e-005	0.185857	7.42831e-016	0	6.97077e-008	2.65835e-006	5.19346e-011	1.83643e-028	0.0201382	0	0	7.29229	3.97768e-009	1.35386	0.299088	-3.981	0.246274	1.374	0	10	0	0	0	0	3.75	0.375	22	1.00156	-0.254786	-0.207913	-0.597841	0.299088	0.246251	0.020128	
1.1	0.65	1	0.299113	1.28168e-005	0.183854	1.36265e-015	0	7.75621e-008	2.3634e-006	1.06003e-010	1.71879e-027	0.0233303	0	0	5.74833	2.25162e-009	2.12583	0.299113	-6.28417	0.253847	2.14916	0	10	0	0	0	0	3.92857	0.392857	23	1.01383	-0.229489	-0.207913	-0.598215	0.299113	0.253818	0.0230992	
1	0.675	1	0.299112	1.06513e-005	0.185971	2.38448e-015	0	9.33309e-008	1.98671e-006	2.23205e-010	1.95312e-026	0.0201531	0	0	3.9327	8.94309e-010	3.03365	0.299112	-9.02032	0.246432	3.0538	0	10	0	0	0	0	3.75	0.375	24	1.00108	-0.254967	-0.207913	-0.598212	0.299112	0.246316	0.0201227	
1.6	0	-99999	0.299056	1.27768e-005	0.18539	1.18814e-015	0	7.78045e-008	2.37572e-006	9.27166e-011	1.16334e-027	0.0205976	0	0	0.906865	3.54847e-010	0.0465673	0.299056	-0.0572963	0.247185	0.067165	0	1	0	0	0	0	0.25	0.25	25	1.00504	-0.251067	-0.207913	-0.597361	0.299057	0.247176	0.0205932	
1.43	0.3	-99999	0.299113	8.32141e-006	0.184882	7.043e-015	0	1.19462e-007	1.54304e-006	8.43868e-010	1.34305e-024	0.0217887	0	0	0.467935	5.04447e-011	0.266033	0.299113	-0.710933	0.25025	0.287821	0	1	0	0	0	0	0.25	0.25	26	1.08711	-0.2414	-0.207913	-0.598219	0.299113	0.250282	0.0218008	
