x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.0375	1	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	19	19.3641	0.61686	1.66805	-0.116708	-0.207912	-0.598221	0.299113	0.299113	-1.95158e-066	
0.35	0.730614	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	20	19.3641	0.61686	1.68661	-0.116708	-0.207912	-0.598221	0.299113	0.299113	-6.81488e-067	
1	0.225	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.75	0.375	21	19.3641	0.61686	1.50574	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.32436e-066	
1.1	0.2	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.75	0.375	22	19.3641	0.61686	1.52109	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.48408e-066	
1.1	0.65	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.92857	0.392857	23	19.3641	0.61686	1.59954	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-2.48376e-066	
1	0.675	1	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.00293307	9.99707	0	0.299113	30.2903	10.2962	0	0	10	0	0	0	0	3.75	0.375	24	19.3641	0.61686	1.57774	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-2.23936e-066	
1.6	0	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	25	19.3641	0.61686	1.59836	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.72167e-066	
1.43	0.3	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	26	19.3641	0.61686	1.61595	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.24221e-066	
1.77246	0.3	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	27	19.3641	0.61686	1.62606	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-3.31162e-066	
0.643247	0.3375	-99999	0.299113	0.240909	0.240905	0	0	4.12643e-012	0.0582083	0	0	0	0	0	0.000293307	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	28	19.3641	0.61686	1.34162	-0.116709	-0.207912	-0.598221	0.299113	0.299113	-1.39052e-066	
