x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.825	1	-99999	6.90919e-006	0.0195172	4.05632e-011	0.037735	0	5.09343e-011	7.94027e-013	1.9277	1.49764e-009	3.73089e-005	0	0	0.0309888	9.45657e-012	0.484506	6.90919e-006	-3.36155	0.000111928	2.44998	0	1	0	0	0	0	0.25	0.25	15	17.181	1.7083	1.74478	5.53952	-0.207911	3.98807	6.25181e-006	0.000101279	1.96697	
0.269386	0.35	-99999	2.77433e-006	0.00799912	1.31447e-010	0.0157762	0	1.24276e-010	1.05458e-012	1.96641	1.25691e-008	1.4977e-005	0	0	0.0126933	8.64162e-013	0.493653	2.77433e-006	-3.43931	4.49438e-005	2.47586	0	1	0	0	0	0	0.25	0.25	16	16.6855	2.09567	1.15763	5.55525	-0.207908	3.98812	2.51036e-006	4.06676e-005	1.98282	
1.1	0.4	1	1.41186e-005	0.0514629	1.04129e-011	0.0942952	0	1.93167e-011	5.37467e-013	1.82687	1.24101e-010	7.62403e-005	0	0	0.266029	3.82057e-010	4.86699	1.41186e-005	-16.3761	0.000228721	6.78823	0	10	0	0	0	0	3.75	0.375	17	17.684	1.28722	1.56069	5.50171	-0.207918	3.98797	1.27753e-005	0.000206959	1.92896	
1	0.45	1	1.27868e-005	0.0456516	1.22621e-011	0.0844561	0	2.17757e-011	5.61445e-013	1.84454	1.69569e-010	6.90483e-005	0	0	0.235226	2.77692e-010	4.88239	1.27868e-005	-16.4458	0.000207145	6.81145	0	10	0	0	0	0	4	0.4	18	17.6207	1.33926	1.54307	5.50853	-0.207917	3.98798	1.15702e-005	0.000187436	1.93582	
1.0375	1	-99999	9.52433e-006	0.0270531	2.63106e-011	0.0516369	0	3.6746e-011	7.13894e-013	1.90308	6.74303e-010	5.14308e-005	0	0	0.0429632	2.26476e-011	0.478518	9.52433e-006	-3.31137	0.000154293	2.43328	0	1	0	0	0	0	0.25	0.25	19	17.3595	1.5665	1.66773	5.52945	-0.207914	3.98803	8.61813e-006	0.000139613	1.95683	
0.35	0.730614	-99999	3.33368e-006	0.00922061	1.10357e-010	0.0181467	0	1.07812e-010	1.02058e-012	1.96224	9.09644e-009	1.79987e-005	0	0	0.0146327	1.281e-012	0.492684	3.33368e-006	-3.431	5.40052e-005	2.47309	0	1	0	0	0	0	0.25	0.25	20	16.7697	2.03395	1.68398	5.55356	-0.20791	3.98812	3.01649e-006	4.88669e-005	1.98111	
1	0.225	1	1.57489e-005	0.0676973	6.89879e-012	0.120791	0	1.46844e-011	4.68415e-013	1.77901	5.77177e-011	8.50437e-005	0	0	0.353037	7.6463e-010	4.82348	1.57489e-005	-16.1814	0.000255132	6.72337	0	10	0	0	0	0	3.75	0.375	21	17.816	1.16814	1.51149	5.48352	-0.207918	3.98794	1.42505e-005	0.000230857	1.91072	
1.1	0.2	1	1.64998e-005	0.0713183	6.43646e-012	0.126509	0	1.39388e-011	4.60399e-013	1.76862	5.02253e-011	8.90985e-005	0	0	0.372632	8.80391e-010	4.81368	1.64998e-005	-16.138	0.000267297	6.7089	0	10	0	0	0	0	3.75	0.375	22	17.844	1.14551	1.52793	5.47954	-0.207919	3.98793	1.49299e-005	0.000241864	1.90672	
1.1	0.65	1	1.19735e-005	0.0386499	1.57715e-011	0.0723429	0	2.57205e-011	6.11375e-013	1.86621	2.66798e-010	6.46564e-005	0	0	0.198363	1.82777e-010	4.90082	1.19735e-005	-16.5298	0.00019397	6.83944	0	10	0	0	0	0	3.92857	0.392857	23	17.5407	1.41157	1.59977	5.51684	-0.207917	3.988	1.08343e-005	0.000175514	1.94415	
1	0.675	1	1.09586e-005	0.0352512	1.78176e-011	0.0663589	0	2.82003e-011	6.29954e-013	1.87689	3.36176e-010	5.91757e-005	0	0	0.180568	1.42611e-010	4.90972	1.09586e-005	-16.5706	0.000177528	6.85303	0	10	0	0	0	0	3.75	0.375	24	17.4906	1.45154	1.58069	5.52099	-0.207916	3.98801	9.91589e-006	0.000160637	1.94833	
