              x	              y	              z	           time	in	                  A	
             76	            2.5	              0	             40	 1	   0.0000000000e+00	
             80	            2.5	              0	             40	 1	   0.0000000000e+00	
             84	            2.5	              0	             40	 1	   0.0000000000e+00	
             88	            2.5	              0	             40	 1	   0.0000000000e+00	
             92	            2.5	              0	             40	 1	   0.0000000000e+00	
             96	            2.5	              0	             40	 1	   0.0000000000e+00	
            100	            2.5	              0	             40	 1	   0.0000000000e+00	
              0	            3.5	              0	             40	 1	   0.0000000000e+00	
              4	            3.5	              0	             40	 1	   1.2599837555e-12	
              8	            3.5	              0	             40	 1	   4.8600570238e-12	
             12	            3.5	              0	             40	 1	   8.5769769567e-12	
             16	            3.5	              0	             40	 1	   1.0049641816e-11	
             20	            3.5	              0	             40	 1	   9.0006484561e-12	
             24	            3.5	              0	             40	 1	   6.6284624346e-12	
             28	            3.5	              0	             40	 1	   4.1956727463e-12	
             32	            3.5	              0	             40	 1	   2.3509928456e-12	
             36	            3.5	              0	             40	 1	   1.1903159599e-12	
             40	            3.5	              0	             40	 1	   5.5264585927e-13	
             44	            3.5	              0	             40	 1	   2.3651450923e-13	
             48	            3.5	              0	             40	 1	   9.3605745068e-14	
             52	            3.5	              0	             40	 1	   3.2719079773e-14	
             56	            3.5	              0	             40	 1	   1.0964990444e-14	
             60	            3.5	              0	             40	 1	   0.0000000000e+00	
             64	            3.5	              0	             40	 1	   0.0000000000e+00	
             68	            3.5	              0	             40	 1	   0.0000000000e+00	
             72	            3.5	              0	             40	 1	   0.0000000000e+00	
             76	            3.5	              0	             40	 1	   0.0000000000e+00	
             80	            3.5	              0	             40	 1	   0.0000000000e+00	
             84	            3.5	              0	             40	 1	   0.0000000000e+00	
             88	            3.5	              0	             40	 1	   0.0000000000e+00	
             92	            3.5	              0	             40	 1	   0.0000000000e+00	
             96	            3.5	              0	             40	 1	   0.0000000000e+00	
            100	            3.5	              0	             40	 1	   0.0000000000e+00	
              0	            4.5	              0	             40	 1	   0.0000000000e+00	
              4	            4.5	              0	             40	 1	   3.2956607334e-12	
              8	            4.5	              0	             40	 1	   1.2090075660e-11	
             12	            4.5	              0	             40	 1	   2.0560603147e-11	
             16	            4.5	              0	             40	 1	   2.3332058461e-11	
             20	            4.5	              0	             40	 1	   2.0298702093e-11	
             24	            4.5	              0	             40	 1	   1.4553641245e-11	
             28	            4.5	              0	             40	 1	   8.9853429724e-12	
             32	            4.5	              0	             40	 1	   4.9185912075e-12	
             36	            4.5	              0	             40	 1	   2.4370718796e-12	
             40	            4.5	              0	             40	 1	   1.1095244636e-12	
             44	            4.5	              0	             40	 1	   4.6899990914e-13	
             48	            4.5	              0	             40	 1	   1.8366986249e-13	
             52	            4.5	              0	             40	 1	   6.6394308166e-14	
             56	            4.5	              0	             40	 1	   2.1671522005e-14	
             60	            4.5	              0	             40	 1	   0.0000000000e+00	
             64	            4.5	              0	             40	 1	   0.0000000000e+00	
             68	            4.5	              0	             40	 1	   0.0000000000e+00	
             72	            4.5	              0	             40	 1	   0.0000000000e+00	
             76	            4.5	              0	             40	 1	   0.0000000000e+00	
             80	            4.5	              0	             40	 1	   0.0000000000e+00	
             84	            4.5	              0	             40	 1	   0.0000000000e+00	
             88	            4.5	              0	             40	 1	   0.0000000000e+00	
             92	            4.5	              0	             40	 1	   0.0000000000e+00	
             96	            4.5	              0	             40	 1	   0.0000000000e+00	
            100	            4.5	              0	             40	 1	   0.0000000000e+00	
              0	            5.5	              0	             40	 1	   0.0000000000e+00	
              4	            5.5	              0	             40	 1	   8.2984643713e-12	
              8	            5.5	              0	             40	 1	   2.8995426645e-11	
             12	            5.5	              0	             40	 1	   4.7541047578e-11	
             16	            5.5	              0	             40	 1	   5.2272246725e-11	
             20	            5.5	              0	             40	 1	   4.4196039874e-11	
             24	            5.5	              0	             40	 1	   3.0863411547e-11	
             28	            5.5	              0	             40	 1	   1.8591311455e-11	
             32	            5.5	              0	             40	 1	   9.9463488156e-12	
             36	            5.5	              0	             40	 1	   4.8237767342e-12	
             40	            5.5	              0	             40	 1	   2.1532486334e-12	
             44	            5.5	              0	             40	 1	   8.9479162807e-13	
             48	            5.5	              0	             40	 1	   3.4809198367e-13	
             52	            5.5	              0	             40	 1	   1.2930560720e-13	
             56	            5.5	              0	             40	 1	   4.1375827188e-14	
             60	            5.5	              0	             40	 1	   1.2708717043e-14	
             64	            5.5	              0	             40	 1	   0.0000000000e+00	
             68	            5.5	              0	             40	 1	   0.0000000000e+00	
             72	            5.5	              0	             40	 1	   0.0000000000e+00	
             76	            5.5	              0	             40	 1	   0.0000000000e+00	
             80	            5.5	              0	             40	 1	   0.0000000000e+00	
             84	            5.5	              0	             40	 1	   0.0000000000e+00	
             88	            5.5	              0	             40	 1	   0.0000000000e+00	
             92	            5.5	              0	             40	 1	   0.0000000000e+00	
             96	            5.5	              0	             40	 1	   0.0000000000e+00	
            100	            5.5	              0	             40	 1	   0.0000000000e+00	
              0	            6.5	              0	             40	 1	   0.0000000000e+00	
              4	            6.5	              0	             40	 1	   2.0038242134e-11	
              8	            6.5	              0	             40	 1	   6.6780454973e-11	
             12	            6.5	              0	             40	 1	   1.0562994049e-10	
             16	            6.5	              0	             40	 1	   1.1257646023e-10	
             20	            6.5	              0	             40	 1	   9.2535719724e-11	
             24	            6.5	              0	             40	 1	   6.2962955118e-11	
