               x	              y	        z_datum	           Time	        Well_no	SC             	
   6.0960000E+02	  6.0960000E+02	  0.0000000E+00	  0.0000000E+00	              1	  1.2327439E+02	
   6.7056000E+02	  6.0960000E+02	  0.0000000E+00	  0.0000000E+00	              2	  1.2327439E+02	
   7.3152000E+02	  6.0960000E+02	  0.0000000E+00	  0.0000000E+00	              3	  1.2327439E+02	
   6.0960000E+02	  6.0960000E+02	  0.0000000E+00	  5.7600000E+04	              1	  1.2327439E+02	
   6.7056000E+02	  6.0960000E+02	  0.0000000E+00	  5.7600000E+04	              2	  1.2327439E+02	
   7.3152000E+02	  6.0960000E+02	  0.0000000E+00	  5.7600000E+04	              3	  1.2327439E+02	
