              x	              y	              z	           time	in	          Cl	
              1	             10	              0	             10	 1	  9.8673e-01	
              2	             10	              0	             10	 1	  9.7005e-01	
              3	             10	              0	             10	 1	  9.5008e-01	
              4	             10	              0	             10	 1	  9.2726e-01	
              5	             10	              0	             10	 1	  9.0235e-01	
              6	             10	              0	             10	 1	  8.8294e-01	
              7	             10	              0	             10	 1	  8.6519e-01	
              8	             10	              0	             10	 1	  8.5051e-01	
              9	             10	              0	             10	 1	  8.4050e-01	
             10	             10	              0	             10	 1	  8.3686e-01	
              0	              0	              1	             10	 1	  1.0000e+00	
              1	              0	              1	             10	 1	  9.9248e-01	
              2	              0	              1	             10	 1	  9.7966e-01	
              3	              0	              1	             10	 1	  9.5977e-01	
              4	              0	              1	             10	 1	  9.3084e-01	
              5	              0	              1	             10	 1	  8.9059e-01	
              6	              0	              1	             10	 1	  8.6302e-01	
              7	              0	              1	             10	 1	  8.3616e-01	
              8	              0	              1	             10	 1	  8.1241e-01	
              9	              0	              1	             10	 1	  7.9503e-01	
             10	              0	              1	             10	 1	  7.8840e-01	
              0	              1	              1	             10	 1	  1.0000e+00	
              1	              1	              1	             10	 1	  9.9245e-01	
              2	              1	              1	             10	 1	  9.7959e-01	
              3	              1	              1	             10	 1	  9.5972e-01	
              4	              1	              1	             10	 1	  9.3089e-01	
              5	              1	              1	             10	 1	  8.9086e-01	
              6	              1	              1	             10	 1	  8.6349e-01	
              7	              1	              1	             10	 1	  8.3684e-01	
              8	              1	              1	             10	 1	  8.1330e-01	
              9	              1	              1	             10	 1	  7.9608e-01	
             10	              1	              1	             10	 1	  7.8952e-01	
              0	              2	              1	             10	 1	  1.0000e+00	
              1	              2	              1	             10	 1	  9.9231e-01	
              2	              2	              1	             10	 1	  9.7932e-01	
              3	              2	              1	             10	 1	  9.5945e-01	
              4	              2	              1	             10	 1	  9.3093e-01	
              5	              2	              1	             10	 1	  8.9165e-01	
              6	              2	              1	             10	 1	  8.6490e-01	
              7	              2	              1	             10	 1	  8.3894e-01	
              8	              2	              1	             10	 1	  8.1604e-01	
              9	              2	              1	             10	 1	  7.9933e-01	
             10	              2	              1	             10	 1	  7.9296e-01	
              0	              3	              1	             10	 1	  1.0000e+00	
              1	              3	              1	             10	 1	  9.9192e-01	
              2	              3	              1	             10	 1	  9.7857e-01	
              3	              3	              1	             10	 1	  9.5865e-01	
              4	              3	              1	             10	 1	  9.3073e-01	
              5	              3	              1	             10	 1	  8.9294e-01	
              6	              3	              1	             10	 1	  8.6734e-01	
              7	              3	              1	             10	 1	  8.4259e-01	
              8	              3	              1	             10	 1	  8.2085e-01	
              9	              3	              1	             10	 1	  8.0504e-01	
             10	              3	              1	             10	 1	  7.9903e-01	
              0	              4	              1	             10	 1	  1.0000e+00	
              1	              4	              1	             10	 1	  9.9093e-01	
              2	              4	              1	             10	 1	  9.7673e-01	
              3	              4	              1	             10	 1	  9.5666e-01	
              4	              4	              1	             10	 1	  9.2983e-01	
              5	              4	              1	             10	 1	  8.9486e-01	
              6	              4	              1	             10	 1	  8.7104e-01	
              7	              4	              1	             10	 1	  8.4810e-01	
              8	              4	              1	             10	 1	  8.2812e-01	
              9	              4	              1	             10	 1	  8.1372e-01	
             10	              4	              1	             10	 1	  8.0829e-01	
              0	              5	              1	             10	 1	  1.0000e+00	
              1	              5	              1	             10	 1	  9.8838e-01	
              2	              5	              1	             10	 1	  9.7256e-01	
              3	              5	              1	             10	 1	  9.5231e-01	
              4	              5	              1	             10	 1	  9.2752e-01	
              5	              5	              1	             10	 1	  8.9837e-01	
              6	              5	              1	             10	 1	  8.7643e-01	
              7	              5	              1	             10	 1	  8.5587e-01	
              8	              5	              1	             10	 1	  8.3842e-01	
              9	              5	              1	             10	 1	  8.2618e-01	
             10	              5	              1	             10	 1	  8.2165e-01	
              0	              6	              1	             10	 1	  1.0000e+00	
              1	              6	              1	             10	 1	  9.8742e-01	
              2	              6	              1	             10	 1	  9.7113e-01	
              3	              6	              1	             10	 1	  9.5095e-01	
              4	              6	              1	             10	 1	  9.2706e-01	
              5	              6	              1	             10	 1	  9.0017e-01	
              6	              6	              1	             10	 1	  8.7917e-01	
              7	              6	              1	             10	 1	  8.5978e-01	
              8	              6	              1	             10	 1	  8.4355e-01	
              9	              6	              1	             10	 1	  8.3234e-01	
             10	              6	              1	             10	 1	  8.2825e-01	
              0	              7	              1	             10	 1	  1.0000e+00	
              1	              7	              1	             10	 1	  9.8700e-01	
              2	              7	              1	             10	 1	  9.7048e-01	
              3	              7	              1	             10	 1	  9.5042e-01	
              4	              7	              1	             10	 1	  9.2711e-01	
              5	              7	              1	             10	 1	  9.0134e-01	
              6	              7	              1	             10	 1	  8.8115e-01	
              7	              7	              1	             10	 1	  8.6260e-01	
              8	              7	              1	             10	 1	  8.4717e-01	
              9	              7	              1	             10	 1	  8.3659e-01	
             10	              7	              1	             10	 1	  8.3274e-01	
              0	              8	              1	             10	 1	  1.0000e+00	
              1	              8	              1	             10	 1	  9.8683e-01	
              2	              8	              1	             10	 1	  9.7022e-01	
              3	              8	              1	             10	 1	  9.5025e-01	
              4	              8	              1	             10	 1	  9.2730e-01	
              5	              8	              1	             10	 1	  9.0215e-01	
              6	              8	              1	             10	 1	  8.8249e-01	
              7	              8	              1	             10	 1	  8.6449e-01	
              8	              8	              1	             10	 1	  8.4957e-01	
              9	              8	              1	             10	 1	  8.3937e-01	
             10	              8	              1	             10	 1	  8.3566e-01	
              0	              9	              1	             10	 1	  1.0000e+00	
              1	              9	              1	             10	 1	  9.8677e-01	
              2	              9	              1	             10	 1	  9.7013e-01	
              3	              9	              1	             10	 1	  9.5023e-01	
              4	              9	              1	             10	 1	  9.2747e-01	
              5	              9	              1	             10	 1	  9.0263e-01	
              6	              9	              1	             10	 1	  8.8327e-01	
              7	              9	              1	             10	 1	  8.6557e-01	
              8	              9	              1	             10	 1	  8.5093e-01	
              9	              9	              1	             10	 1	  8.4094e-01	
             10	              9	              1	             10	 1	  8.3731e-01	
              0	             10	              1	             10	 1	  1.0000e+00	
              1	             10	              1	             10	 1	  9.8675e-01	
              2	             10	              1	             10	 1	  9.7011e-01	
              3	             10	              1	             10	 1	  9.5023e-01	
              4	             10	              1	             10	 1	  9.2753e-01	
              5	             10	              1	             10	 1	  9.0279e-01	
              6	             10	              1	             10	 1	  8.8353e-01	
              7	             10	              1	             10	 1	  8.6593e-01	
              8	             10	              1	             10	 1	  8.5138e-01	
              9	             10	              1	             10	 1	  8.4145e-01	
             10	             10	              1	             10	 1	  8.3784e-01	
              0	              0	              2	             10	 1	  1.0000e+00	
              1	              0	              2	             10	 1	  9.9234e-01	
              2	              0	              2	             10	 1	  9.7943e-01	
              3	              0	              2	             10	 1	  9.5972e-01	
              4	              0	              2	             10	 1	  9.3144e-01	
              5	              0	              2	             10	 1	  8.9251e-01	
              6	              0	              2	             10	 1	  8.6600e-01	
              7	              0	              2	             10	 1	  8.4027e-01	
              8	              0	              2	             10	 1	  8.1759e-01	
              9	              0	              2	             10	 1	  8.0103e-01	
             10	              0	              2	             10	 1	  7.9473e-01	
              0	              1	              2	             10	 1	  1.0000e+00	
              1	              1	              2	             10	 1	  9.9231e-01	
              2	              1	              2	             10	 1	  9.7937e-01	
              3	              1	              2	             10	 1	  9.5967e-01	
              4	              1	              2	             10	 1	  9.3148e-01	
              5	              1	              2	             10	 1	  8.9276e-01	
              6	              1	              2	             10	 1	  8.6643e-01	
              7	              1	              2	             10	 1	  8.4090e-01	
              8	              1	              2	             10	 1	  8.1841e-01	
              9	              1	              2	             10	 1	  8.0200e-01	
             10	              1	              2	             10	 1	  7.9575e-01	
              0	              2	              2	             10	 1	  1.0000e+00	
              1	              2	              2	             10	 1	  9.9218e-01	
              2	              2	              2	             10	 1	  9.7912e-01	
              3	              2	              2	             10	 1	  9.5943e-01	
              4	              2	              2	             10	 1	  9.3153e-01	
              5	              2	              2	             10	 1	  8.9350e-01	
              6	              2	              2	             10	 1	  8.6774e-01	
              7	              2	              2	             10	 1	  8.4283e-01	
              8	              2	              2	             10	 1	  8.2094e-01	
              9	              2	              2	             10	 1	  8.0499e-01	
             10	              2	              2	             10	 1	  7.9892e-01	
              0	              3	              2	             10	 1	  1.0000e+00	
              1	              3	              2	             10	 1	  9.9182e-01	
              2	              3	              2	             10	 1	  9.7842e-01	
              3	              3	              2	             10	 1	  9.5868e-01	
              4	              3	              2	             10	 1	  9.3135e-01	
              5	              3	              2	             10	 1	  8.9471e-01	
              6	              3	              2	             10	 1	  8.7002e-01	
              7	              3	              2	             10	 1	  8.4622e-01	
              8	              3	              2	             10	 1	  8.2538e-01	
              9	              3	              2	             10	 1	  8.1026e-01	
             10	              3	              2	             10	 1	  8.0452e-01	
              0	              4	              2	             10	 1	  1.0000e+00	
              1	              4	              2	             10	 1	  9.9087e-01	
              2	              4	              2	             10	 1	  9.7667e-01	
              3	              4	              2	             10	 1	  9.5680e-01	
              4	              4	              2	             10	 1	  9.3050e-01	
              5	              4	              2	             10	 1	  8.9652e-01	
              6	              4	              2	             10	 1	  8.7348e-01	
              7	              4	              2	             10	 1	  8.5135e-01	
              8	              4	              2	             10	 1	  8.3213e-01	
              9	              4	              2	             10	 1	  8.1831e-01	
             10	              4	              2	             10	 1	  8.1310e-01	
              0	              5	              2	             10	 1	  1.0000e+00	
              1	              5	              2	             10	 1	  9.8837e-01	
              2	              5	              2	             10	 1	  9.7263e-01	
              3	              5	              2	             10	 1	  9.5261e-01	
              4	              5	              2	             10	 1	  9.2830e-01	
              5	              5	              2	             10	 1	  8.9989e-01	
              6	              5	              2	             10	 1	  8.7857e-01	
              7	              5	              2	             10	 1	  8.5866e-01	
              8	              5	              2	             10	 1	  8.4179e-01	
              9	              5	              2	             10	 1	  8.2998e-01	
             10	              5	              2	             10	 1	  8.2562e-01	
              0	              6	              2	             10	 1	  1.0000e+00	
