 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.0000000E+04	  1	  3.0740128E-02	  7.6072060E-02	  8.3291585E-09	  2.5151715E-02	  9.4767854E-03	  2.6261337E-01	  6.3294090E-03	  2.7410697E-01	  4.1251474E-04	  2.5630846E-02	  6.4205426E+00	  1.6647993E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.2000000E+04	  1	  2.8765467E-02	  7.2823653E-02	  8.9495275E-09	  2.4088883E-02	  7.4137276E-03	  2.1735368E-01	  5.0033310E-03	  2.3341131E-01	  3.8191709E-04	  2.3508684E-02	  6.4935108E+00	  1.6617395E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.4000000E+04	  1	  2.6831379E-02	  6.9601494E-02	  9.7731785E-09	  2.3030675E-02	  5.8138338E-03	  1.8041230E-01	  3.9595103E-03	  1.9956864E-01	  3.5694301E-04	  2.1451471E-02	  6.5676632E+00	  1.6536118E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.6000000E+04	  1	  2.4972134E-02	  6.6451891E-02	  1.0831432E-08	  2.1993447E-02	  4.5725148E-03	  1.5018938E-01	  3.1390697E-03	  1.7133562E-01	  3.3651091E-04	  1.9489558E-02	  6.6430823E+00	  1.6405551E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  9.8000000E+04	  1	  2.3210748E-02	  6.3406066E-02	  1.2155499E-08	  2.0988308E-02	  3.6082451E-03	  1.2539871E-01	  2.4945032E-03	  1.4770383E-01	  3.1975127E-04	  1.7642564E-02	  6.7198274E+00	  1.6227506E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0000000E+05	  1	  2.1561450E-02	  6.0484143E-02	  1.3781479E-08	  2.0022500E-02	  2.8578308E-03	  1.0500742E-01	  1.9879118E-03	  1.2785502E-01	  3.0596581E-04	  1.5921832E-02	  6.7979251E+00	  1.6004500E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0200000E+05	  1	  2.0031723E-02	  5.7698379E-02	  1.5755623E-08	  1.9100522E-02	  2.2725061E-03	  8.8186166E-02	  1.5893347E-03	  1.1112469E-01	  2.9459386E-04	  1.4332419E-02	  6.8773600E+00	  1.5739967E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0400000E+05	  1	  1.8623973E-02	  5.5055695E-02	  1.8138760E-08	  1.8225000E-02	  1.8147596E-03	  7.4268743E-02	  1.2752508E-03	  9.6972643E-02	  2.8518504E-04	  1.2874712E-02	  6.9580656E+00	  1.5438370E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0600000E+05	  1	  1.7336871E-02	  5.2559588E-02	  2.1008808E-08	  1.7397348E-02	  1.4557905E-03	  6.2719367E-02	  1.0272840E-03	  8.4959230E-02	  2.7737712E-04	  1.1545712E-02	  7.0399174E+00	  1.5105213E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.0800000E+05	  1	  1.6166444E-02	  5.0211478E-02	  2.4460693E-08	  1.6618235E-02	  1.1734956E-03	  5.3106462E-02	  8.3111995E-04	  7.4726202E-02	  2.7087835E-04	  1.0340064E-02	  7.1227289E+00	  1.4746928E-02	
