              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          18000	          12000	            100	          10000	 1	     5.64395	  7.7680e+03	  2.2643e+03	  5.9344e+04	  1.1134e+05	  8.4782e+02	  2.2189e+02	  9.3226e-01	
          24000	          12000	            100	          10000	 1	     5.89028	  3.3631e+03	  1.1657e+03	  2.9129e+04	  5.3777e+04	  1.1783e+03	  1.1836e+02	  3.6221e-01	
          30000	          12000	            100	          10000	 1	     6.29885	  8.1329e+02	  3.2391e+02	  9.5641e+03	  1.6651e+04	  1.1816e+03	  5.3123e+01	  1.3519e-01	
          36000	          12000	            100	          10000	 1	     6.46246	  3.8362e+02	  1.5814e+02	  5.9445e+03	  9.7571e+03	  1.2969e+03	  4.1227e+01	  1.1273e-01	
          42000	          12000	            100	          10000	 1	     6.52501	  2.9778e+02	  1.2386e+02	  5.0855e+03	  8.1615e+03	  1.3092e+03	  3.8651e+01	  1.1130e-01	
          48000	          12000	            100	          10000	 1	     6.60728	  2.2087e+02	  9.2740e+01	  4.2177e+03	  6.5834e+03	  1.2925e+03	  3.6178e+01	  1.1411e-01	
          54000	          12000	            100	          10000	 1	     6.71148	  1.5296e+02	  6.4849e+01	  3.3747e+03	  5.0659e+03	  1.2725e+03	  3.3908e+01	  1.2396e-01	
          60000	          12000	            100	          10000	 1	     6.72962	  1.4308e+02	  6.0753e+01	  3.2479e+03	  4.8361e+03	  1.2741e+03	  3.3585e+01	  1.2635e-01	
          66000	          12000	            100	          10000	 1	     6.74658	  1.3521e+02	  5.7484e+01	  3.1387e+03	  4.6427e+03	  1.2691e+03	  3.3305e+01	  1.2894e-01	
          72000	          12000	            100	          10000	 1	     6.76808	  1.2605e+02	  5.3673e+01	  3.0078e+03	  4.4120e+03	  1.2615e+03	  3.2970e+01	  1.3255e-01	
          78000	          12000	            100	          10000	 1	      6.7929	  1.1637e+02	  4.9635e+01	  2.8659e+03	  4.1630e+03	  1.2524e+03	  3.2612e+01	  1.3721e-01	
          84000	          12000	            100	          10000	 1	     6.82001	  1.0689e+02	  4.5672e+01	  2.7215e+03	  3.9116e+03	  1.2408e+03	  3.2247e+01	  1.4294e-01	
          90000	          12000	            100	          10000	 1	     6.84192	  9.9262e+01	  4.2471e+01	  2.6088e+03	  3.7113e+03	  1.2386e+03	  3.1981e+01	  1.4794e-01	
              0	          18000	            100	          10000	 1	     5.70133	  1.8095e+04	  3.8546e+03	  1.2122e+05	  2.2962e+05	  2.5401e+02	  4.4247e+02	  7.8023e-01	
           6000	          18000	            100	          10000	 1	     5.66416	  1.6492e+04	  3.6704e+03	  1.1233e+05	  2.1255e+05	  3.0023e+02	  4.1006e+02	  8.9856e-01	
          12000	          18000	            100	          10000	 1	     5.59855	  1.3171e+04	  3.2236e+03	  9.3166e+04	  1.7583e+05	  4.5305e+02	  3.4083e+02	  1.1252e+00	
          18000	          18000	            100	          10000	 1	     5.60233	  9.0117e+03	  2.5144e+03	  6.7571e+04	  1.2694e+05	  7.6786e+02	  2.5007e+02	  1.0803e+00	
          24000	          18000	            100	          10000	 1	     5.76305	  4.8236e+03	  1.5690e+03	  3.9735e+04	  7.3867e+04	  1.1429e+03	  1.5387e+02	  5.6191e-01	
          30000	          18000	            100	          10000	 1	     6.20372	  9.8236e+02	  3.8542e+02	  1.1451e+04	  1.9990e+04	  1.3850e+03	  5.8567e+01	  1.4629e-01	
          36000	          18000	            100	          10000	 1	     6.42418	  4.4180e+02	  1.8108e+02	  6.5262e+03	  1.0829e+04	  1.3070e+03	  4.2992e+01	  1.1442e-01	
          42000	          18000	            100	          10000	 1	     6.52042	  2.9960e+02	  1.2458e+02	  5.1236e+03	  8.2213e+03	  1.3228e+03	  3.8744e+01	  1.1095e-01	
          48000	          18000	            100	          10000	 1	     6.58536	  2.3611e+02	  9.8925e+01	  4.4163e+03	  6.9322e+03	  1.3115e+03	  3.6738e+01	  1.1267e-01	
          54000	          18000	            100	          10000	 1	     6.69052	  1.6202e+02	  6.8579e+01	  3.5149e+03	  5.3041e+03	  1.2950e+03	  3.4303e+01	  1.2109e-01	
          60000	          18000	            100	          10000	 1	     6.71166	  1.5122e+02	  6.4119e+01	  3.3660e+03	  5.0416e+03	  1.2855e+03	  3.3904e+01	  1.2377e-01	
          66000	          18000	            100	          10000	 1	     6.73692	  1.4002e+02	  5.9486e+01	  3.2021e+03	  4.7571e+03	  1.2685e+03	  3.3462e+01	  1.2750e-01	
          72000	          18000	            100	          10000	 1	     6.76461	  1.2782e+02	  5.4411e+01	  3.0302e+03	  4.4535e+03	  1.2595e+03	  3.3023e+01	  1.3200e-01	
          78000	          18000	            100	          10000	 1	     6.79881	  1.1471e+02	  4.8944e+01	  2.8356e+03	  4.1135e+03	  1.2448e+03	  3.2524e+01	  1.3848e-01	
          84000	          18000	            100	          10000	 1	     6.81506	  1.0881e+02	  4.6476e+01	  2.7479e+03	  3.9594e+03	  1.2401e+03	  3.2306e+01	  1.4187e-01	
          90000	          18000	            100	          10000	 1	     6.82926	  1.0297e+02	  4.4027e+01	  2.6701e+03	  3.8157e+03	  1.2470e+03	  3.2141e+01	  1.4487e-01	
              0	          24000	            100	          10000	 1	     5.69315	  1.7751e+04	  3.8167e+03	  1.1932e+05	  2.2598e+05	  2.6292e+02	  4.3557e+02	  8.0534e-01	
           6000	          24000	            100	          10000	 1	     5.63314	  1.5163e+04	  3.5032e+03	  1.0476e+05	  1.9804e+05	  3.5214e+02	  3.8271e+02	  1.0014e+00	
          12000	          24000	            100	          10000	 1	     5.58738	  1.0222e+04	  2.7410e+03	  7.5187e+04	  1.4148e+05	  6.6400e+02	  2.7694e+02	  1.1513e+00	
          18000	          24000	            100	          10000	 1	     5.73761	  5.2141e+03	  1.6696e+03	  4.2453e+04	  7.9039e+04	  1.1181e+03	  1.6304e+02	  6.1895e-01	
          24000	          24000	            100	          10000	 1	     6.02491	  1.9607e+03	  7.2624e+02	  1.9089e+04	  3.4514e+04	  1.3361e+03	  8.3910e+01	  2.2589e-01	
          30000	          24000	            100	          10000	 1	      6.3563	  5.9499e+02	  2.4070e+02	  7.8748e+03	  1.3378e+04	  1.2732e+03	  4.7297e+01	  1.2194e-01	
          36000	          24000	            100	          10000	 1	     6.45477	  3.8745e+02	  1.5961e+02	  6.0213e+03	  9.8795e+03	  1.3203e+03	  4.1436e+01	  1.1240e-01	
