         x         y         z         A         B         C         D
   0.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00000
  20.00000  -5.00000  12.50000   0.00000   0.00000   0.00001   0.00001
  24.00000  -5.00000  12.50000   0.00000   0.00000   0.00001   0.00002
  28.00000  -5.00000  12.50000   0.00000   0.00000   0.00002   0.00004
  32.00000  -5.00000  12.50000   0.00000   0.00000   0.00003   0.00007
  36.00000  -5.00000  12.50000   0.00000   0.00000   0.00005   0.00011
  40.00000  -5.00000  12.50000   0.00000   0.00001   0.00007   0.00016
  44.00000  -5.00000  12.50000   0.00000   0.00001   0.00008   0.00022
  48.00000  -5.00000  12.50000   0.00000   0.00001   0.00010   0.00029
  52.00000  -5.00000  12.50000   0.00000   0.00001   0.00011   0.00037
  56.00000  -5.00000  12.50000   0.00000   0.00001   0.00013   0.00044
  60.00000  -5.00000  12.50000   0.00000   0.00001   0.00013   0.00049
  64.00000  -5.00000  12.50000   0.00000   0.00000   0.00013   0.00053
  68.00000  -5.00000  12.50000   0.00000   0.00000   0.00013   0.00055
  72.00000  -5.00000  12.50000   0.00000   0.00000   0.00012   0.00054
  76.00000  -5.00000  12.50000   0.00000   0.00000   0.00011   0.00050
  80.00000  -5.00000  12.50000   0.00000   0.00000   0.00009   0.00045
  84.00000  -5.00000  12.50000   0.00000   0.00000   0.00007   0.00038
  88.00000  -5.00000  12.50000   0.00000   0.00000   0.00006   0.00030
  92.00000  -5.00000  12.50000   0.00000   0.00000   0.00004   0.00023
  96.00000  -5.00000  12.50000   0.00000   0.00000   0.00003   0.00016
 100.00000  -5.00000  12.50000   0.00000   0.00000   0.00002   0.00011
 104.00000  -5.00000  12.50000   0.00000   0.00000   0.00001   0.00007
 108.00000  -5.00000  12.50000   0.00000   0.00000   0.00001   0.00004
 112.00000  -5.00000  12.50000   0.00000   0.00000   0.00000   0.00002
