 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  2.0000000e+03	  1	  3.7988281e-03	  3.0508685e-02	  9.8303764e-09	  4.0136075e-03	  4.5752859e-01	  6.5289372e+00	  1.5830166e-01	  5.3103714e+00	  4.6488401e-03	 -1.0773413e-11	  5.7193416e+00	  3.7970528e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  4.0000000e+03	  1	  3.9496297e-03	  3.0178609e-02	  1.1261043e-08	  4.1737993e-03	  4.3384899e-01	  6.2375764e+00	  1.5369761e-01	  5.0753281e+00	  4.4518668e-03	  5.1176017e-05	  5.6978582e+00	  3.8899289e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  6.0000000e+03	  1	  4.3000694e-03	  2.9894582e-02	  1.3763800e-08	  4.5068539e-03	  3.9634351e-01	  5.7764296e+00	  1.4561709e-01	  4.7051167e+00	  4.1401101e-03	  2.4422310e-04	  5.6800547e+00	  4.0839021e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  8.0000000e+03	  1	  4.9253826e-03	  2.9938052e-02	  1.7186755e-08	  5.0579335e-03	  3.4952339e-01	  5.1980322e+00	  1.3465773e-01	  4.2422484e+00	  3.7490867e-03	  6.7276019e-04	  5.6916480e+00	  4.4074681e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.0000000e+04	  1	  5.8838751e-03	  3.0543815e-02	  2.1428804e-08	  5.8472983e-03	  2.9897409e-01	  4.5649903e+00	  1.2162409e-01	  3.7367120e+00	  3.3211210e-03	  1.4168442e-03	  5.7285707e+00	  4.8589750e-03	
