         X         Y         Z         A         B         C         D
  69.38780  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  67.34690  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  65.30610  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  63.26530  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  61.22450  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  59.18370  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  57.14290  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  55.10200  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  53.06120  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  51.02040  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  48.97960  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  46.93880  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  44.89800  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  42.85710  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  40.81630  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  38.77550  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  36.73470  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  34.69390  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  32.65310  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  30.61220  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  28.57140  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  26.53060  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  24.48980  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  22.44900  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  20.40820  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  18.36730  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  16.32650  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  14.28570  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  12.24490  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  10.20410  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   8.16327  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   6.12245  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   4.08163  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   2.04082  25.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   1.28820  23.68960   0.00000   0.00000   0.00000   0.00000   0.00000
   1.44948   1.57859   0.00000   0.75374   0.20399   0.03040   0.00332
  98.65800   1.35633   0.00000   0.00000   0.00005   0.00236   0.01280
  98.68650  23.66160   0.00000   0.00000   0.00000   0.00000   0.00000
   3.11233   1.70624   0.00000   0.54300   0.34222   0.07752   0.01008
  96.99220   1.67365   0.00000   0.00000   0.00006   0.00282   0.01510
  97.08570  23.35650   0.00000   0.00000   0.00000   0.00000   0.00000
   1.53962  22.09430   0.00000   0.00000   0.00000   0.00000   0.00000
   2.86764  23.37370   0.00000   0.00000   0.00000   0.00000   0.00000
  98.41250  22.01780   0.00000   0.00000   0.00000   0.00000   0.00000
  98.32910   3.04345   0.00000   0.00000   0.00004   0.00218   0.01183
   2.08034   3.65277   0.00000   0.65178   0.25011   0.04178   0.00460
   5.23095   1.53488   0.00000   0.35512   0.41907   0.14114   0.02313
   4.27164   3.43260   0.00000   0.41418   0.36651   0.10028   0.01428
   7.32887   1.39640   0.00000   0.23149   0.42822   0.19691   0.03983
   6.21272   3.33242   0.00000   0.27483   0.39249   0.14892   0.02620
   9.16306   1.72829   0.00000   0.15781   0.40297   0.23271   0.05544
  11.20410   1.75493   0.00000   0.10281   0.36118   0.26190   0.07402
  13.25540   1.76720   0.00000   0.06666   0.31354   0.27943   0.09251
  15.30400   1.76767   0.00000   0.04320   0.26672   0.28708   0.11006
  17.34660   1.76460   0.00000   0.02803   0.22385   0.28691   0.12608
  19.38540   1.76470   0.00000   0.01820   0.18606   0.28078   0.14022
  21.42410   1.76994   0.00000   0.01182   0.15354   0.27030   0.15232
  23.46560   1.77564   0.00000   0.00768   0.12603   0.25692   0.16238
  25.50940   1.77660   0.00000   0.00499   0.10310   0.24179   0.17048
  27.55270   1.77335   0.00000   0.00325   0.08416   0.22577   0.17672
  29.59390   1.76964   0.00000   0.00212   0.06860   0.20942   0.18118
  31.63380   1.76761   0.00000   0.00138   0.05586   0.19317   0.18399
  33.67380   1.76710   0.00000   0.00090   0.04544   0.17734   0.18532
  35.71430   1.76723   0.00000   0.00059   0.03695   0.16217   0.18534
  37.75510   1.76740   0.00000   0.00039   0.03004   0.14782   0.18422
  39.79600   1.76745   0.00000   0.00025   0.02442   0.13435   0.18211
  41.83690   1.76751   0.00000   0.00017   0.01986   0.12183   0.17916
  43.87780   1.76759   0.00000   0.00011   0.01615   0.11025   0.17547
  45.91870   1.76759   0.00000   0.00007   0.01314   0.09958   0.17117
  47.95940   1.76749   0.00000   0.00005   0.01069   0.08981   0.16635
  50.00010   1.76738   0.00000   0.00003   0.00871   0.08088   0.16108
  52.04090   1.76737   0.00000   0.00002   0.00709   0.07274   0.15542
  54.08170   1.76742   0.00000   0.00001   0.00578   0.06532   0.14944
  56.12260   1.76754   0.00000   0.00001   0.00471   0.05858   0.14317
  58.16350   1.76769   0.00000   0.00001   0.00384   0.05246   0.13665
  60.20440   1.76783   0.00000   0.00000   0.00313   0.04691   0.12990
  62.24540   1.76791   0.00000   0.00000   0.00255   0.04186   0.12294
  64.28630   1.76780   0.00000   0.00000   0.00208   0.03728   0.11582
  66.32710   1.76737   0.00000   0.00000   0.00170   0.03312   0.10854
  68.36750   1.76680   0.00000   0.00000   0.00138   0.02933   0.10115
  70.40730   1.76687   0.00000   0.00000   0.00113   0.02589   0.09368
  72.44770   1.76877   0.00000   0.00000   0.00092   0.02276   0.08615
  74.49230   1.77255   0.00000   0.00000   0.00075   0.01991   0.07863
  76.54360   1.77558   0.00000   0.00000   0.00060   0.01732   0.07117
  78.59900   1.77452   0.00000   0.00000   0.00049   0.01498   0.06386
  80.65190   1.76915   0.00000   0.00000   0.00039   0.01287   0.05680
  82.69860   1.76149   0.00000   0.00000   0.00032   0.01099   0.05005
  84.73930   1.75171   0.00000   0.00000   0.00025   0.00931   0.04367
  86.77240   1.73901   0.00000   0.00000   0.00020   0.00783   0.03772
  88.79410   1.72711   0.00000   0.00000   0.00016   0.00653   0.03224
