ID	x	y	z		H*	O*	Charge	Ap	Bp	Cp	Dp	Nodal distribution 1	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
61447	20.4082	0	1.98175e-014	0.680981	-0.415827	-0.207914	-9.94845e-019	0.0177552	0.18631	0.29104	0.151547	-99999	1	1e+030	61447	-99	864000	1	7.00214	12.0358	0.0997043	-9.94784e-020	9.97671	-0.000698612	0.890892	-0.0034479	0.911575	-0.00294076	0.976985	-0.000811201
61448	22.449	0	1.98175e-014	0.651425	-0.415827	-0.207914	-1.08698e-018	0.0114695	0.15381	0.280392	0.16448	-99999	1	1e+030	61448	-99	864000	1	7.002	12.0795	0.0997043	-1.08649e-019	9.98524	-0.00045129	0.912437	-0.00283375	0.917775	-0.00280914	0.976002	-0.000871234
61449	24.4898	0	1.98175e-014	0.623824	-0.415827	-0.207914	-1.17307e-018	0.00741257	0.126238	0.266538	0.175137	-99999	1	1e+030	61449	-99	864000	1	7.00187	12.1188	0.0997043	-1.17312e-019	9.99064	-0.000291662	0.930116	-0.0023178	0.924514	-0.00265178	0.975441	-0.000919479
61450	26.5306	0	1.98175e-014	0.598065	-0.415827	-0.207914	-1.25345e-018	0.00479328	0.103166	0.250657	0.183553	-99999	1	1e+030	61450	-99	864000	1	7.00175	12.1539	0.0997043	-1.2531e-019	9.99407	-0.000188601	0.944464	-0.00188916	0.931429	-0.0024794	0.975259	-0.000956379
61451	28.5714	0	1.98175e-014	0.574044	-0.415828	-0.207914	-1.32842e-018	0.0031015	0.0840505	0.233681	0.189843	-99999	1	1e+030	61451	-99	864000	1	7.00163	12.1851	0.0997043	-1.32845e-019	9.99624	-0.000122035	0.956011	-0.00153592	0.938256	-0.00230029	0.97541	-0.00098271
61452	30.6122	0	1.98175e-014	0.551636	-0.415828	-0.207914	-1.39835e-018	0.00200808	0.0683245	0.216309	0.194167	-99999	1	1e+030	61452	-99	864000	1	7.00152	12.2127	0.0997043	-1.39851e-019	9.99761	-7.90118e-005	0.965249	-0.00124651	0.944817	-0.00212059	0.975843	-0.0009994
61453	32.6531	0	1.98175e-014	0.530707	-0.415828	-0.207914	-1.46369e-018	0.00130089	0.0554524	0.199055	0.196703	-99999	1	1e+030	61453	-99	864000	1	7.00141	12.2367	0.0997043	-1.46413e-019	9.99849	-5.1186e-005	0.972604	-0.00101036	0.950997	-0.00194462	0.976511	-0.00100743
61454	34.6939	0	1.98175e-014	0.511118	-0.415828	-0.207914	-1.52488e-018	0.000843221	0.0449552	0.18228	0.19764	-99999	1	1e+030	61454	-99	864000	1	7.00131	12.2573	0.0997043	-1.52527e-019	9.99904	-3.31782e-005	0.978441	-0.000818255	0.95673	-0.00177541	0.977368	-0.00100779
61455	36.7347	0	1.98175e-014	0.492739	-0.415828	-0.207914	-1.5823e-018	0.000546868	0.0364181	0.166233	0.197166	-99999	1	1e+030	61455	-99	864000	1	7.00122	12.2746	0.0997043	-1.58294e-019	9.99939	-2.15176e-005	0.98306	-0.000662324	0.961983	-0.00161491	0.978372	-0.00100145
61456	38.7755	0	1.98175e-014	0.475444	-0.415828	-0.207914	-1.63632e-018	0.00035486	0.0294888	0.151073	0.195463	-99999	1	1e+030	61456	-99	864000	1	7.00113	12.2886	0.0997043	-1.63658e-019	9.99961	-1.39627e-005	0.986706	-0.000535952	0.966748	-0.00146431	0.979487	-0.000989315
61457	40.8163	0	1.98175e-014	0.45911	-0.415828	-0.207914	-1.68731e-018	0.000230384	0.0238724	0.136892	0.192705	-99999	1	1e+030	61457	-99	864000	1	7.00104	12.2995	0.0997043	-1.68879e-019	9.99975	-9.06493e-006	0.98958	-0.000433647	0.971036	-0.0013242	0.980679	-0.000972234
61458	42.8571	0	1.98175e-014	0.443611	-0.415828	-0.207914	-1.73569e-018	0.000149643	0.0193244	0.123729	0.189046	-99999	1	1e+030	61458	-99	864000	1	7.00096	12.307	0.0997043	-1.73754e-019	9.99984	-5.888e-006	0.991841	-0.000350883	0.974867	-0.00119475	0.98192	-0.000950959
61459	44.898	0	1.98175e-014	0.428821	-0.415828	-0.207914	-1.78185e-018	9.72417e-005	0.0156439	0.11159	0.184627	-99999	1	1e+030	61459	-99	864000	1	7.00089	12.3114	0.0997043	-1.78405e-019	9.9999	-3.82617e-006	0.993619	-0.000283956	0.97827	-0.00107581	0.983185	-0.000926149
61460	46.9388	0	1.98175e-014	0.414609	-0.415828	-0.207914	-1.82621e-018	6.32163e-005	0.0126663	0.100451	0.179569	-99999	1	1e+030	61460	-99	864000	1	7.00082	12.3124	0.0997043	-1.82954e-019	9.99994	-2.48737e-006	0.995014	-0.000229844	0.981278	-0.000966989	0.984453	-0.000898373
61461	48.9796	0	1.98175e-014	0.400841	-0.415828	-0.207914	-1.86919e-018	4.11112e-005	0.0102579	0.0902713	0.173976	-99999	1	1e+030	61461	-99	864000	1	7.00075	12.3102	0.0997043	-1.87279e-019	9.99996	-1.61761e-006	0.996108	-0.000186095	0.983924	-0.000867788	0.985708	-0.000868107
61462	51.0204	0	1.98175e-014	0.387377	-0.415828	-0.207914	-1.91123e-018	2.67428e-005	0.00830966	0.080999	0.167937	-99999	1	1e+030	61462	-99	864000	1	7.00069	12.3047	0.0997043	-1.91684e-019	9.99997	-1.05225e-006	0.996966	-0.000150718	0.986242	-0.000777599	0.986936	-0.000835747
61463	53.0612	0	1.98175e-014	0.374074	-0.415828	-0.207914	-1.95275e-018	1.73993e-005	0.00673345	0.0725743	0.161523	-99999	1	1e+030	61463	-99	864000	1	7.00063	12.2963	0.0997043	-1.95989e-019	9.99998	-6.84614e-007	0.997637	-0.000122104	0.988265	-0.000695771	0.988125	-0.00080161
61464	55.102	0	1.98175e-014	0.360787	-0.415828	-0.207914	-1.99421e-018	1.13235e-005	0.00545785	0.0649341	0.154792	-99999	1	1e+030	61464	-99	864000	1	7.00057	12.2852	0.0997043	-2.00313e-019	9.99999	-4.45546e-007	0.998163	-9.89508e-005	0.990025	-0.000621636	0.989266	-0.000765952
61465	57.1429	0	1.98175e-014	0.347371	-0.415828	-0.207914	-2.03605e-018	7.37404e-006	0.00442516	0.0580146	0.147792	-99999	1	1e+030	61465	-99	864000	1	7.00051	12.2722	0.0997043	-2.0478e-019	9.99999	-2.90145e-007	0.998573	-8.02082e-005	0.991551	-0.000554531	0.990353	-0.000728979
61466	59.1837	0	1.98175e-014	0.333691	-0.415828	-0.207914	-2.07874e-018	4.8085e-006	0.00358873	0.051753	0.140559	-99999	1	1e+030	61466	-99	864000	1	7.00046	12.2582	0.0997043	-2.0931e-019	10	-1.89188e-007	0.998894	-6.50276e-005	0.992869	-0.000493818	0.99138	-0.000690864
