         X         Y         Z         A         B         C         D
  69.38780   0.00000  14.80000   0.00000   0.00000   0.00013   0.00057
  71.42860   0.00000  14.80000   0.00000   0.00000   0.00012   0.00057
  73.46940   0.00000  14.80000   0.00000   0.00000   0.00012   0.00056
  75.51020   0.00000  14.80000   0.00000   0.00000   0.00011   0.00054
  77.55100   0.00000  14.80000   0.00000   0.00000   0.00010   0.00051
  79.59180   0.00000  14.80000   0.00000   0.00000   0.00010   0.00048
  81.63270   0.00000  14.80000   0.00000   0.00000   0.00009   0.00045
  83.67350   0.00000  14.80000   0.00000   0.00000   0.00008   0.00041
  85.71430   0.00000  14.80000   0.00000   0.00000   0.00007   0.00037
  87.75510   0.00000  14.80000   0.00000   0.00000   0.00006   0.00033
  89.79590   0.00000  14.80000   0.00000   0.00000   0.00005   0.00029
  91.83670   0.00000  14.80000   0.00000   0.00000   0.00005   0.00025
  93.87760   0.00000  14.80000   0.00000   0.00000   0.00004   0.00021
  95.91840   0.00000  14.80000   0.00000   0.00000   0.00003   0.00018
  97.95920   0.00000  14.80000   0.00000   0.00000   0.00003   0.00015
 100.00000   0.00000  14.80000   0.00000   0.00000   0.00002   0.00012
   1.02041   0.00000  14.80000   0.00000   0.00000   0.00000   0.00000
   3.06122   0.00000  14.80000   0.00000   0.00000   0.00000   0.00000
   5.10204   0.00000  14.80000   0.00000   0.00000   0.00000   0.00000
   7.14286   0.00000  14.80000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   2.04082   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   4.08163   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   6.12245   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   8.16327   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
  10.20410   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
  12.24490   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
  14.28570   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
  16.32650   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
  18.36730   0.00000  14.60000   0.00000   0.00000   0.00000   0.00001
  20.40820   0.00000  14.60000   0.00000   0.00000   0.00001   0.00001
  22.44900   0.00000  14.60000   0.00000   0.00000   0.00001   0.00001
  24.48980   0.00000  14.60000   0.00000   0.00000   0.00001   0.00002
  26.53060   0.00000  14.60000   0.00000   0.00000   0.00001   0.00003
  28.57140   0.00000  14.60000   0.00000   0.00000   0.00002   0.00004
  30.61220   0.00000  14.60000   0.00000   0.00000   0.00003   0.00005
  32.65310   0.00000  14.60000   0.00000   0.00000   0.00003   0.00007
  34.69390   0.00000  14.60000   0.00000   0.00000   0.00004   0.00009
  36.73470   0.00000  14.60000   0.00000   0.00000   0.00005   0.00012
  38.77550   0.00000  14.60000   0.00000   0.00000   0.00006   0.00015
  40.81630   0.00000  14.60000   0.00000   0.00001   0.00007   0.00018
  42.85710   0.00000  14.60000   0.00000   0.00001   0.00008   0.00021
  44.89800   0.00000  14.60000   0.00000   0.00001   0.00009   0.00025
