              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
          78000	           6000	            100	         100000	 1	   8.3130836731e+00	   3.2821123614e+00	   1.4254369443e+00	   1.9207352333e+02	   4.7402064699e+00	   4.9643769897e+02	   2.2566955220e+01	   2.6780027237e+01	
          84000	           6000	            100	         100000	 1	   8.3063401614e+00	   3.3304814190e+00	   1.4470687987e+00	   1.9184843647e+02	   4.7401715319e+00	   4.9626713001e+02	   2.2566954652e+01	   2.6018569159e+01	
          90000	           6000	            100	         100000	 1	   8.3024563888e+00	   3.3586936135e+00	   1.4596860189e+00	   1.9171822708e+02	   4.7401578436e+00	   4.9616906471e+02	   2.2566954333e+01	   2.5588573779e+01	
              0	          12000	            100	         100000	 1	   5.7775905662e+00	   2.8409034776e+03	   1.0088523275e+03	   2.9058354966e+04	   5.0468895413e+04	   2.1184367846e+03	   1.1494918047e+02	   6.0080555590e-01	
           6000	          12000	            100	         100000	 1	   6.2437978293e+00	   6.0908026773e+02	   2.4566850665e+02	   9.6301889396e+03	   1.4713562955e+04	   1.8669552487e+03	   4.9490824103e+01	   1.8031602562e-01	
          12000	          12000	            100	         100000	 1	   6.8413372752e+00	   1.0388599125e+02	   4.4448045195e+01	   3.0245872573e+03	   3.8241331839e+03	   1.2210651676e+03	   2.9558012117e+01	   2.3090537575e-01	
          18000	          12000	            100	         100000	 1	   7.5656489578e+00	   1.7085735612e+01	   7.4735144034e+00	   9.9126354473e+02	   9.3871106987e+02	   7.8726780446e+02	   2.4276651809e+01	   1.6666255884e+00	
          24000	          12000	            100	         100000	 1	   8.1784220636e+00	   4.3238639201e+00	   1.8823743656e+00	   3.8059185270e+02	   1.9930397185e+02	   5.8143396971e+02	   2.2923144922e+01	   1.6385468021e+01	
          30000	          12000	            100	         100000	 1	   8.2797908859e+00	   3.5097546038e+00	   1.5258197868e+00	   2.2536846113e+02	   3.6818832052e+01	   5.1353401138e+02	   2.2625681237e+01	   2.3681498941e+01	
          36000	          12000	            100	         100000	 1	   8.4146177345e+00	   2.6385029265e+00	   1.1375307929e+00	   1.9762824141e+02	   6.6328048674e+00	   5.0047034451e+02	   2.2570426936e+01	   4.1409838316e+01	
