              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          18000	          12000	            100	           1000	 1	     5.70993	  1.8415e+04	  3.8900e+03	  1.2291e+05	  2.3289e+05	  2.4567e+02	  4.4892e+02	  7.5592e-01	
          24000	          12000	            100	           1000	 1	     5.69759	  1.7475e+04	  3.7891e+03	  1.1758e+05	  2.2271e+05	  2.6349e+02	  4.3029e+02	  8.0714e-01	
          30000	          12000	            100	           1000	 1	     5.66337	  1.4452e+04	  3.4167e+03	  1.0010e+05	  1.8932e+05	  3.4367e+02	  3.6916e+02	  9.5560e-01	
          36000	          12000	            100	           1000	 1	     5.67692	  1.5772e+04	  3.5888e+03	  1.0780e+05	  2.0404e+05	  3.0359e+02	  3.9610e+02	  8.9607e-01	
          42000	          12000	            100	           1000	 1	     5.68283	  1.6283e+04	  3.6515e+03	  1.1075e+05	  2.0968e+05	  2.9034e+02	  4.0643e+02	  8.7033e-01	
          48000	          12000	            100	           1000	 1	      5.6807	  1.6102e+04	  3.6295e+03	  1.0971e+05	  2.0769e+05	  2.9490e+02	  4.0278e+02	  8.7957e-01	
          54000	          12000	            100	           1000	 1	     5.67925	  1.5977e+04	  3.6142e+03	  1.0898e+05	  2.0630e+05	  2.9814e+02	  4.0025e+02	  8.8589e-01	
          60000	          12000	            100	           1000	 1	     5.71244	  1.8603e+04	  3.9093e+03	  1.2396e+05	  2.3491e+05	  2.4241e+02	  4.5261e+02	  7.4569e-01	
          66000	          12000	            100	           1000	 1	     5.71294	  1.8640e+04	  3.9131e+03	  1.2417e+05	  2.3530e+05	  2.4178e+02	  4.5334e+02	  7.4367e-01	
          72000	          12000	            100	           1000	 1	     5.71306	  1.8649e+04	  3.9141e+03	  1.2422e+05	  2.3540e+05	  2.4163e+02	  4.5352e+02	  7.4317e-01	
          78000	          12000	            100	           1000	 1	      5.7131	  1.8652e+04	  3.9143e+03	  1.2424e+05	  2.3543e+05	  2.4158e+02	  4.5358e+02	  7.4302e-01	
          84000	          12000	            100	           1000	 1	      5.7131	  1.8652e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5359e+02	  7.4299e-01	
          90000	          12000	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9144e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4297e-01	
              0	          18000	            100	           1000	 1	      5.7131	  1.8652e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5359e+02	  7.4299e-01	
           6000	          18000	            100	           1000	 1	     5.71297	  1.8642e+04	  3.9134e+03	  1.2419e+05	  2.3533e+05	  2.4174e+02	  4.5339e+02	  7.4354e-01	
          12000	          18000	            100	           1000	 1	     5.71155	  1.8536e+04	  3.9025e+03	  1.2359e+05	  2.3419e+05	  2.4356e+02	  4.5130e+02	  7.4932e-01	
          18000	          18000	            100	           1000	 1	     5.70294	  1.7886e+04	  3.8341e+03	  1.1992e+05	  2.2718e+05	  2.5536e+02	  4.3847e+02	  7.8477e-01	
          24000	          18000	            100	           1000	 1	     5.67136	  1.5262e+04	  3.5241e+03	  1.0483e+05	  1.9837e+05	  3.1802e+02	  3.8573e+02	  9.2049e-01	
          30000	          18000	            100	           1000	 1	     5.66386	  8.6256e+03	  2.4454e+03	  6.4691e+04	  1.2134e+05	  6.8255e+02	  2.4470e+02	  9.2110e-01	
          36000	          18000	            100	           1000	 1	     5.66101	  1.4186e+04	  3.3801e+03	  9.8537e+04	  1.8633e+05	  3.5291e+02	  3.6368e+02	  9.6594e-01	
          42000	          18000	            100	           1000	 1	     5.69066	  1.6927e+04	  3.7273e+03	  1.1445e+05	  2.1675e+05	  2.7517e+02	  4.1937e+02	  8.3657e-01	
          48000	          18000	            100	           1000	 1	     5.68196	  1.6210e+04	  3.6426e+03	  1.1033e+05	  2.0887e+05	  2.9218e+02	  4.0495e+02	  8.7410e-01	
          54000	          18000	            100	           1000	 1	     5.68175	  1.6192e+04	  3.6405e+03	  1.1023e+05	  2.0868e+05	  2.9262e+02	  4.0460e+02	  8.7500e-01	
          60000	          18000	            100	           1000	 1	       5.711	  1.8495e+04	  3.8983e+03	  1.2336e+05	  2.3375e+05	  2.4427e+02	  4.5049e+02	  7.5156e-01	
          66000	          18000	            100	           1000	 1	     5.71227	  1.8590e+04	  3.9081e+03	  1.2389e+05	  2.3477e+05	  2.4262e+02	  4.5237e+02	  7.4636e-01	
          72000	          18000	            100	           1000	 1	     5.71287	  1.8635e+04	  3.9126e+03	  1.2414e+05	  2.3525e+05	  2.4187e+02	  4.5324e+02	  7.4396e-01	
          78000	          18000	            100	           1000	 1	     5.71303	  1.8647e+04	  3.9139e+03	  1.2421e+05	  2.3538e+05	  2.4166e+02	  4.5348e+02	  7.4328e-01	
          84000	          18000	            100	           1000	 1	     5.71308	  1.8650e+04	  3.9142e+03	  1.2423e+05	  2.3542e+05	  2.4160e+02	  4.5355e+02	  7.4310e-01	
          90000	          18000	            100	           1000	 1	     5.71311	  1.8652e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4157e+02	  4.5359e+02	  7.4298e-01	
              0	          24000	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9144e+03	  1.2424e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4297e-01	
           6000	          24000	            100	           1000	 1	     5.71306	  1.8649e+04	  3.9141e+03	  1.2422e+05	  2.3540e+05	  2.4163e+02	  4.5353e+02	  7.4316e-01	
          12000	          24000	            100	           1000	 1	     5.71256	  1.8612e+04	  3.9103e+03	  1.2401e+05	  2.3500e+05	  2.4226e+02	  4.5279e+02	  7.4520e-01	
          18000	          24000	            100	           1000	 1	      5.7095	  1.8383e+04	  3.8867e+03	  1.2273e+05	  2.3254e+05	  2.4623e+02	  4.4829e+02	  7.5766e-01	
          24000	          24000	            100	           1000	 1	     5.69707	  1.7434e+04	  3.7847e+03	  1.1735e+05	  2.2227e+05	  2.6432e+02	  4.2949e+02	  8.0934e-01	
          30000	          24000	            100	           1000	 1	     5.66691	  1.4825e+04	  3.4668e+03	  1.0229e+05	  1.9350e+05	  3.3142e+02	  3.7680e+02	  9.4007e-01	
          36000	          24000	            100	           1000	 1	     5.68185	  1.6200e+04	  3.6414e+03	  1.1027e+05	  2.0876e+05	  2.9242e+02	  4.0475e+02	  8.7460e-01	
          42000	          24000	            100	           1000	 1	      5.6863	  1.6573e+04	  3.6859e+03	  1.1242e+05	  2.1286e+05	  2.8333e+02	  4.1226e+02	  8.5532e-01	
          48000	          24000	            100	           1000	 1	     5.68344	  1.6335e+04	  3.6576e+03	  1.1105e+05	  2.1025e+05	  2.8907e+02	  4.0747e+02	  8.6768e-01	
          54000	          24000	            100	           1000	 1	     5.68188	  1.6203e+04	  3.6417e+03	  1.1029e+05	  2.0879e+05	  2.9235e+02	  4.0481e+02	  8.7446e-01	
          60000	          24000	            100	           1000	 1	      5.7042	  1.7983e+04	  3.8445e+03	  1.2046e+05	  2.2822e+05	  2.5354e+02	  4.4038e+02	  7.7952e-01	
          66000	          24000	            100	           1000	 1	      5.7093	  1.8368e+04	  3.8851e+03	  1.2264e+05	  2.3238e+05	  2.4651e+02	  4.4798e+02	  7.5851e-01	
          72000	          24000	            100	           1000	 1	     5.71231	  1.8593e+04	  3.9084e+03	  1.2391e+05	  2.3480e+05	  2.4258e+02	  4.5243e+02	  7.4621e-01	
          78000	          24000	            100	           1000	 1	     5.71288	  1.8636e+04	  3.9127e+03	  1.2415e+05	  2.3526e+05	  2.4185e+02	  4.5326e+02	  7.4389e-01	
          84000	          24000	            100	           1000	 1	     5.71305	  1.8648e+04	  3.9140e+03	  1.2422e+05	  2.3540e+05	  2.4164e+02	  4.5351e+02	  7.4320e-01	
          90000	          24000	            100	           1000	 1	      5.7131	  1.8652e+04	  3.9144e+03	  1.2424e+05	  2.3543e+05	  2.4158e+02	  4.5358e+02	  7.4301e-01	
              0	          30000	            100	           1000	 1	     5.71311	  1.8653e+04	  3.9145e+03	  1.2425e+05	  2.3544e+05	  2.4156e+02	  4.5360e+02	  7.4296e-01	
           6000	          30000	            100	           1000	 1	     5.71309	  1.8652e+04	  3.9143e+03	  1.2424e+05	  2.3543e+05	  2.4158e+02	  4.5357e+02	  7.4303e-01	
          12000	          30000	            100	           1000	 1	     5.71289	  1.8637e+04	  3.9128e+03	  1.2416e+05	  2.3527e+05	  2.4184e+02	  4.5328e+02	  7.4384e-01	
          18000	          30000	            100	           1000	 1	     5.71153	  1.8535e+04	  3.9024e+03	  1.2358e+05	  2.3417e+05	  2.4358e+02	  4.5127e+02	  7.4940e-01	
          24000	          30000	            100	           1000	 1	     5.70486	  1.8033e+04	  3.8498e+03	  1.2075e+05	  2.2877e+05	  2.5259e+02	  4.4137e+02	  7.7677e-01	
          30000	          30000	            100	           1000	 1	     5.68312	  1.6307e+04	  3.6544e+03	  1.1089e+05	  2.0995e+05	  2.8974e+02	  4.0692e+02	  8.6908e-01	
          36000	          30000	            100	           1000	 1	     5.68459	  1.6431e+04	  3.6691e+03	  1.1160e+05	  2.1130e+05	  2.8672e+02	  4.0940e+02	  8.6271e-01	
          42000	          30000	            100	           1000	 1	     5.68568	  1.6521e+04	  3.6799e+03	  1.1212e+05	  2.1230e+05	  2.8454e+02	  4.1123e+02	  8.5799e-01	
          48000	          30000	            100	           1000	 1	     5.68197	  1.6210e+04	  3.6427e+03	  1.1033e+05	  2.0888e+05	  2.9216e+02	  4.0497e+02	  8.7406e-01	
          54000	          30000	            100	           1000	 1	     5.67339	  1.5452e+04	  3.5485e+03	  1.0594e+05	  2.0049e+05	  3.1248e+02	  3.8961e+02	  9.1154e-01	
          60000	          30000	            100	           1000	 1	     5.66472	  1.4597e+04	  3.4364e+03	  1.0095e+05	  1.9095e+05	  3.3880e+02	  3.7214e+02	  9.4969e-01	
          66000	          30000	            100	           1000	 1	     5.69977	  1.7643e+04	  3.8077e+03	  1.1853e+05	  2.2454e+05	  2.6011e+02	  4.3364e+02	  7.9802e-01	
          72000	          30000	            100	           1000	 1	     5.71082	  1.8482e+04	  3.8969e+03	  1.2328e+05	  2.3361e+05	  2.4450e+02	  4.5024e+02	  7.5228e-01	
          78000	          30000	            100	           1000	 1	     5.71279	  1.8629e+04	  3.9120e+03	  1.2411e+05	  2.3519e+05	  2.4196e+02	  4.5313e+02	  7.4425e-01	
