              x	              y	              z	           time	in	                 Cl	
              0	              0	              0	              1	 1	   9.9999999999e-04	
          1e-06	              0	              0	              1	 1	   9.8214332424e-04	
          2e-06	              0	              0	              1	 1	   9.6429394040e-04	
          3e-06	              0	              0	              1	 1	   9.4646088054e-04	
          4e-06	              0	              0	              1	 1	   9.2865315852e-04	
          5e-06	              0	              0	              1	 1	   9.1087975453e-04	
          6e-06	              0	              0	              1	 1	   8.9314960016e-04	
          7e-06	              0	              0	              1	 1	   8.7547156394e-04	
          8e-06	              0	              0	              1	 1	   8.5785443719e-04	
          9e-06	              0	              0	              1	 1	   8.4030692035e-04	
          1e-05	              0	              0	              1	 1	   8.2283760958e-04	
        1.1e-05	              0	              0	              1	 1	   8.0545498372e-04	
        1.2e-05	              0	              0	              1	 1	   7.8816739170e-04	
        1.3e-05	              0	              0	              1	 1	   7.7098304022e-04	
        1.4e-05	              0	              0	              1	 1	   7.5390998188e-04	
        1.5e-05	              0	              0	              1	 1	   7.3695610372e-04	
        1.6e-05	              0	              0	              1	 1	   7.2012911616e-04	
        1.7e-05	              0	              0	              1	 1	   7.0343654248e-04	
        1.8e-05	              0	              0	              1	 1	   6.8688570864e-04	
        1.9e-05	              0	              0	              1	 1	   6.7048373373e-04	
          2e-05	              0	              0	              1	 1	   6.5423752082e-04	
        2.1e-05	              0	              0	              1	 1	   6.3815374846e-04	
        2.2e-05	              0	              0	              1	 1	   6.2223886259e-04	
        2.3e-05	              0	              0	              1	 1	   6.0649906914e-04	
        2.4e-05	              0	              0	              1	 1	   5.9094032711e-04	
        2.5e-05	              0	              0	              1	 1	   5.7556834229e-04	
        2.6e-05	              0	              0	              1	 1	   5.6038856155e-04	
        2.7e-05	              0	              0	              1	 1	   5.4540616774e-04	
        2.8e-05	              0	              0	              1	 1	   5.3062607520e-04	
        2.9e-05	              0	              0	              1	 1	   5.1605292590e-04	
          3e-05	              0	              0	              1	 1	   5.0169108611e-04	
        3.1e-05	              0	              0	              1	 1	   4.8754464382e-04	
        3.2e-05	              0	              0	              1	 1	   4.7361740662e-04	
        3.3e-05	              0	              0	              1	 1	   4.5991290035e-04	
        3.4e-05	              0	              0	              1	 1	   4.4643436815e-04	
        3.5e-05	              0	              0	              1	 1	   4.3318477031e-04	
