ID	x	y	z	p4f	H*	O*	Charge	Ap	Bp	Cp	Dp	p4f	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
61435	0	5.1	1.98175e-014	0	-0.415829	-0.207914	-3.12057e-018	0	0	0	0	-99999	1	1e+030	61435	-99	864000	1	6.99977	0.169199	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61436	0	2.5	1.98175e-014	1	-0.415826	-0.207913	-1.98523e-022	0.606531	0.353667	0.0384333	0.00135165	-99999	1	1e+030	61436	-99	864000	1	7.0035	2.27548	0.0997043	-1.98523e-023	8.42612	-0.0393469	0.84079	-0.00398025	0.994523	-0.000136927	0.99993	-1.76219e-006
61437	0	0	1.98175e-014	1	-0.415826	-0.207913	-1.98523e-022	0.606531	0.353667	0.0384333	0.00135165	-99999	1	1e+030	61437	-99	864000	1	7.0035	2.27548	0.0997043	-1.98523e-023	8.42612	-0.0393469	0.84079	-0.00398025	0.994523	-0.000136927	0.99993	-1.76219e-006
61438	2.04082	0	1.98175e-014	0.987708	-0.415826	-0.207913	-3.86459e-020	0.499877	0.396194	0.0818989	0.00908716	-99999	1	1e+030	61438	-99	864000	1	7.00345	11.2775	0.0997043	-3.86459e-021	8.70958	-0.0324281	0.781027	-0.00559882	0.980135	-0.000525232	0.998883	-3.10352e-005
61439	4.08163	0	1.98175e-014	0.964184	-0.415826	-0.207913	-1.12133e-019	0.35226	0.440757	0.146319	0.0228735	-99999	1	1e+030	61439	-99	864000	1	7.00336	11.3952	0.0997043	-1.12133e-020	9.10074	-0.0228519	0.711599	-0.00752247	0.95835	-0.00112329	0.996956	-8.59614e-005
61440	6.12245	0	1.98175e-014	0.931529	-0.415826	-0.207913	-2.14008e-019	0.228371	0.449965	0.20802	0.0410227	-99999	1	1e+030	61440	-99	864000	1	7.00323	11.5093	0.0997043	-2.14008e-020	9.42631	-0.0148149	0.679301	-0.00851273	0.936777	-0.00173672	0.994323	-0.000163269
61441	8.16327	0	1.98175e-014	0.895549	-0.415827	-0.207913	-3.26306e-019	0.147357	0.422929	0.256073	0.0618985	-99999	1	1e+030	61441	-99	864000	1	7.00308	11.6009	0.0997043	-3.26306e-020	9.63607	-0.00955937	0.688249	-0.00842841	0.919524	-0.00225545	0.991231	-0.000257379
61442	10.2041	0	1.98175e-014	0.857973	-0.415827	-0.207913	-4.43518e-019	0.0958905	0.377995	0.289058	0.0836754	-99999	1	1e+030	61442	-99	864000	1	7.00292	11.6833	0.0997043	-4.43518e-020	9.767	-0.00622062	0.71844	-0.00776023	0.907706	-0.00264154	0.988011	-0.00035967
61443	12.2449	0	1.98175e-014	0.81972	-0.415827	-0.207913	-5.62036e-019	0.0619833	0.327718	0.308631	0.105105	-99999	1	1e+030	61443	-99	864000	1	7.00276	11.7569	0.0997043	-5.62036e-020	9.8519	-0.00402099	0.755921	-0.00686233	0.900995	-0.00289608	0.984901	-0.000463565
61444	14.2857	0	1.98175e-014	0.782253	-0.415827	-0.207913	-6.79066e-019	0.0400136	0.278286	0.316758	0.125223	-99999	1	1e+030	61444	-99	864000	1	7.0026	11.8238	0.0997043	-6.79066e-020	9.90602	-0.00259577	0.794148	-0.00590734	0.898679	-0.00303173	0.982078	-0.000563729
61445	16.3265	0	1.98175e-014	0.746421	-0.415827	-0.207913	-7.91066e-019	0.0258383	0.232934	0.315915	0.143423	-99999	1	1e+030	61445	-99	864000	1	7.00244	11.8848	0.0997043	-7.91066e-020	9.94035	-0.00167618	0.829638	-0.00499322	0.899777	-0.00307014	0.979651	-0.000656475
61446	18.3673	0	1.98175e-014	0.712625	-0.415827	-0.207914	-8.95853e-019	0.0166793	0.193029	0.30839	0.159351	-99999	1	1e+030	61446	-99	864000	1	7.00229	11.9405	0.0997043	-8.95853e-020	9.96217	-0.00108202	0.860859	-0.00416784	0.903359	-0.00303327	0.977678	-0.000739416
