              x	              y	              z	           time	in	        Cl(mol/kgw)	
              3	              9	              0	             10	 1	   9.4829303245e-01	
              4	              9	              0	             10	 1	   9.2467524714e-01	
              5	              9	              0	             10	 1	   8.9893101869e-01	
              6	              9	              0	             10	 1	   8.7889661813e-01	
              7	              9	              0	             10	 1	   8.6060058432e-01	
              8	              9	              0	             10	 1	   8.4548634202e-01	
              9	              9	              0	             10	 1	   8.3517762773e-01	
             10	              9	              0	             10	 1	   8.3143807036e-01	
              0	             10	              0	             10	 1	   1.0000000000e+00	
              1	             10	              0	             10	 1	   9.8622784465e-01	
              2	             10	              0	             10	 1	   9.6894185718e-01	
              3	             10	              0	             10	 1	   9.4829484062e-01	
              4	             10	              0	             10	 1	   9.2474037327e-01	
              5	             10	              0	             10	 1	   8.9909878885e-01	
              6	             10	              0	             10	 1	   8.7916192096e-01	
              7	             10	              0	             10	 1	   8.6096739160e-01	
              8	             10	              0	             10	 1	   8.4594550800e-01	
              9	             10	              0	             10	 1	   8.3570433018e-01	
             10	             10	              0	             10	 1	   8.3199019197e-01	
              0	              0	              1	             10	 1	   1.0000000000e+00	
              1	              0	              1	             10	 1	   9.9222748088e-01	
              2	              0	              1	             10	 1	   9.7897444103e-01	
              3	              0	              1	             10	 1	   9.5844945233e-01	
              4	              0	              1	             10	 1	   9.2864872019e-01	
              5	              0	              1	             10	 1	   8.8729225095e-01	
              6	              0	              1	             10	 1	   8.5904851265e-01	
              7	              0	              1	             10	 1	   8.3160371547e-01	
              8	              0	              1	             10	 1	   8.0739908687e-01	
              9	              0	              1	             10	 1	   7.8972654560e-01	
             10	              0	              1	             10	 1	   7.8299555687e-01	
              0	              1	              1	             10	 1	   1.0000000000e+00	
              1	              1	              1	             10	 1	   9.9219100028e-01	
              2	              1	              1	             10	 1	   9.7890434184e-01	
              3	              1	              1	             10	 1	   9.5838804605e-01	
              4	              1	              1	             10	 1	   9.2868667257e-01	
              5	              1	              1	             10	 1	   8.8756179043e-01	
              6	              1	              1	             10	 1	   8.5951622806e-01	
              7	              1	              1	             10	 1	   8.3229119381e-01	
              8	              1	              1	             10	 1	   8.0829715885e-01	
              9	              1	              1	             10	 1	   7.9078690625e-01	
             10	              1	              1	             10	 1	   7.8411939755e-01	
              0	              2	              1	             10	 1	   1.0000000000e+00	
              1	              2	              1	             10	 1	   9.9204279118e-01	
              2	              2	              1	             10	 1	   9.7861492460e-01	
              3	              2	              1	             10	 1	   9.5810381319e-01	
              4	              2	              1	             10	 1	   9.2871702673e-01	
              5	              2	              1	             10	 1	   8.8834954519e-01	
              6	              2	              1	             10	 1	   8.6093702900e-01	
              7	              2	              1	             10	 1	   8.3439966571e-01	
              8	              2	              1	             10	 1	   8.1106088566e-01	
              9	              2	              1	             10	 1	   7.9405619736e-01	
             10	              2	              1	             10	 1	   7.8758686100e-01	
              0	              3	              1	             10	 1	   1.0000000000e+00	
              1	              3	              1	             10	 1	   9.9163793937e-01	
              2	              3	              1	             10	 1	   9.7782627592e-01	
              3	              3	              1	             10	 1	   9.5726004396e-01	
              4	              3	              1	             10	 1	   9.2847793764e-01	
              5	              3	              1	             10	 1	   8.8962879646e-01	
              6	              3	              1	             10	 1	   8.6339328131e-01	
              7	              3	              1	             10	 1	   8.3808466678e-01	
              8	              3	              1	             10	 1	   8.1591215819e-01	
              9	              3	              1	             10	 1	   7.9981495329e-01	
             10	              3	              1	             10	 1	   7.9370403455e-01	
              0	              4	              1	             10	 1	   1.0000000000e+00	
              1	              4	              1	             10	 1	   9.9060375519e-01	
              2	              4	              1	             10	 1	   9.7590754116e-01	
              3	              4	              1	             10	 1	   9.5516977697e-01	
              4	              4	              1	             10	 1	   9.2750241553e-01	
              5	              4	              1	             10	 1	   8.9154143966e-01	
              6	              4	              1	             10	 1	   8.6711928283e-01	
              7	              4	              1	             10	 1	   8.4364657124e-01	
              8	              4	              1	             10	 1	   8.2325313570e-01	
              9	              4	              1	             10	 1	   8.0858084717e-01	
             10	              4	              1	             10	 1	   8.0304420904e-01	
              0	              5	              1	             10	 1	   1.0000000000e+00	
              1	              5	              1	             10	 1	   9.8794288261e-01	
              2	              5	              1	             10	 1	   9.7156659055e-01	
              3	              5	              1	             10	 1	   9.5062393532e-01	
              4	              5	              1	             10	 1	   9.2505778040e-01	
              5	              5	              1	             10	 1	   8.9507123031e-01	
              6	              5	              1	             10	 1	   8.7255637569e-01	
              7	              5	              1	             10	 1	   8.5150411928e-01	
              8	              5	              1	             10	 1	   8.3366893162e-01	
              9	              5	              1	             10	 1	   8.2118039134e-01	
             10	              5	              1	             10	 1	   8.1656349915e-01	
              0	              6	              1	             10	 1	   1.0000000000e+00	
              1	              6	              1	             10	 1	   9.8694405029e-01	
              2	              6	              1	             10	 1	   9.7007303542e-01	
              3	              6	              1	             10	 1	   9.4921100429e-01	
              4	              6	              1	             10	 1	   9.2456030858e-01	
              5	              6	              1	             10	 1	   8.9689399188e-01	
              6	              6	              1	             10	 1	   8.7532908323e-01	
              7	              6	              1	             10	 1	   8.5546523848e-01	
              8	              6	              1	             10	 1	   8.3887035263e-01	
              9	              6	              1	             10	 1	   8.2742497418e-01	
             10	              6	              1	             10	 1	   8.2324263604e-01	
              0	              7	              1	             10	 1	   1.0000000000e+00	
              1	              7	              1	             10	 1	   9.8651165722e-01	
              2	              7	              1	             10	 1	   9.6939627637e-01	
              3	              7	              1	             10	 1	   9.4864333144e-01	
              4	              7	              1	             10	 1	   9.2459433123e-01	
              5	              7	              1	             10	 1	   8.9807116855e-01	
              6	              7	              1	             10	 1	   8.7733708663e-01	
              7	              7	              1	             10	 1	   8.5832158863e-01	
              8	              7	              1	             10	 1	   8.4254008938e-01	
              9	              7	              1	             10	 1	   8.3173017765e-01	
             10	              7	              1	             10	 1	   8.2779845878e-01	
              0	              8	              1	             10	 1	   1.0000000000e+00	
              1	              8	              1	             10	 1	   9.8633224919e-01	
              2	              8	              1	             10	 1	   9.6912217831e-01	
              3	              8	              1	             10	 1	   9.4846737192e-01	
              4	              8	              1	             10	 1	   9.2478217762e-01	
              5	              8	              1	             10	 1	   8.9888472284e-01	
              6	              8	              1	             10	 1	   8.7869721530e-01	
              7	              8	              1	             10	 1	   8.6023717511e-01	
              8	              8	              1	             10	 1	   8.4496850724e-01	
              9	              8	              1	             10	 1	   8.3454324423e-01	
             10	              8	              1	             10	 1	   8.3075898371e-01	
              0	              9	              1	             10	 1	   1.0000000000e+00	
              1	              9	              1	             10	 1	   9.8626528461e-01	
              2	              9	              1	             10	 1	   9.6902770196e-01	
              3	              9	              1	             10	 1	   9.4843936547e-01	
              4	              9	              1	             10	 1	   9.2495015814e-01	
              5	              9	              1	             10	 1	   8.9937569449e-01	
              6	              9	              1	             10	 1	   8.7948869474e-01	
              7	              9	              1	             10	 1	   8.6133844510e-01	
              8	              9	              1	             10	 1	   8.4635232960e-01	
              9	              9	              1	             10	 1	   8.3613505051e-01	
             10	              9	              1	             10	 1	   8.3242946426e-01	
              0	             10	              1	             10	 1	   1.0000000000e+00	
              1	             10	              1	             10	 1	   9.8624884326e-01	
              2	             10	              1	             10	 1	   9.6900660030e-01	
              3	             10	              1	             10	 1	   9.4844166176e-01	
              4	             10	              1	             10	 1	   9.2501458916e-01	
              5	             10	              1	             10	 1	   8.9954062558e-01	
              6	             10	              1	             10	 1	   8.7974897237e-01	
              7	             10	              1	             10	 1	   8.6169784503e-01	
              8	             10	              1	             10	 1	   8.4680186977e-01	
              9	             10	              1	             10	 1	   8.3665048784e-01	
             10	             10	              1	             10	 1	   8.3296970145e-01	
              0	              0	              2	             10	 1	   1.0000000000e+00	
              1	              0	              2	             10	 1	   9.9207146875e-01	
              2	              0	              2	             10	 1	   9.7871379988e-01	
              3	              0	              2	             10	 1	   9.5834316550e-01	
              4	              0	              2	             10	 1	   9.2918909799e-01	
              5	              0	              2	             10	 1	   8.8916255313e-01	
              6	              0	              2	             10	 1	   8.6198346932e-01	
              7	              0	              2	             10	 1	   8.3567379851e-01	
              8	              0	              2	             10	 1	   8.1253895255e-01	
              9	              0	              2	             10	 1	   7.9568552818e-01	
             10	              0	              2	             10	 1	   7.8927431268e-01	
              0	              1	              2	             10	 1	   1.0000000000e+00	
