              x	              y	              z	           time	in	          Cl	
              1	             10	              0	             10	 1	  9.8694e-01	
              2	             10	              0	             10	 1	  9.7052e-01	
              3	             10	              0	             10	 1	  9.5087e-01	
              4	             10	              0	             10	 1	  9.2840e-01	
              5	             10	              0	             10	 1	  9.0388e-01	
              6	             10	              0	             10	 1	  8.8477e-01	
              7	             10	              0	             10	 1	  8.6729e-01	
              8	             10	              0	             10	 1	  8.5283e-01	
              9	             10	              0	             10	 1	  8.4296e-01	
             10	             10	              0	             10	 1	  8.3938e-01	
              0	              0	              1	             10	 1	  1.0000e+00	
              1	              0	              1	             10	 1	  9.9263e-01	
              2	              0	              1	             10	 1	  9.8005e-01	
              3	              0	              1	             10	 1	  9.6054e-01	
              4	              0	              1	             10	 1	  9.3214e-01	
              5	              0	              1	             10	 1	  8.9257e-01	
              6	              0	              1	             10	 1	  8.6544e-01	
              7	              0	              1	             10	 1	  8.3901e-01	
              8	              0	              1	             10	 1	  8.1563e-01	
              9	              0	              1	             10	 1	  7.9853e-01	
             10	              0	              1	             10	 1	  7.9200e-01	
              0	              1	              1	             10	 1	  1.0000e+00	
              1	              1	              1	             10	 1	  9.9260e-01	
              2	              1	              1	             10	 1	  9.7999e-01	
              3	              1	              1	             10	 1	  9.6048e-01	
              4	              1	              1	             10	 1	  9.3217e-01	
              5	              1	              1	             10	 1	  8.9282e-01	
              6	              1	              1	             10	 1	  8.6589e-01	
              7	              1	              1	             10	 1	  8.3967e-01	
              8	              1	              1	             10	 1	  8.1650e-01	
              9	              1	              1	             10	 1	  7.9955e-01	
             10	              1	              1	             10	 1	  7.9309e-01	
              0	              2	              1	             10	 1	  1.0000e+00	
              1	              2	              1	             10	 1	  9.9246e-01	
              2	              2	              1	             10	 1	  9.7971e-01	
              3	              2	              1	             10	 1	  9.6021e-01	
              4	              2	              1	             10	 1	  9.3220e-01	
              5	              2	              1	             10	 1	  8.9358e-01	
              6	              2	              1	             10	 1	  8.6726e-01	
              7	              2	              1	             10	 1	  8.4171e-01	
              8	              2	              1	             10	 1	  8.1917e-01	
              9	              2	              1	             10	 1	  8.0272e-01	
             10	              2	              1	             10	 1	  7.9645e-01	
              0	              3	              1	             10	 1	  1.0000e+00	
              1	              3	              1	             10	 1	  9.9207e-01	
              2	              3	              1	             10	 1	  9.7896e-01	
              3	              3	              1	             10	 1	  9.5941e-01	
              4	              3	              1	             10	 1	  9.3197e-01	
              5	              3	              1	             10	 1	  8.9481e-01	
              6	              3	              1	             10	 1	  8.6962e-01	
              7	              3	              1	             10	 1	  8.4526e-01	
              8	              3	              1	             10	 1	  8.2386e-01	
              9	              3	              1	             10	 1	  8.0830e-01	
             10	              3	              1	             10	 1	  8.0238e-01	
              0	              4	              1	             10	 1	  1.0000e+00	
              1	              4	              1	             10	 1	  9.9109e-01	
              2	              4	              1	             10	 1	  9.7714e-01	
              3	              4	              1	             10	 1	  9.5742e-01	
              4	              4	              1	             10	 1	  9.3104e-01	
              5	              4	              1	             10	 1	  8.9664e-01	
              6	              4	              1	             10	 1	  8.7320e-01	
              7	              4	              1	             10	 1	  8.5062e-01	
              8	              4	              1	             10	 1	  8.3095e-01	
              9	              4	              1	             10	 1	  8.1678e-01	
             10	              4	              1	             10	 1	  8.1142e-01	
              0	              5	              1	             10	 1	  1.0000e+00	
              1	              5	              1	             10	 1	  9.8857e-01	
              2	              5	              1	             10	 1	  9.7302e-01	
              3	              5	              1	             10	 1	  9.5309e-01	
              4	              5	              1	             10	 1	  9.2871e-01	
              5	              5	              1	             10	 1	  9.0002e-01	
              6	              5	              1	             10	 1	  8.7842e-01	
              7	              5	              1	             10	 1	  8.5818e-01	
              8	              5	              1	             10	 1	  8.4100e-01	
              9	              5	              1	             10	 1	  8.2895e-01	
             10	              5	              1	             10	 1	  8.2449e-01	
              0	              6	              1	             10	 1	  1.0000e+00	
              1	              6	              1	             10	 1	  9.8762e-01	
              2	              6	              1	             10	 1	  9.7160e-01	
              3	              6	              1	             10	 1	  9.5174e-01	
              4	              6	              1	             10	 1	  9.2823e-01	
              5	              6	              1	             10	 1	  9.0177e-01	
              6	              6	              1	             10	 1	  8.8109e-01	
              7	              6	              1	             10	 1	  8.6200e-01	
              8	              6	              1	             10	 1	  8.4602e-01	
              9	              6	              1	             10	 1	  8.3498e-01	
             10	              6	              1	             10	 1	  8.3094e-01	
              0	              7	              1	             10	 1	  1.0000e+00	
              1	              7	              1	             10	 1	  9.8721e-01	
              2	              7	              1	             10	 1	  9.7095e-01	
              3	              7	              1	             10	 1	  9.5120e-01	
              4	              7	              1	             10	 1	  9.2826e-01	
              5	              7	              1	             10	 1	  9.0290e-01	
              6	              7	              1	             10	 1	  8.8301e-01	
              7	              7	              1	             10	 1	  8.6474e-01	
              8	              7	              1	             10	 1	  8.4955e-01	
              9	              7	              1	             10	 1	  8.3913e-01	
             10	              7	              1	             10	 1	  8.3534e-01	
              0	              8	              1	             10	 1	  1.0000e+00	
              1	              8	              1	             10	 1	  9.8704e-01	
              2	              8	              1	             10	 1	  9.7069e-01	
              3	              8	              1	             10	 1	  9.5104e-01	
              4	              8	              1	             10	 1	  9.2844e-01	
              5	              8	              1	             10	 1	  9.0367e-01	
              6	              8	              1	             10	 1	  8.8432e-01	
              7	              8	              1	             10	 1	  8.6659e-01	
              8	              8	              1	             10	 1	  8.5189e-01	
              9	              8	              1	             10	 1	  8.4184e-01	
             10	              8	              1	             10	 1	  8.3819e-01	
              0	              9	              1	             10	 1	  1.0000e+00	
              1	              9	              1	             10	 1	  9.8698e-01	
              2	              9	              1	             10	 1	  9.7060e-01	
              3	              9	              1	             10	 1	  9.5101e-01	
              4	              9	              1	             10	 1	  9.2860e-01	
              5	              9	              1	             10	 1	  9.0414e-01	
              6	              9	              1	             10	 1	  8.8508e-01	
              7	              9	              1	             10	 1	  8.6764e-01	
              8	              9	              1	             10	 1	  8.5322e-01	
              9	              9	              1	             10	 1	  8.4338e-01	
             10	              9	              1	             10	 1	  8.3981e-01	
              0	             10	              1	             10	 1	  1.0000e+00	
              1	             10	              1	             10	 1	  9.8696e-01	
              2	             10	              1	             10	 1	  9.7058e-01	
              3	             10	              1	             10	 1	  9.5101e-01	
              4	             10	              1	             10	 1	  9.2866e-01	
              5	             10	              1	             10	 1	  9.0430e-01	
              6	             10	              1	             10	 1	  8.8533e-01	
              7	             10	              1	             10	 1	  8.6799e-01	
              8	             10	              1	             10	 1	  8.5366e-01	
              9	             10	              1	             10	 1	  8.4388e-01	
             10	             10	              1	             10	 1	  8.4033e-01	
              0	              0	              2	             10	 1	  1.0000e+00	
              1	              0	              2	             10	 1	  9.9248e-01	
              2	              0	              2	             10	 1	  9.7981e-01	
              3	              0	              2	             10	 1	  9.6044e-01	
              4	              0	              2	             10	 1	  9.3265e-01	
              5	              0	              2	             10	 1	  8.9436e-01	
              6	              0	              2	             10	 1	  8.6826e-01	
              7	              0	              2	             10	 1	  8.4293e-01	
              8	              0	              2	             10	 1	  8.2060e-01	
              9	              0	              2	             10	 1	  8.0430e-01	
             10	              0	              2	             10	 1	  7.9809e-01	
              0	              1	              2	             10	 1	  1.0000e+00	
              1	              1	              2	             10	 1	  9.9245e-01	
              2	              1	              2	             10	 1	  9.7975e-01	
              3	              1	              2	             10	 1	  9.6039e-01	
              4	              1	              2	             10	 1	  9.3269e-01	
              5	              1	              2	             10	 1	  8.9460e-01	
              6	              1	              2	             10	 1	  8.6868e-01	
              7	              1	              2	             10	 1	  8.4355e-01	
              8	              1	              2	             10	 1	  8.2140e-01	
              9	              1	              2	             10	 1	  8.0524e-01	
             10	              1	              2	             10	 1	  7.9909e-01	
              0	              2	              2	             10	 1	  1.0000e+00	
              1	              2	              2	             10	 1	  9.9232e-01	
              2	              2	              2	             10	 1	  9.7949e-01	
              3	              2	              2	             10	 1	  9.6014e-01	
              4	              2	              2	             10	 1	  9.3272e-01	
              5	              2	              2	             10	 1	  8.9531e-01	
              6	              2	              2	             10	 1	  8.6995e-01	
              7	              2	              2	             10	 1	  8.4543e-01	
              8	              2	              2	             10	 1	  8.2387e-01	
              9	              2	              2	             10	 1	  8.0816e-01	
             10	              2	              2	             10	 1	  8.0219e-01	
              0	              3	              2	             10	 1	  1.0000e+00	
              1	              3	              2	             10	 1	  9.9196e-01	
              2	              3	              2	             10	 1	  9.7879e-01	
              3	              3	              2	             10	 1	  9.5940e-01	
              4	              3	              2	             10	 1	  9.3252e-01	
              5	              3	              2	             10	 1	  8.9646e-01	
              6	              3	              2	             10	 1	  8.7216e-01	
              7	              3	              2	             10	 1	  8.4873e-01	
              8	              3	              2	             10	 1	  8.2821e-01	
              9	              3	              2	             10	 1	  8.1331e-01	
             10	              3	              2	             10	 1	  8.0766e-01	
              0	              4	              2	             10	 1	  1.0000e+00	
              1	              4	              2	             10	 1	  9.9102e-01	
              2	              4	              2	             10	 1	  9.7706e-01	
              3	              4	              2	             10	 1	  9.5752e-01	
              4	              4	              2	             10	 1	  9.3165e-01	
              5	              4	              2	             10	 1	  8.9820e-01	
              6	              4	              2	             10	 1	  8.7552e-01	
              7	              4	              2	             10	 1	  8.5373e-01	
              8	              4	              2	             10	 1	  8.3480e-01	
              9	              4	              2	             10	 1	  8.2119e-01	
             10	              4	              2	             10	 1	  8.1605e-01	
              0	              5	              2	             10	 1	  1.0000e+00	
              1	              5	              2	             10	 1	  9.8855e-01	
              2	              5	              2	             10	 1	  9.7306e-01	
              3	              5	              2	             10	 1	  9.5336e-01	
              4	              5	              2	             10	 1	  9.2943e-01	
              5	              5	              2	             10	 1	  9.0146e-01	
              6	              5	              2	             10	 1	  8.8047e-01	
              7	              5	              2	             10	 1	  8.6085e-01	
              8	              5	              2	             10	 1	  8.4424e-01	
              9	              5	              2	             10	 1	  8.3261e-01	
             10	              5	              2	             10	 1	  8.2831e-01	
              0	              6	              2	             10	 1	  1.0000e+00	
              1	              6	              2	             10	 1	  9.8763e-01	
              2	              6	              2	             10	 1	  9.7169e-01	
              3	              6	              2	             10	 1	  9.5207e-01	
              4	              6	              2	             10	 1	  9.2899e-01	
              5	              6	              2	             10	 1	  9.0314e-01	
              6	              6	              2	             10	 1	  8.8300e-01	
              7	              6	              2	             10	 1	  8.6445e-01	
              8	              6	              2	             10	 1	  8.4896e-01	
              9	              6	              2	             10	 1	  8.3828e-01	
             10	              6	              2	             10	 1	  8.3438e-01	
              0	              7	              2	             10	 1	  1.0000e+00	
              1	              7	              2	             10	 1	  9.8723e-01	
              2	              7	              2	             10	 1	  9.7108e-01	
              3	              7	              2	             10	 1	  9.5157e-01	
              4	              7	              2	             10	 1	  9.2903e-01	
              5	              7	              2	             10	 1	  9.0422e-01	
              6	              7	              2	             10	 1	  8.8482e-01	
              7	              7	              2	             10	 1	  8.6704e-01	
              8	              7	              2	             10	 1	  8.5228e-01	
              9	              7	              2	             10	 1	  8.4217e-01	
             10	              7	              2	             10	 1	  8.3849e-01	
              0	              8	              2	             10	 1	  1.0000e+00	
              1	              8	              2	             10	 1	  9.8708e-01	
              2	              8	              2	             10	 1	  9.7084e-01	
              3	              8	              2	             10	 1	  9.5141e-01	
              4	              8	              2	             10	 1	  9.2921e-01	
              5	              8	              2	             10	 1	  9.0496e-01	
              6	              8	              2	             10	 1	  8.8605e-01	
              7	              8	              2	             10	 1	  8.6876e-01	
              8	              8	              2	             10	 1	  8.5446e-01	
              9	              8	              2	             10	 1	  8.4470e-01	
             10	              8	              2	             10	 1	  8.4116e-01	
              0	              9	              2	             10	 1	  1.0000e+00	
              1	              9	              2	             10	 1	  9.8702e-01	
              2	              9	              2	             10	 1	  9.7076e-01	
              3	              9	              2	             10	 1	  9.5139e-01	
              4	              9	              2	             10	 1	  9.2936e-01	
              5	              9	              2	             10	 1	  9.0540e-01	
              6	              9	              2	             10	 1	  8.8677e-01	
              7	              9	              2	             10	 1	  8.6976e-01	
              8	              9	              2	             10	 1	  8.5571e-01	
              9	              9	              2	             10	 1	  8.4614e-01	
             10	              9	              2	             10	 1	  8.4266e-01	
              0	             10	              2	             10	 1	  1.0000e+00	
              1	             10	              2	             10	 1	  9.8700e-01	
              2	             10	              2	             10	 1	  9.7074e-01	
              3	             10	              2	             10	 1	  9.5140e-01	
              4	             10	              2	             10	 1	  9.2942e-01	
              5	             10	              2	             10	 1	  9.0555e-01	
              6	             10	              2	             10	 1	  8.8700e-01	
              7	             10	              2	             10	 1	  8.7008e-01	
              8	             10	              2	             10	 1	  8.5612e-01	
              9	             10	              2	             10	 1	  8.4660e-01	
             10	             10	              2	             10	 1	  8.4315e-01	
              0	              0	              3	             10	 1	  1.0000e+00	
              1	              0	              3	             10	 1	  9.9203e-01	
              2	              0	              3	             10	 1	  9.7900e-01	
              3	              0	              3	             10	 1	  9.5981e-01	
              4	              0	              3	             10	 1	  9.3315e-01	
              5	              0	              3	             10	 1	  8.9728e-01	
              6	              0	              3	             10	 1	  8.7303e-01	
              7	              0	              3	             10	 1	  8.4962e-01	
              8	              0	              3	             10	 1	  8.2910e-01	
              9	              0	              3	             10	 1	  8.1419e-01	
             10	              0	              3	             10	 1	  8.0854e-01	
              0	              1	              3	             10	 1	  1.0000e+00	
              1	              1	              3	             10	 1	  9.9200e-01	
              2	              1	              3	             10	 1	  9.7895e-01	
              3	              1	              3	             10	 1	  9.5977e-01	
              4	              1	              3	             10	 1	  9.3319e-01	
              5	              1	              3	             10	 1	  8.9750e-01	
              6	              1	              3	             10	 1	  8.7340e-01	
              7	              1	              3	             10	 1	  8.5015e-01	
              8	              1	              3	             10	 1	  8.2979e-01	
              9	              1	              3	             10	 1	  8.1501e-01	
             10	              1	              3	             10	 1	  8.0940e-01	
              0	              2	              3	             10	 1	  1.0000e+00	
              1	              2	              3	             10	 1	  9.9190e-01	
              2	              2	              3	             10	 1	  9.7875e-01	
              3	              2	              3	             10	 1	  9.5958e-01	
              4	              2	              3	             10	 1	  9.3325e-01	
              5	              2	              3	             10	 1	  8.9813e-01	
              6	              2	              3	             10	 1	  8.7451e-01	
              7	              2	              3	             10	 1	  8.5178e-01	
              8	              2	              3	             10	 1	  8.3191e-01	
              9	              2	              3	             10	 1	  8.1751e-01	
             10	              2	              3	             10	 1	  8.1205e-01	
              0	              3	              3	             10	 1	  1.0000e+00	
              1	              3	              3	             10	 1	  9.9159e-01	
              2	              3	              3	             10	 1	  9.7816e-01	
              3	              3	              3	             10	 1	  9.5897e-01	
              4	              3	              3	             10	 1	  9.3312e-01	
              5	              3	              3	             10	 1	  8.9918e-01	
              6	              3	              3	             10	 1	  8.7645e-01	
              7	              3	              3	             10	 1	  8.5464e-01	
              8	              3	              3	             10	 1	  8.3564e-01	
              9	              3	              3	             10	 1	  8.2193e-01	
             10	              3	              3	             10	 1	  8.1673e-01	
              0	              4	              3	             10	 1	  1.0000e+00	
              1	              4	              3	             10	 1	  9.9074e-01	
              2	              4	              3	             10	 1	  9.7663e-01	
              3	              4	              3	             10	 1	  9.5735e-01	
              4	              4	              3	             10	 1	  9.3242e-01	
              5	              4	              3	             10	 1	  9.0077e-01	
              6	              4	              3	             10	 1	  8.7942e-01	
              7	              4	              3	             10	 1	  8.5900e-01	
              8	              4	              3	             10	 1	  8.4135e-01	
              9	              4	              3	             10	 1	  8.2872e-01	
             10	              4	              3	             10	 1	  8.2397e-01	
              0	              5	              3	             10	 1	  1.0000e+00	
              1	              5	              3	             10	 1	  9.8843e-01	
              2	              5	              3	             10	 1	  9.7297e-01	
              3	              5	              3	             10	 1	  9.5363e-01	
              4	              5	              3	             10	 1	  9.3051e-01	
              5	              5	              3	             10	 1	  9.0381e-01	
              6	              5	              3	             10	 1	  8.8387e-01	
              7	              5	              3	             10	 1	  8.6531e-01	
              8	              5	              3	             10	 1	  8.4967e-01	
              9	              5	              3	             10	 1	  8.3876e-01	
             10	              5	              3	             10	 1	  8.3474e-01	
              0	              6	              3	             10	 1	  1.0000e+00	
              1	              6	              3	             10	 1	  9.8756e-01	
              2	              6	              3	             10	 1	  9.7171e-01	
              3	              6	              3	             10	 1	  9.5248e-01	
              4	              6	              3	             10	 1	  9.3014e-01	
              5	              6	              3	             10	 1	  9.0538e-01	
              6	              6	              3	             10	 1	  8.8616e-01	
              7	              6	              3	             10	 1	  8.6852e-01	
              8	              6	              3	             10	 1	  8.5386e-01	
              9	              6	              3	             10	 1	  8.4378e-01	
             10	              6	              3	             10	 1	  8.4011e-01	
              0	              7	              3	             10	 1	  1.0000e+00	
              1	              7	              3	             10	 1	  9.8721e-01	
              2	              7	              3	             10	 1	  9.7117e-01	
              3	              7	              3	             10	 1	  9.5204e-01	
              4	              7	              3	             10	 1	  9.3021e-01	
              5	              7	              3	             10	 1	  9.0637e-01	
              6	              7	              3	             10	 1	  8.8779e-01	
              7	              7	              3	             10	 1	  8.7082e-01	
              8	              7	              3	             10	 1	  8.5679e-01	
              9	              7	              3	             10	 1	  8.4721e-01	
             10	              7	              3	             10	 1	  8.4373e-01	
              0	              8	              3	             10	 1	  1.0000e+00	
              1	              8	              3	             10	 1	  9.8707e-01	
              2	              8	              3	             10	 1	  9.7097e-01	
              3	              8	              3	             10	 1	  9.5193e-01	
              4	              8	              3	             10	 1	  9.3039e-01	
              5	              8	              3	             10	 1	  9.0705e-01	
              6	              8	              3	             10	 1	  8.8890e-01	
              7	              8	              3	             10	 1	  8.7236e-01	
              8	              8	              3	             10	 1	  8.5872e-01	
              9	              8	              3	             10	 1	  8.4945e-01	
             10	              8	              3	             10	 1	  8.4608e-01	
              0	              9	              3	             10	 1	  1.0000e+00	
              1	              9	              3	             10	 1	  9.8702e-01	
              2	              9	              3	             10	 1	  9.7091e-01	
              3	              9	              3	             10	 1	  9.5193e-01	
              4	              9	              3	             10	 1	  9.3054e-01	
