              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
             20	           -4.5	             -5	            400	 1	   6.7074202741e-14	   4.2395606658e-11	   3.5615988458e-10	   4.6966718101e-10	
             24	           -4.5	             -5	            400	 1	   1.7128314039e-13	   1.5078026857e-10	   1.7611446738e-09	   3.4407053893e-09	
             28	           -4.5	             -5	            400	 1	   3.1303043550e-13	   4.0071115889e-10	   5.9364568421e-09	   1.4592374600e-08	
             32	           -4.5	             -5	            400	 1	   4.7866563757e-13	   8.7487929396e-10	   1.5767212231e-08	   4.5784977921e-08	
             36	           -4.5	             -5	            400	 1	   6.4312641132e-13	   1.6496209701e-09	   3.5244488086e-08	   1.1659472923e-07	
             40	           -4.5	             -5	            400	 1	   7.7925296713e-13	   2.7684079424e-09	   6.8752518009e-08	   2.5267494659e-07	
             44	           -4.5	             -5	            400	 1	   8.6644433598e-13	   4.2170098640e-09	   1.1968906342e-07	   4.7942610692e-07	
             48	           -4.5	             -5	            400	 1	   8.9547249584e-13	   5.9089459031e-09	   1.8874437027e-07	   8.1169770254e-07	
             52	           -4.5	             -5	            400	 1	   8.6878012940e-13	   7.6882471985e-09	   2.7250511323e-07	   1.2430911731e-06	
             56	           -4.5	             -5	            400	 1	   7.9747185355e-13	   9.3521284212e-09	   3.6311926315e-07	   1.7400014135e-06	
             60	           -4.5	             -5	            400	 1	   6.9694904044e-13	   1.0689679562e-08	   4.4942985992e-07	   2.2444013182e-06	
             64	           -4.5	             -5	            400	 1	   5.8287348155e-13	   1.1526455300e-08	   5.1937890552e-07	   2.6857746857e-06	
             68	           -4.5	             -5	            400	 1	   4.6839904741e-13	   1.1761832329e-08	   5.6290957389e-07	   2.9984272847e-06	
             72	           -4.5	             -5	            400	 1	   3.6287044544e-13	   1.1388015480e-08	   5.7436374069e-07	   3.1379558232e-06	
             76	           -4.5	             -5	            400	 1	   2.7171086505e-13	   1.0485918354e-08	   5.5359253056e-07	   3.0911561027e-06	
             80	           -4.5	             -5	            400	 1	   1.9704122802e-13	   9.2009769288e-09	   5.0553162250e-07	   2.8766134660e-06	
