x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.25	1	-99999	1.26681e-005	0.233624	4.46687e-013	0.1559	0	4.25511e-012	1.04666e-013	0.665339	5.66483e-014	4.22596e-006	4.47313e-012	0.268259	0.467887	2.69674e-009	0.266057	1.26681e-005	-3.37594	1.26806e-005	1.62382	0	1	1.22922	0	0	0	0.25	0.25	14	19.3868	0.630197	1.65109	2.45186	-0.207912	1.49548	1.14613e-005	1.14702e-005	1.37217	
0.825	1	-99999	7.75231e-006	0.232871	3.78966e-013	0.158265	0	4.26887e-012	8.85119e-014	0.677615	5.09339e-014	2.58612e-006	2.64476e-012	0.283691	0.463874	2.24642e-009	0.268063	7.75231e-006	-3.51845	7.76063e-006	1.67133	0	1	1.36349	0	0	0	0.25	0.25	15	19.3872	0.631599	1.74478	2.49799	-0.207912	1.49551	7.0138e-006	7.01929e-006	1.41828	
0.269386	0.35	-99999	3.11287e-006	0.232268	2.79302e-013	0.1604	0	4.27994e-012	6.50653e-014	0.688537	3.94856e-014	1.03845e-006	1.0317e-012	0.297499	0.460452	1.63069e-009	0.269774	3.11287e-006	-3.64558	3.11699e-006	1.71371	0	1	1.48236	0	0	0	0.25	0.25	16	19.3876	0.632724	1.15763	2.53921	-0.207913	1.49554	2.81633e-006	2.81856e-006	1.45949	
1.1	0.4	1	1.58415e-005	0.234153	4.81344e-013	0.154404	0	4.2455e-012	1.13042e-013	0.657465	5.87687e-014	5.28476e-006	5.72525e-012	0.258415	1.84661	1.15471e-008	4.07669	1.58415e-005	-14.7207	1.58659e-005	5.4054	0	10	1.08336	0	0	0	3.75	0.375	17	19.3867	0.629215	1.56069	2.42238	-0.207912	1.49546	1.43324e-005	1.43438e-005	1.3427	
1	0.45	1	1.43472e-005	0.233944	4.65683e-013	0.154979	0	4.24928e-012	1.09267e-013	0.660505	5.77003e-014	4.78625e-006	5.13836e-012	0.26221	1.84131	1.11096e-008	4.07934	1.43472e-005	-14.7622	1.43699e-005	5.41925	0	10	1.1176	0	0	0	4	0.4	18	19.3867	0.629602	1.54307	2.43374	-0.207912	1.49547	1.29804e-005	1.29907e-005	1.35405	
1.0375	1	-99999	1.06866e-005	0.233321	4.21972e-013	0.156814	0	4.26063e-012	9.8747e-014	0.670106	5.47434e-014	3.56496e-006	3.72245e-012	0.274239	0.466307	2.52908e-009	0.266847	1.06866e-005	-3.43122	1.06974e-005	1.64225	0	1	1.28019	0	0	0	0.25	0.25	19	19.387	0.630759	1.66773	2.46975	-0.207912	1.4955	9.66853e-006	9.67609e-006	1.39005	
0.35	0.730614	-99999	3.74048e-006	0.232376	2.96998e-013	0.159999	0	4.27795e-012	6.92201e-014	0.6865	4.15965e-014	1.24782e-006	1.24627e-012	0.294918	0.46108	1.7388e-009	0.26946	3.74048e-006	-3.62184	3.74519e-006	1.7058	0	1	1.46146	0	0	0	0.25	0.25	20	19.3876	0.632522	1.68398	2.53151	-0.207913	1.49554	3.38415e-006	3.38682e-006	1.45179	
1	0.225	1	1.76707e-005	0.234439	4.99209e-013	0.153645	0	4.24032e-012	1.17381e-013	0.653435	5.97631e-014	5.89502e-006	6.46507e-012	0.253396	1.85374	1.2066e-008	4.07313	1.76707e-005	-14.6655	1.76971e-005	5.38701	0	10	1.01946	0	0	0	3.75	0.375	21	19.3867	0.628685	1.51149	2.40734	-0.207912	1.49545	1.59873e-005	1.60001e-005	1.32767	
1.1	0.2	1	1.85132e-005	0.234551	5.07015e-013	0.153355	0	4.23829e-012	1.19274e-013	0.651888	6.02386e-014	6.17608e-006	6.80569e-012	0.251472	1.85652	1.22907e-008	4.07174	1.85132e-005	-14.6443	1.85405e-005	5.37993	0	10	1.00308	0	0	0	3.75	0.375	22	19.3866	0.628476	1.52793	2.40158	-0.207912	1.49545	1.67496e-005	1.6763e-005	1.32191	
1.1	0.65	1	1.34346e-005	0.23377	4.5556e-013	0.155473	0	4.25244e-012	1.06812e-013	0.663101	5.71568e-014	4.48179e-006	4.77488e-012	0.265457	1.83684	1.08176e-008	4.08158	1.34346e-005	-14.7977	1.34562e-005	5.43107	0	10	1.15723	0	0	0	3.92857	0.392857	23	19.3868	0.629925	1.59977	2.44346	-0.207912	1.49548	1.21548e-005	1.21643e-005	1.36377	
