x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	3.11702e-006	0.232495	2.79553e-013	0.15957	0	4.27576e-012	6.51875e-014	0.684305	3.87589e-014	1.03992e-006	1.04464e-012	0.292135	0.461763	1.64161e-009	0.269119	3.11702e-006	-3.59624	3.12142e-006	1.69727	0	1	1.44737	0	0	0	0.25	0.25	0	19.3875	0.6323	1.08987	2.52363	-0.207912	1.49554	2.8219e-006	2.82439e-006	1.44391	
2.1	0	-99999	1.92427e-005	0.235585	5.13342e-013	0.150902	0	4.21968e-012	1.21294e-013	0.638647	5.70971e-014	6.41964e-006	7.38135e-012	0.235073	0.477297	3.24179e-009	0.261352	1.92427e-005	-3.06767	1.92622e-005	1.52105	0	1	1.01994	0	0	0	0.25	0.25	1	19.3867	0.626566	1.61491	2.35278	-0.207912	1.49544	1.74208e-005	1.74356e-005	1.27311	
2.1	1	-99999	1.82008e-005	0.235403	5.03969e-013	0.151311	0	4.22295e-012	1.18988e-013	0.640872	5.66862e-014	6.07201e-006	6.93053e-012	0.237815	0.476474	3.16974e-009	0.261763	1.82008e-005	-3.09325	1.82192e-005	1.52958	0	1	1.05545	0	0	0	0.25	0.25	2	19.3867	0.626902	1.64172	2.36102	-0.207912	1.49545	1.64776e-005	1.64915e-005	1.28135	
0	1	-99999	1.98254e-006	0.232861	2.40551e-013	0.158306	0	4.26905e-012	5.6181e-014	0.677821	3.23613e-014	6.61464e-007	6.76114e-013	0.283935	0.463811	1.42555e-009	0.268094	1.98254e-006	-3.52072	1.98582e-006	1.67209	0	1	1.4024	0	0	0	0.25	0.25	3	19.3872	0.631617	1.77874	2.49923	-0.207912	1.49555	1.79484e-006	1.7965e-006	1.4195	
1	0	1	2.08651e-005	0.235898	5.27249e-013	0.150225	0	4.21409e-012	1.24746e-013	0.634938	5.75517e-014	6.96127e-006	8.10444e-012	0.230509	1.88825	1.32249e-008	4.05588	2.08651e-005	-14.4107	2.08971e-005	5.30206	0	10	0.864444	0	0	0	3.75	0.375	4	19.3867	0.62599	1.48456	2.33907	-0.207912	1.49543	1.88896e-005	1.89064e-005	1.2594	
1.1	0	1	2.11087e-005	0.235947	5.29268e-013	0.150122	0	4.21322e-012	1.2525e-013	0.634371	5.76056e-014	7.04255e-006	8.21487e-012	0.229812	1.88935	1.32915e-008	4.05532	2.11087e-005	-14.4029	2.1141e-005	5.29945	0	10	0.861656	0	0	0	3.75	0.375	5	19.3868	0.6259	1.4938	2.33697	-0.207912	1.49543	1.91102e-005	1.91272e-005	1.25731	
1	0.9	1	1.0716e-005	0.233838	4.22508e-013	0.155284	0	4.25122e-012	9.90912e-014	0.662105	5.27561e-014	3.57513e-006	3.82016e-012	0.264202	1.83856	1.00508e-008	4.08072	1.0716e-005	-14.784	1.07354e-005	5.42652	0	10	1.2212	0	0	0	3.21429	0.321429	6	19.3868	0.629799	1.62486	2.44014	-0.207912	1.4955	9.7014e-006	9.70973e-006	1.36044	
1.1	0.9	1	1.1217e-005	0.233933	4.29007e-013	0.155014	0	4.24948e-012	1.00657e-013	0.66068	5.32008e-014	3.74228e-006	4.0156e-012	0.262421	1.84102	1.02316e-008	4.07949	1.1217e-005	-14.7646	1.12371e-005	5.42003	0	10	1.2074	0	0	0	2.91667	0.291667	7	19.3867	0.629622	1.63029	2.4348	-0.207912	1.49549	1.0155e-005	1.01637e-005	1.35511	
0	0.298	-99999	6.61352e-008	0.231802	7.7279e-014	0.162229	0	4.28855e-012	1.79666e-014	0.697793	1.13945e-014	2.20692e-008	2.14186e-014	0.309256	0.457653	4.45753e-010	0.271174	6.61352e-008	-3.75356	6.66536e-008	1.74971	0	1	1.58359	0	0	0	0.25	0.25	8	19.3881	0.633597	1.00212	2.57427	-0.207913	1.49556	5.98736e-008	5.99262e-008	1.49454	
0	0.402	-99999	4.33153e-008	0.231798	6.71126e-014	0.162244	0	4.28862e-012	1.56027e-014	0.697867	9.89881e-015	1.44553e-008	1.40265e-014	0.309351	0.457631	3.87075e-010	0.271185	4.33153e-008	-3.75443	4.3753e-008	1.75	0	1	1.58433	0	0	0	0.25	0.25	9	19.3881	0.633603	1.00508	2.57455	-0.207913	1.49556	3.92143e-008	3.92484e-008	1.49482	
0.298	1	-99999	3.87574e-008	0.231799	6.46714e-014	0.162243	0	4.28861e-012	1.50352e-014	0.697863	9.53857e-015	1.29345e-008	1.25511e-014	0.309345	0.457632	3.72998e-010	0.271184	3.87574e-008	-3.75438	3.91767e-008	1.74998	0	1	1.58429	0	0	0	0.25	0.25	10	19.3881	0.633603	1.99633	2.57454	-0.207913	1.49556	3.50879e-008	3.51186e-008	1.4948	
