x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.269386	0.35	-99999	8.93417e-005	0.235956	8.56313e-013	0.150021	0	4.21305e-012	2.02652e-013	0.63392	9.29988e-014	2.9811e-005	3.48051e-011	0.229431	0.479031	5.45298e-009	0.260485	8.93417e-005	-3.01474	8.94387e-005	1.50332	0	1	0.387594	0	0	0	0.25	0.25	16	1	2.33553	-0.207912	1.49505	7.40502e-005	7.41264e-005	1.25609	
1.1	0.4	1	0.299075	0.000676977	0.189363	1.5287e-022	0	1.46843e-009	0.000128575	2.25144e-019	0	0.022259	0.0142252	5.18858e-023	9.99941	0.000594478	4.89718e-012	0.299075	0.233877	0.299539	0.022259	0	10	0	0	0	0	3.75	0.375	17	1.00714	-0.0947136	-0.207913	-0.597916	0.299069	0.298939	0.022213	
1	0.45	1	0.299113	0.00068817	0.194515	9.8702e-023	0	1.44455e-009	0.000134256	1.43003e-019	0	0.016633	0.0181655	1.89707e-023	9.99936	0.000641441	3.0101e-012	0.299113	0.250934	0.299686	0.016633	0	10	0	0	0	0	4	0.4	18	1.00092	-0.100321	-0.207913	-0.598225	0.299113	0.299045	0.0165957	
1.0375	1	-99999	0	0.236542	1.37553e-015	0.149808	0	4.20261e-012	3.26335e-016	0.631453	1.47284e-016	1.24618e-013	1.47886e-019	0.224285	0.480491	8.85166e-012	0.25976	0	-2.96847	9.22736e-012	1.48959	0	1.00001	0.36685	0	0	0	0.25	0.249997	19	2.0023	2.3258	-0.207564	1.50023	-0.000665725	-0.000666253	1.24269	
0.35	0.730614	-99999	0.163124	0.190213	2.5059e-011	0.0258649	0	5.22621e-012	4.78069e-012	0.135576	3.30252e-014	0.0543958	1.01095e-007	0.0382377	0.667303	1.16454e-007	0.166352	0.163124	-0.532737	0.163188	0.458665	0	1.00001	0	0	0	0	0.25	0.249998	20	1.95163	0.75272	-0.2084	0.377187	0.159766	0.15983	0.31285	
1	0.225	1	0.299113	4.27342e-005	0.131392	7.23813e-017	0	2.32623e-008	5.6316e-006	1.68875e-012	1.48956e-033	0.0559038	4.7742e-015	0.0461363	9.98163	1.03572e-007	0.00918543	0.299113	-0.172983	0.299109	0.157362	0	10	0	0	0	0	3.75	0.375	21	1.00028	0.0313288	-0.207925	-0.598225	0.299113	0.299109	0.148079	
1.1	0.2	1	0.299113	0.0247482	5.30121e-009	1.74734e-005	0	4.01683e-011	1.31585e-010	0.00070396	7.51705e-018	0.099697	1.33045e-009	0.21252	4.77488	3.88252e-007	2.61257	0.299113	-9.11503	0.299091	3.13803	0	10	0	0	0	0	3.75	0.375	22	1.00164	0.405988	-0.207913	-0.598227	0.299113	0.299091	0.522769	
1.1	0.65	1	0.296754	0.000712739	0.201751	1.31034e-023	0	1.39475e-009	0.000144222	1.83302e-020	0	0.00283499	0.028786	2.52534e-025	9.99926	0.000739126	3.59687e-013	0.296754	0.302275	0.297497	0.00283499	0	10	0	0	0	0	3.92857	0.392857	23	1.01383	-0.102188	-0.207913	-0.578381	0.296278	0.296284	0.00316867	
1	0.675	1	0.299112	0.000704556	0.206503	1.49587e-023	0	1.41095e-009	0.000145925	2.11686e-020	0	0.00331391	0.0275023	3.60962e-025	9.99927	0.00073078	4.25091e-013	0.299112	0.291322	0.299829	0.00331391	0	10	0	0	0	0	3.75	0.375	24	1.00108	-0.113449	-0.207913	-0.598222	0.299112	0.299098	0.00330713	
1.6	0	-99999	0.299113	0.000144447	0.00484795	1.93666e-014	0	6.88208e-009	7.02348e-007	1.33677e-010	8.06483e-030	0.098076	4.66865e-014	0.193836	0.998726	1.47664e-008	0.000637115	0.299113	-1.16015	0.299077	0.486385	0	1	0	0	0	0	0.25	0.25	25	1.00522	0.368753	-0.207892	-0.598225	0.299113	0.299077	0.485534	
