x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.825	1	-99999	0.240642	0.0266595	4.17808e-009	2.13262e-005	0	3.72886e-011	1.11716e-010	0.000797583	7.99879e-018	0.080214	1.37049e-009	0.174587	0.841536	6.74135e-008	0.0792322	0.240642	-1.28768	0.240642	0.50944	0	1	0	0	0	0	0.25	0.25	15	18.3871	1.57286	1.43776	0.25386	-0.207913	-0.482449	0.241224	0.241224	0.428464	
0.269386	0.35	-99999	0.275779	6.03797e-005	0.0488434	4.78399e-016	0	1.64641e-008	2.9579e-006	7.89975e-012	4.01168e-032	0.0756441	7.77608e-015	0.126897	0.999568	1.08752e-008	0.000215844	0.275779	-0.713181	0.275779	0.329653	0	1	0	0	0	0	0.25	0.25	16	15.7446	4.21782	1.03746	0.188284	-0.207913	-0.552037	0.276018	0.276018	0.328093	
1.1	0.4	1	0.178329	0.10727	8.73117e-011	0.00660639	0	9.26721e-012	9.39371e-012	0.0614044	1.89568e-014	0.0594428	1.39135e-008	0.243835	2.63154	2.86988e-007	3.68423	0.178329	-12.7197	0.178329	4.29935	0	10	4.35624	0	0	0	3.75	0.375	17	18.9995	0.968235	0.930572	0.378509	-0.207913	-0.35906	0.17953	0.179529	0.614808	
1	0.45	1	0.189855	0.104937	9.44079e-011	0.00607526	0	9.4733e-012	9.93622e-012	0.0577235	1.74065e-014	0.0632849	1.41164e-008	0.245875	2.65151	2.92702e-007	3.67425	0.189855	-12.6894	0.189855	4.29308	0	10	4.36006	0	0	0	4	0.4	18	18.99	0.977787	0.972912	0.393878	-0.207913	-0.381895	0.190947	0.190947	0.618759	
1.0375	1	-99999	0.219494	0.0973466	1.20869e-010	0.0045193	0	1.02119e-011	1.18011e-011	0.0462875	1.23868e-014	0.0731647	1.39825e-008	0.24807	0.62254	7.02407e-008	0.18873	0.219494	-2.20703	0.219494	0.808841	0	1	2.32747	0	0	0	0.25	0.25	19	18.9572	1.01039	1.25422	0.348488	-0.207913	-0.440572	0.220286	0.220286	0.54403	
0.35	0.730614	-99999	0.271118	0.019369	1.00418e-008	6.21111e-006	0	5.13241e-011	1.95077e-010	0.000319725	1.70455e-018	0.0903726	7.79716e-010	0.190759	0.871063	6.43171e-008	0.0644684	0.271118	-1.33894	0.271118	0.536685	0	1	0	0	0	0	0.25	0.25	20	18.2497	1.71161	1.54126	0.321877	-0.207913	-0.54281	0.271405	0.271405	0.466299	
1	0.225	1	0.163323	0.111206	7.69892e-011	0.00764035	0	8.93919e-012	8.58709e-012	0.068501	2.23853e-014	0.0544408	1.36779e-008	0.244447	2.59017	2.77519e-007	3.70491	0.163323	-12.8099	0.163323	4.32439	0	10	4.26939	0	0	0	3.75	0.375	21	19.0154	0.952584	0.806649	0.36797	-0.207913	-0.329343	0.164671	0.164671	0.619127	
1.1	0.2	1	0.156933	0.112383	7.39298e-011	0.00794943	0	8.84563e-012	8.33306e-012	0.0705263	2.32138e-014	0.052311	1.34549e-008	0.243265	2.58126	2.74089e-007	3.70937	0.156933	-12.8231	0.156933	4.32669	0	10	4.28611	0	0	0	3.75	0.375	22	19.02	0.948015	0.788832	0.35941	-0.207913	-0.316679	0.158339	0.158339	0.6169	
1.1	0.65	1	0.197746	0.101763	1.04064e-010	0.00534222	0	9.76874e-012	1.06213e-011	0.0523415	1.47511e-014	0.0659153	1.39069e-008	0.243067	2.6927	2.98814e-007	3.65365	0.197746	-12.5924	0.197746	4.26338	0	10	4.51062	0	0	0	3.92857	0.392857	23	18.9762	0.991125	1.07374	0.392814	-0.207913	-0.397509	0.198754	0.198754	0.609888	
1	0.675	1	0.207622	0.100175	1.10053e-010	0.00505021	0	9.92358e-012	1.10572e-011	0.0502648	1.40347e-014	0.0692073	1.4055e-008	0.246343	2.70298	3.02599e-007	3.64851	0.207622	-12.5895	0.207622	4.26572	0	10	4.51127	0	0	0	3.75	0.375	24	18.9696	0.997954	1.10341	0.408583	-0.207913	-0.417074	0.208537	0.208537	0.615874	
1.6	0	-99999	0.14776	0.113028	7.16188e-011	0.00804644	0	8.79509e-012	8.11896e-012	0.0709791	2.2793e-014	0.0492534	1.29535e-008	0.238071	0.600508	6.28424e-008	0.199746	0.14776	-2.26474	0.14776	0.804166	0	1	5.02998	0	0	0	0.25	0.25	25	19.022	0.945527	0.813101	0.337833	-0.207913	-0.298482	0.14924	0.14924	0.604422	
1.43	0.3	-99999	0.167146	0.108422	8.33499e-011	0.00682013	0	9.16878e-012	9.06374e-012	0.0627177	1.90779e-014	0.0557153	1.34682e-008	0.23859	0.607451	6.52994e-008	0.196275	0.167146	-2.22898	0.167146	0.798708	0	1	5.02586	0	0	0	0.25	0.25	26	19.0037	0.963598	0.930183	0.355265	-0.207913	-0.336888	0.168443	0.168443	0.602651	
1.77246	0.3	-99999	0.164361	0.108827	8.21183e-011	0.00690896	0	9.13466e-012	8.96317e-012	0.0632981	1.92508e-014	0.054787	1.33693e-008	0.23765	0.607151	6.50261e-008	0.196425	0.164361	-2.22579	0.164361	0.796718	0	1	5.02797	0	0	0	0.25	0.25	27	19.0053	0.961978	0.924926	0.350274	-0.207913	-0.331372	0.165685	0.165685	0.600418	
0.643247	0.3375	-99999	0.241991	0.0965233	1.26505e-010	0.00449596	0	1.0299e-011	1.22469e-011	0.0464412	1.32056e-014	0.0806638	1.47259e-008	0.262775	0.619075	7.12677e-008	0.190463	0.241991	-2.30085	0.241992	0.847613	0	1	4.63101	0	0	0	0.25	0.25	28	18.9547	1.01408	1.04648	0.465836	-0.207913	-0.485153	0.242576	0.242576	0.639087	
