x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0.273965	0.171345	1.25343e-011	0.0480804	0.248963	5.8017e-012	2.15405e-012	0.279776	1.61149e-013	0.0083321	4.45093e-009	0.304759	0.508563	3.24492e-008	0.245719	0.273965	-3.25033	0.0249964	1.19142	0.248963	1	5.25017	99.8965	0	0	0.25	0.25	0	19.2253	0.764842	0.962386	0.840613	-0.207912	-7.06249e-006	0.274238	0.0238557	0.934503	0.250377	
2.1	0	-99999	0.149182	0.215007	5.84553e-012	0.292418	0.110951	4.62355e-012	1.26056e-012	1.35602	6.81932e-012	0.0127434	4.36945e-009	1.83395	0.336746	1.97983e-008	0.331627	0.149182	-16.7565	0.0382304	5.66071	0.110951	1	5.67585	99.9749	0	0	0.25	0.25	1	19.4914	0.666262	0.834742	5.08865	-0.207908	-4.35965e-005	0.150656	0.0382682	5.27732	0.112387	
2.1	1	-99999	0.154627	0.213176	6.07543e-012	0.274637	0.11567	4.66326e-012	1.29898e-012	1.2845	6.07598e-012	0.0129851	4.50346e-009	1.73225	0.34175	2.03538e-008	0.329125	0.154627	-15.8648	0.0389554	5.36575	0.11567	1	5.64259	99.9732	0	0	0.25	0.25	2	19.4763	0.669976	0.886232	4.80774	-0.207909	-4.25778e-005	0.156055	0.0389509	4.98965	0.117103	
0	1	-99999	0.279335	0.166069	1.77902e-011	0.03643	0.231542	5.98603e-012	2.96316e-012	0.218718	1.12751e-013	0.015928	9.30815e-009	0.224702	0.539588	4.44892e-008	0.230206	0.279335	-2.47717	0.0477839	0.950685	0.231542	1	5.33885	99.924	0	0	0.25	0.25	3	19.2029	0.778425	1.6813	0.6659	-0.207912	-5.86706e-006	0.279695	0.0467659	0.708514	0.23292	
1	0	1	0.137223	0.219584	5.36388e-012	0.341024	0.0997456	4.52716e-012	1.18132e-012	1.54845	9.1231e-012	0.012492	4.16762e-009	2.10744	1.17402	6.74693e-008	4.41299	0.137223	-31.3774	0.0374761	10.5298	0.0997456	10	5.88017	99.9797	0	0	3.75	0.375	4	19.5313	0.657112	0.659748	5.84608	-0.207908	-4.51241e-005	0.138823	0.0376214	6.04788	0.1012	
1.1	0	1	0.135878	0.219809	5.33999e-012	0.343634	0.0984638	4.52254e-012	1.17726e-012	1.55871	9.25462e-012	0.012471	4.15442e-009	2.12238	1.17152	6.72313e-008	4.41424	0.135878	-31.5108	0.0374131	10.5738	0.0984638	10	5.88185	99.9803	0	0	3.75	0.375	5	19.5334	0.656668	0.659792	5.88711	-0.207908	-4.55445e-005	0.13749	0.0375696	6.09035	0.0999189	
1	0.9	1	0.214683	0.198025	7.593e-012	0.157319	0.182243	5.02004e-012	1.50807e-012	0.792088	1.91684e-012	0.010812	4.20613e-009	1.02516	1.45645	8.68994e-008	4.27177	0.214683	-21.5674	0.0324362	7.28231	0.182243	10	5.49948	99.9353	0	0	3.21429	0.321429	6	19.3667	0.701993	1.18503	2.84258	-0.20791	-2.4537e-005	0.215529	0.031862	2.97918	0.183663	
1.1	0.9	1	0.211079	0.199176	7.46262e-012	0.164446	0.178131	4.99103e-012	1.49078e-012	0.823189	2.10245e-012	0.0109812	4.23136e-009	1.06941	1.43849	8.58328e-008	4.28076	0.211079	-21.9777	0.0329436	7.4182	0.178131	10	5.51211	99.9378	0	0	2.91667	0.291667	7	19.3741	0.699477	1.16963	2.96583	-0.20791	-2.55909e-005	0.211959	0.0324042	3.10491	0.179551	
0	0.298	-99999	0.29861	0.236703	5.758e-010	3.076e-007	0.209988	4.19976e-012	1.36698e-010	1.29568e-006	5.32271e-028	0.0188199	0.0109214	9.40471e-013	0.999987	7.72716e-006	2.30549e-006	0.29861	0.557974	0.0892316	0.0188238	0.209988	1	0	93.8676	0	0.137168	0.25	0.25	8	19.3298	0.624511	0.999439	-0.0977583	-0.207892	-1.40643e-007	0.298616	0.000403328	0.0186051	0.298212	
0	0.402	-99999	0.298783	0.227906	7.21727e-010	1.18496e-007	0.218094	4.36187e-012	1.64973e-010	5.18399e-007	4.43795e-029	0.01227	0.0147266	1.88959e-013	0.999989	8.64525e-006	9.95013e-007	0.298783	0.544251	0.0809985	0.0122717	0.218094	1	0	93.8194	0	0.120333	0.25	0.25	9	19.3131	0.640959	1.00332	-0.10414	-0.207892	-9.47002e-008	0.298787	0.000355802	0.0121481	0.29843	
0.298	1	-99999	0.29882	0.226557	7.45884e-010	1.00727e-007	0.219392	4.38783e-012	1.69487e-010	4.43285e-007	2.88479e-029	0.0112428	0.0153188	1.43175e-013	0.999989	8.77697e-006	8.60997e-007	0.29882	0.542127	0.0796937	0.0112442	0.219392	1	0	93.9648	0	0.117736	0.25	0.25	10	19.3104	0.643536	1.99492	-0.105004	-0.207892	-8.42578e-008	0.298824	0.000404298	0.0111497	0.298419	
0.402	1	-99999	0.298263	0.253021	3.28986e-010	2.03253e-006	0.196445	3.9289e-012	8.34872e-011	8.00928e-006	6.72008e-026	0.0302829	0.00396763	2.40889e-011	0.999969	5.39235e-006	1.24721e-005	0.298263	0.582296	0.102757	0.0303054	0.196445	1	0	94.8153	0	0.168996	0.25	0.25	11	19.3593	0.595557	1.99169	-0.0868156	-0.207892	-2.46086e-007	0.298272	0.000362464	0.0299735	0.297909	
