              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	                vol	                sat	                 pv	                por	      trans_cell_no	                 vx	                 vy	                 vz	
          45000	              0	              0	         500000	 1	   8.3957258525e+00	   2.7487147444e+00	   1.1868945258e+00	   1.9465728120e+02	   4.7402507224e+00	   4.9845368526e+02	   2.2566960942e+01	   3.9790516486e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   1.6000000000e+01	  -1.1324845987e-01	   0.0000000000e+00	   0.0000000000e+00	
          48000	              0	              0	         500000	 1	   8.4036288001e+00	   2.7029308682e+00	   1.1664192559e+00	   1.9490795815e+02	   4.7401880333e+00	   4.9866510939e+02	   2.2566961318e+01	   4.1151549475e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   1.7000000000e+01	  -3.1315758522e-03	   0.0000000000e+00	   0.0000000000e+00	
          51000	              0	              0	         500000	 1	   8.3926212385e+00	   2.7669445275e+00	   1.1950472536e+00	   1.9455672108e+02	   4.7401633202e+00	   4.9836860761e+02	   2.2566960587e+01	   3.9267437480e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   1.8000000000e+01	   6.8361378308e-02	   0.0000000000e+00	   0.0000000000e+00	
          54000	              0	              0	         500000	 1	   8.3803294616e+00	   2.8404259658e+00	   1.2279094815e+00	   1.9416334296e+02	   4.7401576011e+00	   4.9804123917e+02	   2.2566959793e+01	   3.7264838490e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   1.9000000000e+01	   1.2535908943e-01	   0.0000000000e+00	   0.0000000000e+00	
          57000	              0	              0	         500000	 1	   8.3705563873e+00	   2.9003979041e+00	   1.2547300875e+00	   1.9384924661e+02	   4.7401560755e+00	   4.9778328358e+02	   2.2566959152e+01	   3.5745304585e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.0000000000e+01	   1.7576417486e-01	   0.0000000000e+00	   0.0000000000e+00	
          60000	              0	              0	         500000	 1	   8.3632310519e+00	   2.9462701064e+00	   1.2752450634e+00	   1.9361291698e+02	   4.7401555278e+00	   4.9759117385e+02	   2.2566958665e+01	   3.4646867838e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.1000000000e+01	   2.2043519361e-01	   0.0000000000e+00	   0.0000000000e+00	
          63000	              0	              0	         500000	 1	   8.3578516302e+00	   2.9804683822e+00	   1.2905392477e+00	   1.9343882961e+02	   4.7401552527e+00	   4.9745073743e+02	   2.2566958302e+01	   3.3861594382e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.2000000000e+01	   2.5754457386e-01	   0.0000000000e+00	   0.0000000000e+00	
          66000	              0	              0	         500000	 1	   8.3539673906e+00	   3.0054344326e+00	   1.3017046005e+00	   1.9331283373e+02	   4.7401550766e+00	   4.9734966496e+02	   2.2566958038e+01	   3.3305513039e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.3000000000e+01	   2.8460295339e-01	   0.0000000000e+00	   0.0000000000e+00	
          69000	              0	              0	         500000	 1	   8.3512885309e+00	   3.0227875492e+00	   1.3094652924e+00	   1.9322579174e+02	   4.7401549484e+00	   4.9728012053e+02	   2.2566957855e+01	   3.2927169696e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.4000000000e+01	   2.9927605395e-01	   0.0000000000e+00	   0.0000000000e+00	
          72000	              0	              0	         500000	 1	   8.3497007332e+00	   3.0331252087e+00	   1.3140885212e+00	   1.9317414588e+02	   4.7401548508e+00	   4.9723896594e+02	   2.2566957746e+01	   3.2704766057e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.5000000000e+01	   2.9968133550e-01	   0.0000000000e+00	   0.0000000000e+00	
          75000	              0	              0	         500000	 1	   8.3492644414e+00	   3.0359725985e+00	   1.3153619368e+00	   1.9315994835e+02	   4.7401547799e+00	   4.9722766719e+02	   2.2566957716e+01	   3.2643620388e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.6000000000e+01	   2.8454768682e-01	   0.0000000000e+00	   0.0000000000e+00	
          78000	              0	              0	         500000	 1	   8.3502496469e+00	   3.0295470320e+00	   1.3124882820e+00	   1.9319199651e+02	   4.7401547395e+00	   4.9725317701e+02	   2.2566957783e+01	   3.2780556382e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.7000000000e+01	   2.5340446712e-01	   0.0000000000e+00	   0.0000000000e+00	
          81000	              0	              0	         500000	 1	   8.3532354033e+00	   3.0101654480e+00	   1.3038204158e+00	   1.9328899960e+02	   4.7401547432e+00	   4.9733056767e+02	   2.2566957988e+01	   3.3199953200e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.8000000000e+01	   2.0682268237e-01	   0.0000000000e+00	   0.0000000000e+00	
          84000	              0	              0	         500000	 1	   8.3592154320e+00	   2.9717580763e+00	   1.2866438238e+00	   1.9348278639e+02	   4.7401548188e+00	   4.9748599877e+02	   2.2566958394e+01	   3.4056666181e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   2.9000000000e+01	   1.4664867719e-01	   0.0000000000e+00	   0.0000000000e+00	
